doc_id	paragraph_id	en-ge
111111111	1	Nächster Seuchenausbruch in Madagaskar könnte „stärker“ ausfallen: WHO
111111111	3	Genf – Der Chef der Weltgesundheitsorganisation sagte am Mittwoch, dass eine tödliche Pestepidemie in Madagaskar anscheinend unter Kontrolle gebracht worden sei, warnte jedoch davor, dass der nächste Ausbruch wahrscheinlich stärker sein würde.
111111111	5	Die nächste Übertragung könnte ausgeprägter oder stärker sein, sagte WHO-Generaldirektor Tedros Adhanom Ghebreyesus gegenüber Reportern in Genf und bestand darauf, dass „das Problem ernst ist“.
111111111	7	Ein Ausbruch sowohl der Beulenpest, die von infizierten Ratten über Flohbisse verbreitet wird, als auch der Lungenpest, die von Mensch zu Mensch übertragen wird, hat seit August mehr als 200 Menschen in dem Inselstaat im Indischen Ozean getötet.
111111111	9	Madagaskar hat seit 1980 fast jedes Jahr unter Beulenpestausbrüchen gelitten, die oft durch Ratten verursacht wurden, die vor Waldbränden fliehen.
111111111	11	Die Krankheit kehrt in der Regel in jeder heißen Regenzeit von September bis April zurück. Laut einer UN-Schätzung werden jedes Jahr zwischen 300 und 600 Infektionen bei einer Bevölkerung von fast 25 Millionen Menschen registriert.
111111111	13	Aber Tedros äußerte Alarm, dass „sich die Pest in Madagaskar in diesem Jahr ganz, ganz anders verhielt“.
111111111	15	Die Fälle traten viel früher als gewöhnlich auf, und anstatt sich auf das Land zu beschränken, breitete sich die Krankheit in Städten aus. Die Behörden verzeichneten mehr als 2.000 Fälle, und Tedros sagte am Mittwoch, die Zahl der Todesopfer liege bei 207.
111111111	17	Er wies auch auf das Vorhandensein der pneumonischen Version hin, die sich beim jüngsten Ausbruch leichter ausbreitet und virulenter ist.
111111111	19	Er lobte die schnelle Reaktion der WHO und der Behörden Madagaskars, die dazu beigetragen haben, den Ausbruch unter Kontrolle zu bringen, warnte jedoch davor, dass die Gefahr noch nicht vorüber sei.
111111111	21	Der Ausbruch, der größer als üblich war, hatte dazu beigetragen, die Bakterien, die die Pest verursachen, weiter zu verbreiten.
111111111	23	Dies zusammen mit schlechter Hygiene und Vektorkontrolle auf Madagaskar bedeutete, dass „wenn (die Pest) wieder kommt, sie von mehr Beständen ausgeht und das Ausmaß der nächsten Übertragung höher sein könnte als das, was wir gesehen haben“, sagte Tedros.
111111111	25	Das bedeutet, dass Madagaskar stärker betroffen sein könnte, und nicht nur das, es könnte sogar auf Nachbarländer und darüber hinaus übergreifen, warnte er.
111111111	27	Erschwerend bei der Vektorkontrolle kommt hinzu, dass sich die Flöhe, die das Bakterium Yersinia pestis übertragen, das die Pest verursacht, als weitgehend resistent gegen Chemikalien und Insektizide erwiesen haben.
111111111	29	Das ist eine gefährliche Kombination, sagte Tedros.
111111112	1	Einreiseverbot für US-Blogger nach Großbritannien
111111112	3	Zwei prominenten US-Bloggern wurde die Einreise nach Großbritannien verboten, teilte das Innenministerium mit.
111111112	5	Pamela Geller und Robert Spencer gründeten gemeinsam die antimuslimische Gruppe Stop Islamization of America.
111111112	7	Sie sollten bei einem Marsch der English Defence League in Woolwich sprechen, bei dem Schlagzeuger Lee Rigby getötet wurde.
111111112	9	"Ein Regierungssprecher sagte, Personen, deren Anwesenheit ""dem Gemeinwohl nicht förderlich"" sei, könnten vom Innenminister ausgeschlossen werden."
111111112	11	Er fügte hinzu: „Wir verurteilen alle, deren Verhalten und Ansichten unseren gemeinsamen Werten zuwiderlaufen, und werden Extremismus in keiner Form vertreten.“
111111112	13	'Richtige Entscheidung'
111111112	14	Frau Geller vom Blog Atlas Shrugs und Herr Spencer von Jihad Watch sind auch Mitbegründer der American Freedom Defense Initiative, am besten bekannt für eine pro-israelische Plakatkampagne „Defeat Jihad“ in der New Yorker U-Bahn.
111111112	15	In ihren beiden Blogs nannten die beiden ihre Einreiseverbote für das Vereinigte Königreich „einen schlagenden Schlag gegen die Freiheit“ und sagten, „die Nation, die der Welt die Magna Carta gegeben hat, ist tot“.
111111112	17	Sie sollten an einem Marsch teilnehmen, der von der rechtsextremen EDL anlässlich des Armed Forces Day am 29. Juni geplant war und in Woolwich im Südosten Londons endete, wo der Soldat Drummer Rigby letzten Monat ermordet wurde.
111111112	19	"Keith Vaz, Vorsitzender des Home Affairs Select Committee, der ein Verbot der Blogger aus Großbritannien gefordert hatte, sagte: „Ich begrüße das Einreiseverbot des Innenministers für Pamela Geller und Robert Spencer. Dies ist die richtige Entscheidung. Großbritannien sollte niemals zu einer Bühne für aufrührerische Redner werden, die Hass fördern."""
111111112	21	Der EDL-Führer Tommy Robinson kritisierte unterdessen die Entscheidung und sagte, Frau Geller und Herr Spencer würden nach Großbritannien kommen, um an dem Ort, an dem Drummer Rigby starb, Blumen niederzulegen.
111111112	23	Es sei peinlich für dieses sogenannte Land der Demokratie und Meinungsfreiheit, sagte er.
111111112	25	Wie viele Hassprediger leben in diesem Land? Es zeigt nur, was für ein zweistufiges System wir hier haben.
111111112	27	„Hass fördern“
111111112	28	Die Antifaschismus-Aktivisten Hope Not Hate hatten sich dafür eingesetzt, dass das Paar nicht nach Großbritannien einreisen durfte.
111111112	30	Ein Forscher der Organisation, Matthew Collins, sagte, er sei „erfreut“ über die Entscheidung.
111111112	32	"Diese beiden gehören zu den extremsten anti-muslimischen Aktivisten der Welt. Sie haben nichts zum Leben in diesem Land beizutragen.
111111112 34 Sie sind nicht hier, um zu guten Beziehungen in der Gemeinschaft beizutragen. Sie wollten nur herkommen und der EDL helfen, noch mehr Unruhe zu stiften. Großbritannien braucht nicht einmal für ein paar Tage mehr Hass."""
111111112	36	Herr Spencer veröffentlichte eine Kopie dessen, was anscheinend die Ausschlussentscheidung des Innenministeriums war, auf der Website von Jihad Watch, während Frau Geller eine Kopie ihres Schreibens auf ihrer Website Atlas Shrugs veröffentlichte.
111111112	38	Die Briefe, beide vom Dienstag, behaupten, dass beide Aktivisten in den Geltungsbereich einer Liste inakzeptabler Verhaltensweisen gefallen seien, indem sie Aussagen gemacht hätten, die „Hass schüren“ und zu „Gewalt zwischen den Gemeinschaften“ im Vereinigten Königreich führen könnten.
111111112	40	Beide Briefe enthielten Beispiele für antimuslimische Ansichten, die von beiden geäußert wurden, und fuhren fort, dass der Innenminister glaubt, dass sie „weiterhin solche Ansichten vertreten würden“, falls ihnen die Einreise nach Großbritannien gestattet würde.
