doc_id	paragraph_id	en-po
111111111	1	Następna epidemia dżumy na Madagaskarze może być „silniejsza”: WHO
111111111	3	Genewa – Szef Światowej Organizacji Zdrowia powiedział w środę, że śmiertelna epidemia dżumy na Madagaskarze została opanowana, ale ostrzegł, że następna epidemia prawdopodobnie będzie silniejsza.
111111111	5	Następna transmisja może być wyraźniejsza lub silniejsza, powiedział dziennikarzom w Genewie dyrektor generalny WHO Tedros Adhanom Ghebreyesus, podkreślając, że „problem jest poważny”.
111111111	7	Wybuch zarówno dżumy dymieniczej, która jest przenoszona przez zarażone szczury poprzez ukąszenia pcheł, jak i dżumy płucnej, przenoszonej między ludźmi, zabił od sierpnia ponad 200 osób w kraju wyspiarskim na Oceanie Indyjskim.
111111111	9	Od 1980 roku na Madagaskarze niemal co roku wybuchają epidemie dżumy, często powodowane przez szczury uciekające przed pożarami lasów.
111111111	11	Choroba ma tendencję do powracania w każdą gorącą porę deszczową, od września do kwietnia. Według szacunków ONZ każdego roku odnotowuje się średnio od 300 do 600 infekcji wśród populacji zbliżającej się do 25 milionów ludzi.
111111111	13	Ale Tedros wyraził zaniepokojenie, że „dżuma na Madagaskarze zachowywała się w tym roku w bardzo, bardzo inny sposób”.
111111111	15	Przypadki pojawiały się znacznie wcześniej niż zwykle i zamiast ograniczać się do wsi, choroba przeniknęła do miast. Władze odnotowały ponad 2000 przypadków, a Tedros powiedział w środę, że liczba ofiar śmiertelnych wyniosła 207.
111111111	17	Wskazał również na obecność wersji płucnej, która rozprzestrzenia się łatwiej i jest bardziej zjadliwa w ostatnim wybuchu.
111111111	19	Pochwalił szybką reakcję WHO i władz Madagaskaru, które pomogły opanować epidemię, ale ostrzegł, że niebezpieczeństwo jeszcze się nie skończyło.
111111111	21	Większa niż zwykle epidemia pomogła rozprzestrzenić bakterie wywołujące dżumę na szerszą skalę.
111111111	23	To, wraz ze złymi warunkami sanitarnymi i kontrolą wektorów na Madagaskarze, oznaczało, że „kiedy (dżuma) nadejdzie ponownie, zaczyna się od większej liczby zapasów, a wielkość w następnej transmisji może być wyższa niż ta, którą widzieliśmy” – powiedział Tedros.
111111111	25	Oznacza to, że Madagaskar może zostać bardziej dotknięty, a nie tylko to, że może nawet rozlać się na sąsiednie kraje i nie tylko, ostrzegł.
111111111	27	Kontrolę wektorów komplikuje fakt, że pchły przenoszące bakterię Yersinia pestis wywołującą zarazę okazały się szeroko odporne na chemikalia i środki owadobójcze.
111111111	29	To niebezpieczna kombinacja, powiedział Tedros.
111111112	1	Blogerzy z USA mają zakaz wjazdu do Wielkiej Brytanii
111111112	3	Ministerstwo Spraw Wewnętrznych poinformowało, że dwóm znanym amerykańskim blogerom zabroniono wjazdu do Wielkiej Brytanii.
111111112	5	Pamela Geller i Robert Spencer byli współzałożycielami antymuzułmańskiej grupy Stop Islamization of America.
111111112	7	Mieli przemawiać na marszu Angielskiej Ligi Obrony w Woolwich, gdzie zginął perkusista Lee Rigby.
111111112	9	Rzecznik rządu powiedział, że osoby, których obecność „nie sprzyja dobru publicznemu”, mogą zostać wykluczone przez ministra spraw wewnętrznych.
111111112	11	Dodał: „Potępiamy wszystkich, których zachowania i poglądy są sprzeczne z naszymi wspólnymi wartościami i nie będziemy opowiadać się za ekstremizmem w żadnej formie”.
111111112	13	'Dobra decyzja'
111111112	14	Pani Geller z bloga Atlas Shrugs i pan Spencer z Jihad Watch są także współzałożycielami American Freedom Defense Initiative, najlepiej znanej z proizraelskiej kampanii plakatowej „Pokonaj Jihad” w nowojorskim metrze.
111111112	15	Na obu swoich blogach para nazwała swoje zakazy wjazdu do Wielkiej Brytanii „uderzającym ciosem w wolność” i napisała, że ​​„naród, który dał światu Magna Carta, nie żyje”.
111111112	17	Mieli wziąć udział w marszu zaplanowanym przez skrajnie prawicową EDL z okazji Dnia Sił Zbrojnych 29 czerwca, który miał zakończyć się w Woolwich w południowo-wschodnim Londynie, gdzie w zeszłym miesiącu zamordowano żołnierza Drummera Rigby'ego.
111111112	19	Keith Vaz, przewodniczący Komisji Specjalnej do Spraw Wewnętrznych, który wzywał do wyrzucenia blogerów z Wielkiej Brytanii, powiedział: „Z zadowoleniem przyjmuję zakaz wjazdu Pameli Geller i Roberta Spencera wydany przez ministra spraw wewnętrznych. To słuszna decyzja. Wielka Brytania nigdy nie powinna stać się sceną dla podżegających mówców, którzy propagują nienawiść”.
111111112	21	Tymczasem lider EDL, Tommy Robinson, skrytykował tę decyzję i powiedział, że pani Geller i pan Spencer przyjadą do Wielkiej Brytanii, aby złożyć kwiaty w miejscu śmierci Drummera Rigby'ego.
111111112	23	To wstyd dla tego tak zwanego kraju demokracji i wolności słowa – powiedział.
111111112	25	Ilu głosicieli nienawiści żyje w tym kraju? To tylko pokazuje, jaki rodzaj dwupoziomowego systemu mamy tutaj.
111111112	27	„Podsycać nienawiść”
111111112	28	Działacze antyfaszystowscy Hope Not Hate prowadzili kampanię, aby para nie została wpuszczona do Wielkiej Brytanii.
111111112	30	Badacz z organizacji, Matthew Collins, powiedział, że jest „zachwycony” tą decyzją.
111111112	32	"Ci dwaj należą do jednych z najbardziej skrajnych antymuzułmańskich działaczy na świecie. Nie mają nic, co mogliby wnieść do życia w tym kraju.
111111112 34 Nie są tu po to, aby przyczyniać się do dobrych relacji społecznych. Chcieli tylko przyjść tutaj i pomóc EDL wzniecić więcej kłopotów. Wielka Brytania nie potrzebuje więcej nienawiści nawet na kilka dni”."
111111112	36	Pan Spencer zamieścił kopię czegoś, co wydaje się być decyzją o wykluczeniu z Ministerstwa Spraw Wewnętrznych na stronie internetowej Jihad Watch, podczas gdy pani Geller zamieściła kopię swojego listu na swojej stronie internetowej Atlas Shrugs.
111111112	38	Listy, oba datowane na wtorek, twierdzą, że obaj aktywiści znaleźli się na liście niedopuszczalnych zachowań, składając oświadczenia, które mogą „symulować nienawiść” i prowadzić do „przemocy między społecznościami” w Wielkiej Brytanii.
111111112	40	Oba listy zawierały przykłady antymuzułmańskich poglądów wyrażonych przez obu, a następnie stwierdzały, że gdyby pozwolono im wjechać do Wielkiej Brytanii, minister spraw wewnętrznych uważa, że ​​„nadal podzielaliby takie poglądy”.
111111113	1	Śmierć Kate Steinle z rąk obywatela Meksyku stała się punktem zapalnym w debacie na temat imigracji – oto historia jej zabójstwa
111111113	3	Niespodziewane uniewinnienie Jose Ines Garcia Zarate w strzelaninie Kate Steinle, kobiety z San Francisco, wywołało burzę oburzenia w czwartek wieczorem, gdy czołowi konserwatyści i krytycy tak zwanych „miast-sanktuariów” obwiniali za śmierć Steinle nielegalną imigrację i niewystarczająco agresywna polityka deportacyjna.
111111113	5	Garcia Zarate, 45-letni obywatel Meksyku, który był bezdomny i mieszkał nielegalnie w USA, kiedy oddał strzał, który zabił Steinle'a, został uniewinniony przez ławę przysięgłych od zarzutów morderstwa i nieumyślnego spowodowania śmierci. Ława przysięgłych skazała go za mniejszy zarzut bycia przestępcą posiadającym broń, za co grozi kara maksymalnie trzech lat więzienia stanowego.
111111113	7	32-letnia Steinle została śmiertelnie postrzelona, ​​gdy szła z ojcem molo 14 w zatoce San Francisco w lipcu 2015 roku. Kula, która przebiła jej plecy, odbiła się rykoszetem od betonowej ziemi po tym, jak została wystrzelona przez Garcię Zarate z pistoletu należącego do strażnika federalnego, który został skradziony cztery dni wcześniej.
111111113	9	Adwokaci Garcii Zarate argumentowali, że strzelanina była wypadkiem — powiedzieli, że znalazł broń owiniętą w koszulkę lub materiał pod ławką na molo i nieumyślnie wystrzelił.
111111113	10	Główny adwokat Matt Gonzalez argumentował, że bronią był SIG Sauer z „włosowym spustem w trybie pojedynczej akcji” – model dobrze znany z przypadkowych wystrzałów nawet wśród doświadczonych strzelców. Gonzalez powiedział ławie przysięgłych, według San Francisco Chronicle, że Garcia Zarate nigdy wcześniej nie miał do czynienia z bronią palną, przestraszył się odgłosu wystrzału, a następnie wrzucił broń do zatoki, gdzie później został znaleziony przez nurka.
111111113	12	Prokuratorzy twierdzili jednak, że Garcia Zarate celowo przyniósł broń na molo, aby wyrządzić krzywdę, oraz celowo wycelował i zastrzelił Steinle'a po mocnym pociągnięciu za spust. Powiedzieli, że Garcia Zarate wrzucił broń do zatoki i uciekł z miejsca zdarzenia.
111111113	14	Poza samą strzelaniną, być może najbardziej kontrowersyjnym aspektem sprawy Garcii Zarate jest jego wcześniejsza działalność przestępcza i historia deportacji oraz sposób, w jaki władze San Francisco i władze federalne zajmowały się jego opieką, zanim w ogóle chwycił za broń i zastrzelił Steinle'a.
111111113	15	W chwili śmierci Steinle'a Garcia Zarate był skazany za przestępstwa narkotykowe bez użycia przemocy i deportowany pięć razy od wczesnych lat 90.
111111113	17	Groziła mu szósta deportacja w 2015 r., a w marcu przebywał w areszcie Departamentu Sprawiedliwości (DOJ) po odbyciu 46 miesięcy więzienia za przestępstwo ponownego wjazdu do USA, ale zamiast przeniesienia go pod areszt Immigration and Customs Enforcement (ICE ) w celu deportacji, departament przeniósł go do więzienia hrabstwa San Francisco w celu ścigania za marihuanę z 1995 roku.
111111113	19	Prokuratorzy z San Francisco, którzy dawno temu zrezygnowali z zarzutów dotyczących marihuany, oddalili trwający od dziesięcioleci zarzut i 15 kwietnia 2015 r. Wypuścili Garcię Zarate. Ze względu na politykę San Francisco polegającą na ograniczaniu współpracy z federalnymi władzami imigracyjnymi — które niektórzy nazywają „sanktuarium” polityka — miasto nie poinformowało ICE, kiedy wypuścili Garcię Zarate.
111111113	21	W wyniku tej sprawy zarówno Departament Sprawiedliwości, jak i miasto San Francisco zmieniły kilka zasad. Departament Sprawiedliwości ogłosił w 2016 r., że nie będzie już zwalniał zatrzymanych potencjalnie podlegających deportacji do lokalnych więzień bez uprzedniego zezwolenia ICE na przejęcie aresztu. W międzyczasie San Francisco dostosowało swoją politykę, aby powiadamiać ICE, jeśli wypuszczają podejrzanych nielegalnych imigrantów, którym grożą zarzuty poważnych lub brutalnych przestępstw.
111111113	23	Tej tragedii można było zapobiec, gdyby San Francisco po prostu przekazało kosmitę ICE zgodnie z naszą prośbą, zamiast wypuszczać go z powrotem na ulice, powiedział dyrektor ICE Thomas Homan w czwartkowym oświadczeniu. „To nierozsądne, że politycy w całym kraju nadal zagrażają życiu Amerykanów polityką sanktuariów, ignorując szkody wyrządzane ich wyborcom”.
