doc_id	paragraph_id	fr-en
2310	1	Macron and ecology, the big parade
2310	3	"In terms of ecology, Emmanuel Macron does not know on which foot to dance. Between the invitation of activist Greta Thunberg to the Elysee Palace and the announcement of the construction of new nuclear reactors, the outgoing president likes to play ""at the same time""."
2310	5	In the beginning was indifference. Before his accession to the Élysée, Emmanuel Macron had not seemed to be interested in questions of the environment, energy, climate, the themes of which were generally absent from his 2017 program. These were the appointment of Nicolas Hulot Minister for the Ecological Transition then the decision to launch a crusade for the planet, after Donald Trump's withdrawal from the Paris agreements, which allowed him to put on the costume. A metamorphosis imposed on him by the spirit of the times and the certainty that he could not head for a second term without relying on a “left” leg now more green than pink.
2310	7	From Greta at the Élysée to the promise of new nuclear reactors
2310	9	Also, when Nicolas Hulot resigned in August 2018, there was no question of replacing him with a supporter of heavy industry. The ministry will be entrusted to the ecologist François de Rugy, before falling to Barbara Pompili, notoriously anti-nuclear. The tone remains the same: rage on fossil resources, long live renewables, the end of the world is near, we must change society.
2310	11	"The movement of the ""yellow vests"" which, like a cry of reality, opposed a virulent denial to these obsessions, made the executive tremble but did not divert it from its line of conduct. In February 2019, Emmanuel Macron gave activist Greta Thunberg the honors of the Élysée and, later, the Citizen's Climate Convention, which was intended as a response to ""yellow vests"", resulted in proposals - always more taxes and “ecological” constraints – the exact opposite of the movement's aspirations. A capture of the debate and a democratic travesty that bordered on prestidigitation."
23100	3	Pope Francis. The pope of rupture. The green, anti-capitalist pope, friend of the poor and migrants. The pope benevolent with gays and divorcees, but hostile to traditionalists. The reformer of the corrupt Roman curia, the eradicator of ecclesiastical sexual abuse… Or rather the pope of paradoxes? Indeed, it is with Bayer-Monsanto and BP that François plans to save the environment, with Bank of America and the big names in Big Pharma such as Merck or Johnson & Johnson that he wants to rebuild an ethical capitalism. Would he then above all be the king of a new marketing logic? Indeed, it is precisely in the name of the defense of the environment, inclusiveness or even social justice that the corporate actors (that is to say from the private sector) of global governance have decided to to have their agenda accepted everywhere — which is none other than to grant themselves full powers on the planet.
23100	5	Bergoglio, in this respect, is a textbook case. He chose to make the Vatican a spokesperson for this global governance in the wake of the Davos World Economic Forum (WEF). In fact, the decision-makers of this governance, because they no longer intend to exploit the consumerist quest for happiness of the masses, but rather rely on coercion, have now adopted a marketing strategy that seeks to disguise their thirst for power by displaying a desire to break with neoliberal, individualistic and energy-guzzling capitalism. The global elite accumulates all the goods it still lacks, confiscates public freedoms and concentrates power in its own hands, but it dresses this group in a narrative concerned with ecology, focused on the common good, hostile to individual freedoms and criticism of the free market. The message that François addresses to the world is one of the finest examples of this new communication.
23101	1	The European Union organizes Diversity and Inclusion Month. All to your projects!
23101	3	"""Promoting diversity and inclusion"": this is one of the major projects of the European Commission, which this spring launched the ""European Capitals of Inclusion and Diversity Award"". Its objective: “To see the emergence of a more egalitarian Europe in terms of disability but also of gender, racial and ethnic origin, religion and belief, age, the rights of LGBTIQ people and the integration of Roma. »"
23101	5	It is one of the strands of the European Union Action Plan against Racism 2020-2025. Eight European cities received their prizes with great fanfare on April 28, the preamble to the opening of the European Diversity Month. An initiative that was born in 2020, diversity being celebrated, henceforth, every May until death ensues.
23101	7	"The gold medal went to Cologne, followed by Gothenburg, ""which saw the birth of Greta Thunberg"". This feat therefore deserved a silver medal. The bronze medal went to Barcelona. And France? Nothing. No. We are not diverse and inclusive enough. The city of Arras was, however, one of the 22 pre-selected cities out of the 82 that applied, but we stopped there."
23101	9	Note, in passing: knowing that the European Union has 400 towns with more than 100,000 inhabitants, that the competition was open to agglomerations of at least 50,000 inhabitants and that only 82 towns applied, we can conclude that this did not of little interest to European citizens. However, the Commission did not skimp on the (silly) publicity campaigns.
23101	11	"Already, you should know that the European Union finances “initiatives aimed at promoting diversity and inclusion and at fighting against inequalities and discrimination, particularly in the Roma community”. With a budget of €1.55 billion for the period 2021-2027, the Citizens, Equality, Rights and Values ​​(CERV) program is, we are told, ""the largest EU fund ever devoted to the promotion of rights and values ​​in the EU”."
23101	13	"On paper, it's idyllic. The Commission is teeming with ideas for companies and other associations that have signed the 26 diversity charters ratified by 14,400 organisations. The goal of the May of Diversity is therefore, above all, to ""fight against discrimination through measures that go beyond the legislation currently in place"", so it's up to everyone to their own little idea."
23101	15	"For those who lack it, the European Union offers events and actions to promote its little shop, knowing that a label makes it possible to be referenced on Google Maps, the map, ""taken up at national and European level, thus giving visibility at your event! "" Helena Dalli, European Commissioner for Equality, thus dangles miraculous results: ""By organizing an internal event for or in collaboration with your employees, or an event open to the general public, to your customers and suppliers (sic), you will show your commitment and celebrate diversity while raising awareness among members of your organization. »"
23101	17	"The European Union has therefore issued an “Inspirational guide to celebrate the European month of diversity”. The guideline: “focus on finding connections between the different grounds of discrimination you address in your diversity and inclusion policies and activities, and then engage in actions that address multiple areas of discrimination at times ""."
23101	19	These days, entrepreneurs may have other concerns on their minds!
23101	21	"At random Balthazar, you can have a Frankfurt sausage fair in Toulon and an anchoïade in Wiesbaden; you will then receive ""a message of congratulations once your event has been labeled"" and will be able to retrieve ""the communication kit with the graphic elements of the Joli Mois de l'Europe"" (logos, posters, flyers, banners, etc.). It's nice, isn't it?"
23102	1	In Italy, a historic drought threatens agriculture
23102	3	Severe decrease in snowfall and rain and very high temperatures: northern Italy faces its worst drought in 70 years. As lakes and rivers dry up, agriculture and the energy sector fear the extent of the damage.
23102	5	"Since the heat wave of 2003, the country has experienced ""the six driest years in its history"", recalls Francesco Vincenzi, president of the association of irrigation consortia (Anbi). However, this year is not like the others. Not only for the seriousness of the situation but also for the period in which it occurs. “If, before, we were talking about drought from July 20, now we are on June 23 and we have already been talking about it for at least twenty days”, he is alarmed."
23102	6	Snowfall has fallen by 70% this winter and precipitation by half since December
23102	8	First witness and victim of the tragedy: the Po. This 652 km river, the longest in Italy, crosses the north of the country starting from the Alps, in the west, towards the Adriatic Sea, in the east. An animation made with satellite images from the European Space Agency (ESA) compares the state of the river in 2020, 2021 and 2022. The findings are disturbing. We can see the river which is gradually reduced, giving way to ever more extensive sandy beaches. The flow of the Po has decreased so much - up to 80% - that salt water coming from the Adriatic Sea has managed to rise nearly 30 km inland. A risky situation for the supply of drinking water and for agriculture. “We cannot irrigate with salt water, otherwise we burn everything,” explains Francesco Vincenzi. Moreover, the infiltration of salt water means long-term consequences because “it will take years before it disappears from the aquifers”.
23102	10	"North of the river, the great lakes are also visibly drying up. Lake Maggiore would need more than 2,527 million m³ of water to return to its average, according to Anbi, and Lake Como has a filling rate of less than 12%. Moreover, it is these same lakes that partly feed the rivers through a regulation system. ""When we say that the lake is dry, that does not mean that it is empty"", specifies Matteo Cislaghi, hydrologist at the Lombard Agency for the Protection of the Environment (Arpa). Indeed, below a certain level, the water can no longer be released because ""not only would it no longer reach the outlet mouth [of the water reservoir] but in addition, it would kill the lake"", explains the hydrologist ."
23102	12	At the origin of this historic drought: an accumulation of crises. Snowfall has decreased by 70% this winter and precipitation by half since December. The Piedmont region went almost 110 days without a drop of rain. Added to all this are exceptionally high temperatures, sometimes up to 3°C more, causing the early melting of the little snow on the mountain peaks.
23102	14	"Consequences: ""the availability of water does not allow all needs to be met at the environmental, agricultural and industrial levels"", analyzes Massimiliano Pasqui, researcher at the observatory on drought of the Italian National Research Council (CNR)."
23102	15	The farmer realizes the facts: nearly 50% of his corn production is compromised
