doc_id	paragraph_id	it-fr
261	1	L'étrange silence du non-confinement
261	3	Vingt-six millions de citoyens enfermés chez eux. Reclus. À la maison. Les habitants de Shanghai, première ville par sa population en Chine et troisième au monde, sont soumis à un confinement très strict
261	5	"Vingt-six millions de citoyens enfermés chez eux. Reclus. À la maison. Les habitants de Shanghai, première ville par sa population en Chine et troisième au monde, sont soumis à un confinement très sévère au nom de la politique (de faillite) rebaptisée « Covid zéro ». Une politique qui, plutôt que d'éliminer les infections, rase la liberté déjà limitée des Chinois. Des rues désertes, des familles laissées sans nourriture et incapables de sortir de chez elles même pour des besoins essentiels, des supermarchés pris d'assaut par des foules affamées, des positifs détenus contre leur gré dans des centres Covid aux allures de prisons. Une ""catastrophe sanitaire"" face à laquelle le monde semble se taire. Que sont devenus ceux qui, sous nos latitudes, ont dénoncé une dictature sanitaire inexistante pendant près de deux ans ? Comment se fait-il que personne ne lance des pétitions, des hashtags, des photos et des sit-in de protestation contre les violations des droits humains du régime de Pékin ? Où est la ferveur avec laquelle ils ont défendu toutes les libertés sacro-saintes ? Nous cultivons des soupçons par ici. Face aux images des ""déportations"" de malades vers la mégalopole chinoise, l'idée qu'il y ait eu une dictature sanitaire en Italie sombre dans le ridicule et reste nue dans toute sa spéciosité. Et, du coup, ceux qui criaient il y a encore quelques semaines ont maintenant perdu la parole. Peut-être aussi parce que beaucoup d'entre eux sont passés directement de la tranchée No Vax à celle pro Poutine. Et, on le sait, la fascination pour les autocraties est contagieuse : il faut un moment pour même défendre le régime chinois. Le court-circuit est parfait."
26101	1	Un chimpanzé ferait mieux que Gigino Di Maio : il est si ignorant qu'il a laissé la Farnesina publier une carte où il confond la Moldavie avec l'Ukraine
26101	3	Après Matera dans les Pouilles et la Russie bordant la Méditerranée, les étrangers sont incapables de distinguer l'Ukraine de la Moldavie. Comme on dit, nous sommes dans un baril de fer… avec des clous à l'intérieur.
26101	5	J'avais tort, un chimpanzé en occupant cette position aurait fait moins de dégâts.
26101	6	Cela s'améliore lorsque Gigino est utilisé par l'OTAN en tant que Corvo Rockefeller.
26101	7	Il est intéressant de noter à quel point, pour les médias du régime, il est devenu un intouchable.
26101	8	L'appareil de propagande de l'OTAN fait campagne contre les opposants et offre une protection médiatique à ses laquais.
26101	9	Ce personnage, sans médiatisation, se serait évaporé depuis longtemps.
