doc_id	paragraph_id	ge-fr
221	1	Les États-Unis diffusent de fausses histoires pour escalader la Russie
221	3	Les génies (pas) du Conseil de sécurité nationale veulent inciter la Russie à attaquer directement les forces ou les intérêts américains. Cela donnerait aux États-Unis une excuse pour aggraver davantage la guerre en Ukraine en une confrontation ouverte. Cela détournerait également l'attention des problèmes de politique intérieure. Pour y parvenir, le NSC a diffusé un certain nombre d'articles dans les médias affirmant que les prétendus succès ukrainiens sont basés sur des informations du renseignement américain.
221	5	WASHINGTON – Les États-Unis ont fourni des informations sur les forces russes qui ont permis aux Ukrainiens de cibler et de tuer de nombreux généraux russes tombés pendant la guerre en Ukraine, ont déclaré de hauts responsables américains. L'aide ciblée fait partie de l'effort secret de l'administration Biden pour fournir à l'Ukraine des renseignements en temps réel sur le champ de bataille. Ces informations comprennent des mouvements de troupes russes prévus, tirés des dernières évaluations américaines du plan de bataille secret de Moscou pour les combats dans la région du Donbass, dans l'est de l'Ukraine, ont déclaré des responsables.Les responsables ont refusé de dire combien de généraux ont été tués grâce à l'aide américaine. Les États-Unis se sont concentrés sur la fourniture de l'emplacement et d'autres détails du quartier général mobile de l'armée russe, qui change fréquemment d'emplacement. Les responsables ukrainiens ont combiné ces informations géographiques avec leurs propres renseignements - y compris des communications interceptées alertant l'armée ukrainienne de la présence d'officiers supérieurs russes - pour mener des frappes d'artillerie et d'autres attaques qui ont tué des officiers russes.
2210	1	L'erreur de Poutine
2210	3	"Vladimir Poutine, le président de la Russie, est la personne la plus diabolisée du monde occidental depuis Oussama ben Laden et Adolf Hitler. Hillary Clinton dit que Poutine est ""le nouvel Hitler"". Le président américain Biden dit que Poutine est trop mauvais pour rester au pouvoir."
2210	5	Malgré ces caractérisations dures du dirigeant russe, le Kremlin n'a abandonné que récemment les négociations de paix avec l'Occident et avec la marionnette occidentale en Ukraine. En effet, on ignore si le Kremlin a déjà lu les signes des temps. Les intégrationnistes atlantiques sont toujours actifs en Russie et toujours prêts à abandonner la souveraineté russe pour l'intégration avec l'Occident. Poutine semble incapable ou peu désireux de se débarrasser de ces Russes qui restreignent la politique étrangère et économique russe dans l'intérêt de l'Occident.
2210	7	L'erreur de Poutine est qu'il est un libéral universitaire américain de 1950, un partisan du droit international, du respect mutuel et de la coopération, résolvant les conflits par la diplomatie. Poutine et la Russie sont en difficulté parce que Poutine continue de croire au comportement moral, tandis que l'Occident a clairement indiqué que la seule valeur est l'hégémonie américaine.
2210	9	Si Poutine était vraiment le nouvel Hitler, il n'y aurait pas d'Ukraine, pas d'Europe et probablement pas d'États-Unis non plus.
2210	11	L'histoire de Poutine d'accepter les provocations occidentales a empêché Armageddon et nous y a amenés en même temps. L'extraordinaire lenteur du Kremlin à reconnaître une menace et à agir en conséquence a appris à Washington et à ses fantoches que la Russie ne connaît pas de lignes rouges.
2210	13	En conséquence, de nombreuses frontières ont été franchies. La Russie se plaint mais fait peu ou rien. Le résultat est que l'Occident rejette les avertissements de guerre nucléaire de la Russie comme de simples fanfaronnades.
2210	15	L'Occident ne prend plus la Russie au sérieux. Même les petits États militairement impuissants n'hésitent pas à insulter et à provoquer la Russie.
2210	17	L'intervention russe limitée et lente dans l'est de l'Ukraine a permis à tout l'Occident de s'immiscer dans la guerre en envoyant des armes à l'Ukraine, en fournissant à l'Ukraine des renseignements sur les attaques contre les forces russes, en coopérant avec les sanctions de Washington et en contrôlant le récit de la guerre dans l'intérêt d'Ukraine. Il ne fait aucun doute que les États-Unis et l'OTAN sont impliqués dans la guerre contre la Russie.
2210	19	Malgré les avertissements, la Russie continue d'ignorer militairement ce fait. Combien de temps cela peut-il durer ?
2210	21	Nous sommes confrontés à la menace d'une guerre nucléaire non pas à cause de l'agression russe, mais à cause de la réponse limitée et faible de la Russie aux provocations extrêmes. L'Occident a appris du libéralisme à l'ancienne de Poutine que la Russie est faible et peut être contournée.
2210	23	Cette conclusion conduira à une guerre nucléaire à moins que les Russes ne se rendent à l'Occident et ne deviennent une autre marionnette comme l'Allemagne, la France et la Grande-Bretagne.
22100	1	Boris, tu es viré !
