doc_id	paragraph_id	fr-ge
2310	1	Macron und Ökologie, die große Parade
2310	3	"In Sachen Ökologie weiß Emmanuel Macron nicht, auf welchem ​​Fuß er tanzen soll. Zwischen der Einladung der Aktivistin Greta Thunberg in den Elysee-Palast und der Ankündigung des Baus neuer Atomreaktoren spielt der scheidende Präsident gerne ""gleichzeitig""."
2310	5	Am Anfang war Gleichgültigkeit. Vor seinem Beitritt zum Élysée schien sich Emmanuel Macron nicht für Fragen der Umwelt, Energie und des Klimas zu interessieren, deren Themen in seinem Programm für 2017 im Allgemeinen fehlten, da dies die Ernennung von Nicolas Hulot zum Minister für den ökologischen Wandel war die Entscheidung, einen Kreuzzug für den Planeten zu starten, nachdem Donald Trump sich von den Pariser Abkommen zurückgezogen hatte, was ihm erlaubte, das Kostüm anzuziehen. Eine Metamorphose, die ihm der Zeitgeist aufgezwungen hat, und die Gewissheit, dass er keine zweite Amtszeit antreten kann, ohne sich auf ein „linkes“ Bein zu verlassen, das jetzt mehr grün als rosa ist.
2310	7	Von Greta im Élysée bis zum Versprechen neuer Kernreaktoren
2310	9	Auch als Nicolas Hulot im August 2018 zurücktrat, war es keine Frage, ihn durch einen Anhänger der Schwerindustrie zu ersetzen. Das Ministerium wird dem Ökologen François de Rugy anvertraut, bevor es Barbara Pompili zufällt, die notorisch gegen Atomkraft ist. Der Ton bleibt derselbe: Wut auf fossile Ressourcen, es lebe Erneuerbare, das Ende der Welt naht, wir müssen die Gesellschaft verändern.
2310	11	"Die Bewegung der ""Gelbwesten"", die diesen Obsessionen wie ein Aufschrei der Realität eine bösartige Leugnung entgegensetzte, ließ die Exekutive erzittern, brachte sie aber nicht von ihrer Linie ab. Im Februar 2019 verlieh Emmanuel Macron der Aktivistin Greta Thunberg die Ehrungen des Élysées und später mündete die als Antwort auf „Gelbwesten“ gedachte Citizen’s Climate Convention in Vorschlägen – immer mehr Steuern und „ökologische“ Zwänge – ein genau das Gegenteil der Bestrebungen der Bewegung. Ein Einfangen der Debatte und eine demokratische Travestie, die an Fingerspitzengefühl grenzte."
23100	3	Papst Franziskus. Der Papst des Bruchs. Der grüne, antikapitalistische Papst, Freund der Armen und Migranten. Der Papst ist wohlwollend gegenüber Schwulen und Geschiedenen, aber feindselig gegenüber Traditionalisten. Der Reformator der korrupten römischen Kurie, der Ausrotter des kirchlichen sexuellen Missbrauchs … Oder doch eher der Papst der Paradoxien? Tatsächlich plant François mit Bayer-Monsanto und BP, die Umwelt zu retten, mit der Bank of America und den großen Namen der Big Pharma wie Merck oder Johnson & Johnson will er einen ethischen Kapitalismus wieder aufbauen. Wäre er dann vor allem der Papst einer neuen Marketinglogik? Genau im Namen der Verteidigung der Umwelt, der Inklusion oder sogar der sozialen Gerechtigkeit haben sich die korporativen Akteure (d. h. aus dem Privatsektor) der Global Governance entschieden, ihre Agenda überall akzeptieren zu lassen – was keine ist außer sich selbst volle Macht auf dem Planeten zu gewähren.
23100	5	Bergoglio ist in dieser Hinsicht ein Lehrbuchfall. Er entschied sich dafür, den Vatikan im Gefolge des Weltwirtschaftsforums (WEF) in Davos zum Sprecher dieser globalen Governance zu machen. Tatsächlich haben sich die Entscheidungsträger dieser Governance, weil sie nicht mehr das konsumistische Glücksstreben der Massen ausnutzen wollen, sondern auf Zwang setzen, inzwischen eine Marketingstrategie zu eigen gemacht, die ihren Machthunger durch Zurschaustellung zu verschleiern sucht Wunsch, mit dem neoliberalen, individualistischen und energiefressenden Kapitalismus zu brechen. Die globale Elite häuft alle Güter an, die ihr noch fehlen, beschlagnahmt öffentliche Freiheiten und konzentriert die Macht in ihren eigenen Händen, aber sie kleidet diese Gruppe in ein Narrativ, das sich mit Ökologie beschäftigt, auf das Gemeinwohl ausgerichtet ist, individuelle Freiheiten ablehnt und den freien Markt kritisiert . Die Botschaft, die François an die Welt richtet, ist eines der schönsten Beispiele dieser neuen Kommunikation.
23101	1	Die Europäische Union organisiert den Monat der Vielfalt und Inklusion. Alles für Ihre Projekte!
23101	3	„Förderung von Vielfalt und Inklusion“: Das ist eines der großen Projekte der Europäischen Kommission, die in diesem Frühjahr den „European Capitals of Inclusion and Diversity Award“ ins Leben gerufen hat. Sein Ziel: „Die Entstehung eines egalitäreren Europas in Bezug auf Behinderung, aber auch Geschlecht, Rasse und ethnische Herkunft, Religion und Weltanschauung, Alter, die Rechte von LGBTIQ-Personen und die Integration von Roma zu sehen. »
