doc_id	paragraph_id	it-ge
261	1	Die seltsame Stille von No-Lockdowns
261	3	26 Millionen Bürger zu Hause eingesperrt. Einsiedler. Zu Hause. Die Einwohner von Shanghai, der bevölkerungsreichsten Stadt Chinas und der drittgrößten der Welt, unterliegen einer sehr strengen Abriegelung
261	5	"26 Millionen Bürger zu Hause eingesperrt. Einsiedler. Zu Hause. Die Einwohner von Shanghai, der bevölkerungsreichsten Stadt Chinas und der drittgrößten der Welt, werden im Namen der in „Covid Zero“ umbenannten (Konkurs-)Politik einem sehr strengen Lockdown unterzogen. Eine Politik, die die Infektionen nicht beseitigt, sondern die ohnehin schon eingeschränkte Freiheit der Chinesen dem Erdboden gleichmacht. Menschenleere Straßen, Familien, die ohne Nahrung zurückgelassen wurden und ihre Häuser nicht einmal für das Nötigste verlassen konnten, Supermärkte, die von hungrigen Menschenmassen gestürmt wurden, Positive, die gegen ihren Willen in Covid-Zentren eingesperrt wurden, die wie Gefängnisse aussehen. Eine ""Gesundheitskatastrophe"", zu der die Welt zu schweigen scheint. Was ist aus denen geworden, die in unseren Breiten fast zwei Jahre lang eine nicht existente Gesundheitsdiktatur angeprangert haben? Wie kommt es, dass niemand Petitionen, Hashtags, Fotos und Protest-Sit-Ins gegen die Menschenrechtsverletzungen des Pekinger Regimes startet? Wo ist die Leidenschaft, mit der sie alle unantastbaren Freiheiten verteidigten? Wir kultivieren hier einige Verdächtigungen. Angesichts der Bilder von den ""Abschiebungen"" von Kranken in die chinesischen Metropolen versinkt die Vorstellung einer Gesundheitsdiktatur in Italien im Spott und bleibt in aller Scheinhaftigkeit nackt. Und denen, die noch vor ein paar Wochen geschrien haben, sind plötzlich die Worte vergangen. Vielleicht auch, weil viele von ihnen direkt aus dem No-Vax-Graben in den Pro-Putin-Graben übergegangen sind. Und wie wir wissen, ist die Faszination für Autokratien ansteckend: Es dauert einen Moment, um das chinesische Regime überhaupt zu verteidigen. Der Kurzschluss ist perfekt."
26101	1	Ein Schimpanse würde es besser machen als Gigino Di Maio: Er ist so ignorant, dass er die Farnesina eine Karte veröffentlichen lässt, auf der er Moldawien mit der Ukraine verwechselt
26101	3	Nach Matera in Apulien und Russland, das an das Mittelmeer grenzt, können Ausländer die Ukraine nicht von Moldawien unterscheiden. Wie sie sagen, wir sind in einem Eisenfass ... mit Nägeln drin.
26101	5	Ich habe mich geirrt, ein Schimpanse in dieser Position hätte weniger Schaden angerichtet.
26101	6	Besser wird es, wenn Gigino von der Nato als Corvo Rockefeller eingesetzt wird.
26101	7	Es ist interessant festzustellen, wie plötzlich er für die Medien des Regimes zu einem Unberührbaren geworden ist.
26101	8	Der Propagandaapparat der Nato geht gegen Gegner vor und bietet seinen Lakaien medialen Schutz.
26101	9	Dieser Charakter wäre ohne Medienberichterstattung längst verflogen.
