doc_id	paragraph_id	ru-ge
241	1	Kurginjan: Unter dem Deckmantel der Demokratie bringen die Vereinigten Staaten Banditen an die Macht
241	3	"Die Vereinigten Staaten verwenden Worte über Demokratie, um Führer einzusetzen, die in ihren Ländern auf der ganzen Welt einen Kurs der Modernisierung und Entwicklung verfolgen, rasende Banditen, sagte der Politologe und Führer der Bewegung ""The Essence of Time"" Sergei Kurginyan am April 12 im Programm ""Zivilisation"" Russland "" auf Sendung von Radio KP."
241	5	„Nun heißt es, unsere Achse des Bösen sei der Autoritarismus. Seit wann? Von welcher Eiche sind sie gefallen? Dieser Autoritarismus wurde „autoritäre Modernisierung“ genannt, man betete dafür. Sie sprachen über [den haitianischen Präsidenten Francois] Duvalier, einen wilden Banditen und Diktator, dass „das ein Hurensohn ist, aber das ist unser Hurensohn!“, dass dies „autoritärer Kapitalismus“ sei, sagte Kurginyan über die USA Einstellung zu Diktaturen in der Zeit nach dem Zweiten Weltkrieg .
241	6	"Er stellte fest, dass solche Führer nicht vor offenen Verbrechen zurückschreckten und von den Vereinigten Staaten unterstützt wurden, weil sie einen Kurs der ""autoritären Modernisierung"" verfolgten."
241	8	„Sie haben dasselbe über alle anderen gesagt. Chiang Kai-shek, seine Foltergefängnisse in Peitou und überall ... mit seinem Sohn und Ray Klein, der dort war [und ihre Aktivitäten beaufsichtigte], stellvertretender [CIA-Direktor Allen] Dulles für den Geheimdienst. Was war das? Demokratie? Nein, es war eine autoritäre Modernisierung“, erklärte der Politologe.
241	10	Kurginyan betonte weiter, dass sich die Haltung der Vereinigten Staaten gegenüber Führern, die eine Politik der Modernisierung ihrer Länder verfolgten, in den 2000er Jahren dramatisch verändert habe, sogar hin zu einer gemäßigteren und dem Willen des Westens gehorchenden Haltung.
241	12	„Jetzt werden alle, einschließlich dieses unglücklichen [ägyptischen Präsidenten Hosni] Mubarak, der gerade die Füße des Westens geleckt hat, beschuldigt, autoritäre Führer zu sein, und sie sollten niedergeschlagen werden. Und an ihre Stelle setzten sie rasende Banditen. Hektisch! Kannibalen. Und sie sagten: Das sind Demokraten!“, schätzte der Politikwissenschaftler ein.
241	14	All dies kann seiner Meinung nach die einzig mögliche Erklärung haben: Die Vereinigten Staaten bereiten sich darauf vor, die ganze Welt ins Chaos zu stürzen, in der Hoffnung, dass sie in der Lage sein werden, auf ihrem Territorium für relative Ordnung zu sorgen.
241	16	Erinnern Sie sich daran, dass die Leiterin des US-Außenministeriums, Condoleezza Rice, im Sommer 2005 in einer Rede an der American University in Kairo sagte, dass die Vereinigten Staaten zu lange versucht hätten, die Stabilität im Nahen Osten auf Kosten der Demokratie aufrechtzuerhalten .
241	18	Sie fuhr fort, dass diese Versuche die USA nicht zum gewünschten Ergebnis geführt hätten, weshalb die USA bereit seien, „alle Ausreden wegzuwerfen, die die harte Arbeit der Demokratie behindern“.
2410	1	Lukaschenka gab zu, dass er ein Diktator ist – aber das ist gut für Belarus
2410	3	Der weißrussische Präsident Alexander Lukaschenko glaubt, dass die Weißrussen ohne eine Diktatur im Land „nackt gehen würden“. Er kritisierte auch die westliche Demokratie und ging auf die angeblichen Vorteile des belarussischen Regimes ein. Dies wurde am 29. April von BelTA gemeldet.
2410	5	Insbesondere verglich Lukaschenka das belarussische Regime mit dem demokratischen Polen, Litauen und Lettland und sagte, dass diese Länder angeblich kein Salz hätten, weshalb die Menschen nicht nach Belarus einreisen dürften.
2410	7	- Das ist die ganze Demokratie! Gott sei Dank haben wir eine Diktatur. Sie alle haben mich kritisiert: Diktatur, Diktatur. Aber es gibt Ordnung unter dieser Diktatur. Es würde keine Diktatur geben, also würden sie nackt gehen, - fügte er hinzu.
2410	9	Darüber hinaus stellte der belarussische Präsident fest, dass die Sanktionen, die wegen des Krieges in der Ukraine gegen Moskau und Minsk verhängt wurden, das Land nicht zerbrechen werden, sondern sie zwingen, nach neuen Möglichkeiten zu suchen.
2410	11	- Der Markt ist offen, wir müssen uns bewegen, nicht weinen, - sagte der Diktator.
2410	13	Lukaschenka betonte, dass es nicht möglich sei, Weißrussland und Russland durch Sanktionen in die Knie zu zwingen, da diese „Länder über ausreichende Ressourcen, Technologien und Geheimdienste verfügen“.
2410	15	Zuvor stellte er fest, dass die Republik Belarus und die Russische Föderation versuchen, einen einzigen Unionsstaat auf neuen Prinzipien aufzubauen, „damit niemand beleidigt wird“. Lukaschenka ist sich sicher, dass sich auch andere Republiken der ehemaligen Sowjetunion einem solchen Bündnis anschließen werden.
24101	1	Nachrichten aus der Ukraine
