doc_id	paragraph_id	po-ge
251	1	Nord Stream 2 ist das größte Problem der deutschen Politik
251	3	"Die Gaspipeline Nord Stream 2 und die daraus resultierende Energieabhängigkeit von Russland seien das größte Problem der deutschen Außenpolitik, schreibt die Süddeutsche Zeitung und betont, Deutschland müsse sich aus der ""zerstörerischen Abhängigkeit"" von russischem Gas befreien."
251	5	Ein solches Verhältnis habe es schon zu Zeiten des Kalten Krieges gegeben, aber damals sei argumentiert worden, Anbieter und Kunde bräuchten einander und müssten im eigenen Interesse Wirtschaft und Politik trennen, ergänzt das Blatt.
251	7	"Deutschland braucht russisches Gas, und Russland braucht deutsches Geld, aber ""der russische Präsident (Wladimir Putin) denkt strategisch"" und rückt die Einkommensfrage in den Hintergrund - stellt ""SZ"" fest."
251	9	"""Russland verfolgt seit langem eine Strategie, die Europäische Union zu spalten, einzelne Staaten zu isolieren und damit Europas stärkste Waffe zu demontieren: die wirtschaftliche Einheit"", urteilt das Papier und stellt fest, dass ein solches Vorgehen es vor Sanktionen schützen kann und auch ""dem übergeordneten Zweck dient die EU und ihre demokratischen Ideale auf Distanz zu halten."
251	11	"Die SZ weist darauf hin, dass ""das wichtigste Ziel dieser Destabilisierungspolitik Deutschland ist, weil dieses Land den größten Einfluss in Europa hat und Gesellschaft und Politik in der Wahrnehmung Russlands gespalten sind""."
251	13	„Dahinter steckt natürlich kein technisches Problem, sondern eine politische Absicht, die Präsident Wladimir Putin oft und direkt betont hat: Wenn die NS2-Gaspipeline endlich in Betrieb genommen wird, wird die Gasknappheit ein Ende haben“, schreibt die „SZ“. Erpressung erfordert eine schwierige Entscheidung: Kapitulation oder Widerstand.
251	15	Die Genehmigung der NS2-Gaspipeline wird die wichtigste außenpolitische Entscheidung sein, die die neue Bundesregierung von der vorherigen übernehmen wird, was die neue Regierungskoalition zwingen wird, in dieser Frage Stellung zu beziehen, stellt die Zeitung fest.
251	17	"Weil die problematische Frage von Nord Stream 2 lange Zeit ungelöst sei, würden seiner Einschätzung nach ""frühere Argumente für den Bau schwächeln"" - zum Beispiel, dass, wenn Russland den Gashahn zudrehe, die Ukraine und die mitteleuropäischen Länder dazu in der Lage seien zur Versorgung der sog Rückseite aus Deutschland. Die Tageszeitung weist jedoch darauf hin, ""wenn Gas wirklich knapp wird und deutsche Gasversorger anfangen, sich um jeden Kubikmeter zu streiten, wird der Konflikt nach Westeuropa verlagert""."
251	19	Es gebe viele Probleme, und „der Käufer ist in einem Geflecht aus Abhängigkeit und eigener Erpressbarkeit gefangen“. Aus dieser Situation gibt es nur einen Ausweg: Deutschland muss sich aus der Abhängigkeit von Russland befreien durch die Suche nach anderen Bezugsquellen, alternativen Energiequellen, Entschlossenheit bei der Auslegung des Liefervertrags und schließlich eine politische Entscheidung zur Stilllegung der Gaspipeline.
251	21	Die Ukraine wird nicht nur zu einem potenziellen Ziel der russischen Gaspolitik, auch Deutschland gerät in eine schädliche Abhängigkeit. Das Problem nimmt keineswegs ab“, resümiert die Süddeutsche Zeitung.
251	23	Marzena Szulc (PAP)
2510	1	Krieg in der Ukraine: Neueste Informationen.
2510	3	Der Krieg in der Ukraine live: Nachfolgend präsentieren wir in den Punkten eine Sammlung der wichtigsten Informationen von der Kriegsfront in der Ukraine und der polnischen und globalen Wirtschaft.
2510	5	Laut Experten des Zentrums für Oststudien haben die russischen Aktivitäten außerhalb des Donbass derzeit keinen Charakter, der den Wunsch des Kremls bezeugen würde, weitere Gebiete zu erobern. Russische Einheiten waren auf die sogenannten beschränkt Verbesserung der taktischen Situation und Ausbau der Verteidigungsstellungen.
2510	7	Die vom OSW zitierten Informationen des amerikanischen Geheimdienstes könnten jedoch darauf hindeuten, dass Russland seine Pläne für eine weitere Expansion in Richtung Saporoschje, Krywyj Rih und Mykolajiw nicht aufgibt.
2510	9	Finnland und Schweden haben am Mittwoch, dem 18. Mai, einen formellen Antrag auf NATO-Mitgliedschaft gestellt. Der Vorschlag gilt als eine der bedeutendsten Änderungen der internationalen Sicherheit seit Jahrzehnten.
2510	11	Die Evakuierung von Soldaten aus dem Azovstal-Stahlwerk, die sich nach vielen Wochen harten Widerstands gegen die russische Belagerung ergeben haben, ist im Gange. Damit endet eine der härtesten und härtesten Schlachten des Krieges. Präsident Selenskyj sagte in einem Interview mit dem französischen Präsidenten Emmanuel Macron, dass die Evakuierung unter der Aufsicht der ukrainischen Behörden in Form eines Austauschs von Kriegsgefangenen durchgeführt werde, aber sie nannten keine Einzelheiten über die Operation. Derzeit ist nicht bekannt, wie viele Menschen noch im Stahlwerk und wie viele bereits in Russland sind. Auch ihr weiteres Schicksal ist fraglich, da nicht bekannt ist, ob Russland sich entschließen wird, Kriegsgefangene gemäß dem Abkommen auszutauschen.
2510	13	Die russische Belagerung von Mariupol dauerte mehr als zehn Wochen. Der ukrainische Widerstand verzögerte Russlands Fähigkeit, die volle Kontrolle über die Stadt zu erlangen, erheblich und verursachte den russischen Streitkräften schwere Verluste.
25100	3	Donald Tusk sagt, er werde ein Pilotprojekt zur Verkürzung der Arbeitswoche durchführen. Seine politischen Gegner werfen ihm Ideenklau, Heuchelei und leere Versprechungen vor. Aber macht eine Vier-Tage-Woche Sinn? Laut einigen Ökonomen ist der Wandel unvermeidlich. Aber jetzt ist nicht der richtige Zeitpunkt dafür.
25100	5	Vor wenigen Tagen kündigte Donald Tusk an, dass sein Wahlvorschlag darin bestehen werde, die Arbeitszeit der Polen zu verkürzen. „In Polen sollten wir, und das wird mein Vorschlag sein, wenn wir die Wahlen gewinnen – Entschuldigung: wenn wir die Wahlen gewinnen – so bald wie möglich mit dem Programm der verkürzten Arbeitswoche beginnen“, sagte das New Generation of Civic Platform Meet Up in Szczecin bei einem Treffen mit Jugendlichen.
25100	7	"Das Programm könnte darin bestehen, den Arbeitstag beispielsweise auf 7 Stunden oder die Arbeitswoche auf vier Tage zu verkürzen. Gehaltskürzungen gibt es nicht. Die landesweite Umsetzung der Reform würde von den positiven Auswirkungen des zuvor durchgeführten Pilotprojekts abhängen. Bis zu den Wahlen soll Tusk sein genaues Vorhaben vorstellen. Andere Politiker griffen das Thema schnell auf. Zunächst wies Adrian Zandberg von der Together Party darauf hin, dass seine Partei vor einigen Jahren ein ähnliches Postulat aufgestellt hatte. 2018 sammelte die Partei Unterschriften für einen Bürgerentwurf zur Arbeitszeitverkürzung um 7 Stunden ohne Lohnkürzung. „7 Stunden sind mehr Zeit für die Familie und für die Entfaltung von Interessen“ – warb für das Projekt Party Together. „Ich schlage vor, 7 Stunden pro Woche zu arbeiten! Oder nicht - in einem Monat"", spottete damals Borys Budka von der PO, an dessen Social-Media-Eintritt sich Politiker der Together Party jetzt nicht versäumten. Zandberg stellt ironischerweise fest, dass er die spirituelle Transformation der PO-Politiker nicht anzweifel, sondern empfiehlt, die Partei zu wählen, die der eigentliche Autor des Vorschlags ist. Robert Biedroń von Nowa Lewica wiederum deutete an, seine Partei werde einen Gesetzentwurf zur Vier-Tage-Arbeitswoche vorlegen und sehen, was passiert. „Wir werden Donald Tusk und alle PO-Abgeordneten sowie andere Gruppen prüfen, ob sie uns bei der Abstimmung unterstützen werden“, sagte Biedroń in einer der Fernsehsendungen. Hanna Gill-Piątek von Polen 2050 erklärte, sie habe nichts gegen das Experiment. Auf der anderen Seite torpedierte Szymon Hołownia, der Vorsitzende von Polen 2050, die Idee: „Es ist wirklich schwer zu verstehen, warum die Vier-Tage-Arbeitswoche in einer Zeit diskutiert wird, in der die Menschen alles tun, um mehr verdienen zu können dass es endlich keinen Mangel gibt"", schrieb er auf Twitter."
25100	9	PiS: Tusk verspricht 4 Tage Arbeit? Machen Sie sich bereit für 6 Tage
