doc_id	paragraph_id	po-en
251	1	Nord Stream 2 is the biggest problem of German politics
251	3	"The Nord Stream 2 gas pipeline and the resulting energy dependence on Russia are the biggest problem of German foreign policy, writes the daily Sueddeutsche Zeitung, stressing that Germany must free itself from ""destructive dependence"" on Russian gas."
251	5	Such a relationship already existed during the Cold War, but back then it was argued that supplier and customer needed each other and should separate business from politics in their own interests, the paper adds.
251	7	"Germany needs Russian gas, and Russia needs German money, but ""Russian president (Vladimir Putin) thinks strategically"" and put the issue of income into the background - notes ""SZ""."
251	9	"""Russia has long pursued a strategy of dividing the European Union, isolating individual states, and thus dismantling Europe's strongest weapon: economic unity,"" the paper assesses, noting that such an approach can protect it from sanctions and also ""serves the overriding purpose of holding the EU and its democratic ideals at a distance."
251	11	"SZ points out that ""the most important target of this destabilization policy is Germany, because this country has the greatest influence in Europe, and society and politics are divided in the perception of Russia."""
251	13	"""Of course, there is no technical problem behind this, but a political intention that President Vladimir Putin has often and directly emphasized: if the NS2 gas pipeline is finally launched, the gas shortage will end,"" writes ""SZ"", adding that such blackmail requires a difficult decision: surrender or resist."
251	15	Approval of the NS2 gas pipeline will be the most important foreign policy decision that the new federal government will inherit from the previous one, which will force the new ruling coalition to take a stand on this issue, the newspaper notes.
251	17	"As he estimates, because the problematic issue of Nord Stream 2 has been unresolved for a long time, ""earlier arguments for its construction are weakening"" - for example, that if Russia turns off the gas tap, Ukraine and Central European countries will be able to supply the so-called reverse from Germany. However, the daily points out that ""if gas is really scarce and German gas suppliers start arguing about every cubic meter, the conflict will move to Western Europe."""
251	19	"There are many problems, and ""the buyer is trapped in a web of dependence and his own vulnerability to blackmail."" In this situation, there is only one way out - Germany must free itself from dependence on Russia by finding other sources of supply, alternative energy sources, firmness in interpreting the supply contract and finally a political decision to close the gas pipeline."
251	21	Not only is Ukraine becoming a potential target for Russia's gas policy, Germany is also falling into pernicious dependence. The problem is by no means diminishing,” sums up the Sueddeutsche Zeitung.
251	23	Marzena Szulc (PAP)
2510	1	War in Ukraine: Latest Information.
2510	3	The war in Ukraine live: below, in the points, we present a collection of the most important information from the war front in Ukraine and the Polish and global economy.
2510	5	Currently, Russian activities outside the Donbas do not have a character that would testify to the Kremlin's desire to seize more territories, according to experts from the Center for Eastern Studies. Russian units were limited to the so-called improving the tactical situation and expanding defensive positions.
2510	7	However, information from American intelligence, cited by the OSW, may indicate that Russia is not abandoning its plans for further expansion in the directions of Zaporozhye, Kryvyi Rih and Mykolaiv.
2510	9	Finland and Sweden formally applied for NATO membership on Wednesday, May 18. The proposal is considered one of the most significant changes to international security in decades.
2510	11	The evacuation of soldiers from the Azovstal steelworks, who surrendered after many weeks of tough resistance to the Russian siege, is underway. This ends one of the hardest and toughest battles of the war. President Zelensky said in an interview with French President Emmanuel Macron that the evacuation is being carried out under the supervision of the Ukrainian authorities in the form of an exchange of prisoners of war, but they did not provide details about the operation. Currently, it is not known how many people are still in the steelworks and how many are already in Russia. Their further fate is also in doubt, as it is not known whether Russia will decide to exchange prisoners of war in accordance with the agreement.
2510	13	The Russian siege of Mariupol lasted more than ten weeks. Ukrainian resistance significantly delayed Russia's ability to gain full control of the city and caused heavy losses to Russian forces.
25100	3	Donald Tusk says he will conduct a pilot project on shortening the working week. His political opponents accuse him of stealing other people's ideas, hypocrisy and making empty promises. But does a four-day workweek make sense? According to some economists, change is inevitable. But now is not the right time for it.
25100	5	"A few days ago, Donald Tusk announced that his election proposal would be to shorten the working time of Poles. ""In Poland, we should, and this will be my proposal, if we win the elections - sorry: when we win the elections - to start the shortened working week program as soon as possible,"" said the New Generation of Civic Platform Meet Up in Szczecin during a meeting with young people."
25100	7	"The program could consist in shortening the working day to, for example, 7 hours or the working week to four days. There is no reduction in salary. Implementation of the reform across the country would depend on the positive effects of the previously conducted pilot. Until the elections, Tusk is to present its exact project. Other politicians quickly picked up on the topic. First, Adrian Zandberg from the Together Party pointed out that his party had presented a similar postulate several years ago. In 2018, the party collected signatures for a civic bill on working time shorter by 7 hours, without a reduction in pay. ""7 hours is more time for the family and for the development of interests"" - promoted the project of the Party Together. “I suggest working 7 hours a week! Or not - in a month,"" Borys Budka from PO mocked at the time, whose social media entry politicians from the Together Party did not fail to recall now. Zandberg ironically states that he does not doubt the spiritual transformation of PO politicians, but recommends voting for the party that is the actual author of the proposal. In turn, Robert Biedroń from Nowa Lewica indicated that his party would submit a draft law on a four-day working week and see what would happen. ""We will check Donald Tusk and all PO deputies, as well as other groups, whether they will support us during the vote,"" said Biedroń in one of the TV programs. Hanna Gill-Piątek from Poland 2050 stated that she had nothing against the experiment. On the other hand, Szymon Hołownia, the leader of Poland 2050, torpedoed the idea: ""It's really hard to understand the purpose of discussing the four-day working week at a time when people are doing everything to be able to earn more, so that finally there is no shortage,"" he wrote on Twitter."
25100	9	PiS: Tusk promises 4 days of work? Get ready for 6 days
25100	11	"A strong opponent of the proposal is Artur Dziambor from the Freedom Party. “A four-day working week increases the operating costs of companies by 25 percent.” the MP thunders. Unless - as he claims - shorter working hours will be associated with a cut in salary. According to him, the working time in the company depends on the agreement between the employee and the boss. And imposing shorter working hours on them in advance strikes at their freedom. Artur Dziambor also has no doubts that by presenting such a proposal, Tusk is casting a net on the young, more left-wing electorate. He is accompanied by Sławomir Mentzen, president of the Polish Business Congress, member of the KORWiN party. ""If someone thinks that going to work four instead of five days a week increases efficiency, then let them run their company in this way and with this patent they will wipe out the competition from the board,"" Sławomir Mentzen mocked the idea on Facebook."
25100	13	The president of PiS, Jarosław Kaczyński, also referred to the proposal during his visit to Grójec. He mocked that the idea should alarm voters.
25100	15	- They promised a four-day work week. Considering how it's been with their big promises so far, that means it's going to be six days! I can already see it with my mind's eye. First, for two months, four days, then saying: well, the society has not matured, it has not succeeded, but now we have to make up for it, six - said Jarosław Kaczyński.
25100	17	"Beata Mazurek from PiS reminded that PO voted against free Sundays in trade. And now all of a sudden this party wants to be an advocate for reducing working hours. According to her, Tusk is a ""dangerous populist""."
25100	19	"Earlier, Waldemar Buda, the Minister of Development and Technology, did not spare Tusk criticism: “When he was supposed to lower taxes, he increased them. When he was supposed to lower the retirement age, he raised it. I would be afraid if working Saturdays are not hidden behind this solution, ""he said on Polsat News. And he added that PiS also made calculations regarding a four-day working week. He also stated that the current economic situation is not conducive to introducing such changes."
25100	21	Currently, the government is focusing on the implementation of flexible forms of employment, e.g. remote work (a government bill is in the Sejm, it has been submitted to the Sejm Extraordinary Committee). Statutory shortening of the working week is therefore not an option. Marlena Maląg, Minister of Family and Social Policy, reminded Polish Radio that today nothing stands in the way of the employer and employee agreeing on a shorter working time, if necessary.
25100	23	We want to work less. But earn less
25100	25	The proposal to reduce working hours may have electoral potential. According to a Hays survey, 96% of employees like the four-day work model. respondents. On the other hand, a shorter working week and the resulting 80% pay cut were supported by only 19% of respondents. surveyed. Another study, Barometer of the Polish Labor Market, showed that, apart from the medical care package, it is the four-day working week that is the bonus most expected by employees. Donald Tusk's initiative can therefore be treated as an element of the pre-election game. It is also, and not for the first time, winking at the young, left-wing electorate. Another thing is whether the PO is credible in this flirting with a more or less left-wing voter. Tusk, talking about the four-day working week, did not say much. He noted, among other things, that this is not the answer for today and that, taking into account the experience of the pandemic and the automation of work ahead of us, the challenges regarding working time will have to be taken seriously. Simple election promises and expectations of the electorate are one thing, and another - whether such a solution makes sense in our reality.
25100	27	"Various rankings (data vary depending on the research methodology) place us among the busiest nations in Europe. According to the ""Working time in 2019-2020"" report prepared by Eurofound, an average of 1,848 hours were worked in Poland in 2020. In Germany -1574 hours. A detailed survey last year was conducted by UCE Research and Syno Poland. This analysis shows that 21% of employees worked more than 8 hours a day. study participants. In turn, 13 percent respondents worked 9-10 hours, and 8 percent. - more than 10 hours a day (804 professionally active Poles were asked). The Eurostat study shows that in 2021 the average working time in Poland was 40.3 hours. weekly. According to this equation, the Serbs (43.3 hours) and the Greeks (40.6 hours) worked more. The shortest working hours last year were in the Netherlands - on average it was 31.6 hours. weekly. This was followed by Norway (34.2 hours), Denmark (34.8 hours), Germany (35.2 hours). The authors of the study found that the European countries with the most work pay the lowest hourly wages. So will shortening the working time automatically improve its efficiency, and thus economic parameters? That's not how it works, economists say. Shorter working hours and higher wages may be the result of the development of the economy, not its driving force."
25100	29	- The key to reducing working time and maintaining wages is to increase labor productivity. The idea is to create the same value of products or services with less hours of work. And this requires progress in automation, robotization, the use of new technologies and artificial intelligence. Investment is needed in these areas. Shorter work is an inevitable direction the world is heading in, but implementing this direction is a matter of at least a decade. It cannot be done in a revolutionary way, it is an evolutionary, long-term process, says Andrzej Kubisiak, deputy director of the Polish Economic Institute.
25100	31	Poland is not Great Britain
25100	33	So far, no country has decided to introduce a statutory four-day working week. Although, of course, some companies, especially during pandemic restrictions, have made their working hours more flexible. There are also countries where the daily working time has been shortened, e.g. to 7 hours (France). Pilot projects concerning the four-day working week were carried out on a different scale, e.g. in Japan, New Zealand, Iceland. In the latter country, pilots noted that they were more productive, less stressed and better able to balance work and leisure. It should be added here that officials from government institutions and the Reykjavik City Council took part in the test, and the study lasted 4 years. Currently, the experiment is carried out in Spain and Great Britain. The British pilot, which started in June, is the largest to date, covering 3,000. employees from 70 companies. Its participants are to work 32 hours a week for six months, without a reduction in pay. Experts emphasize that even if the solution works in another country, it may not be the case here, or not immediately. The specificity of our economy is different than, for example, the British one. We are dominated by small companies. And it may be more difficult to implement technological changes in them.
25100	35	The share of highly developed sectors in the British economy is higher than in Poland. Our economy is still largely based on sectors where man-hours matter and determine the success of a company. We should wait for the completion of the pilot projects and only then consider such an experiment in Poland - adds Andrzej Kubisiak.
25100	37	"""This idea is harmful"""
25100	39	Shortening working hours in our country may be problematic in some sectors. Especially in those that are struggling with the lack of employees. This applies to the medical industry, for example. If we shorten the working week, the availability of doctors will be smaller, or there will be a fictitious shortening of working time in their case. Medical staff will have to take additional shifts to fill staffing gaps. In fact, it will work the same as it does now. There are also questions about trade or gastronomy? Will entrepreneurs be able to afford to maintain the continuity of their companies if the employee's working week is 4 days?
25100	41	Cezary Kaźmierczak, president of the Association of Entrepreneurs and Employers, has no doubts: the idea is harmful, infantile and detached from reality. And some Polish politicians, not only from PO, when submitting such a postulate, behave as if we were another Switzerland.
25100	43	"“Poland is quite a rich country compared to the rest of the world; but compared to Europe it is no longer the case. So far, Poland has less than 60 percent. Germany's GDP per capita. Germany is one and a half times more efficient than Poland, and also has higher productivity. If we are to continue to effectively chase them, as we have been chasing for 30 years, and reach the standard of living of these rich Western countries, we should work not less, but more, to catch up with them"" - said Cezary Kaźmierczak, quoted by PAP."
25100	45	In the opinion of prof. Jacek Męcina, advisor to the board of Konfederacja Lewiatan, a four-day working week in our conditions would result in a reduction in salaries and a reduction in the number of employees.
25100	47	- Simply reducing the working week from 5 to 4 days means that, in principle, productivity decreases. Therefore, workers' wages should be reduced by about 20 percent. The argument that the reduction of working time will be compensated by an increase in productivity cannot be accepted, because there are no such guarantees and such possibilities are not always possible. The French experience of the late 1980s showed that the reduction of working time was not compensated by the increase in productivity, and the transfer of the costs of such a solution to employers cannot be accepted. This would lead to a reduction in the competitiveness of companies and problems in the entire economy - says prof. Jacek Męcina.
25100	49	According to him, the current time, especially in view of the possible recession, is not the best time for experiments. However, the proposed solution cannot be completely rejected. In automated sectors based on modern technologies, the reduction of working time will be desirable in the future.
25100	51	- In the first place, such space will appear in industrial sectors, but also in modern services. Investments in robotization and process automation mean huge expenses for companies in the first phase. So the question is how we will compensate them for these investments. In addition, we must remember that maintaining employment will increasingly require additional investments in improving or changing the qualifications of employees, and this also means significant expenditures - says prof. Jacek Męcina.
25101	1	Lewicka: Not Moscow and Beijing, but Berlin and Brussels. PiS is still looking for enemies in the West
25101	3	The war in Ukraine has not really changed much in PiS's foreign policy, in thinking about geopolitical threats and challenges for Poland. The power camp is constantly hostage to the anti-German obsession of its leader and superpower stories about great Poland and an equally great army from Vienna or Kircholm.
25101	5	If untrue stories are sold to the public, sooner or later their incompatibility with reality will surface. Like Rydz-Śmigły, who believed that he was the second Piłsudski, that he would not give up even a button to the Third Reich, only to be interned by the Romanians and abandon the troops, still fighting on two fronts at that time, to their fate. Let's follow these smacked dubs of the president and the rest of the rulers.
25101	7	"Germany is an extremely destructive element in Europe, said Jarosław Kaczyński in an interview for ""Gazeta Polska"". He argued that Berlin's goal was to ""keep us under his heel."" He graciously decided that ""today there is no Hitler's madness in them"", but ""if you look at Bismarck, then - taking into account other historical circumstances, of course - the goals are the same."""
25101	9	"It should be recalled here that Bismarck was not only the creator of the power of the Second Reich, but also the driving force behind the brutal Germanization of the lands under Prussian rule. So has the PiS president noticed a new ""Kulturkampf"" in Berlin's politics now?"
25101	11	"Recently Kaczyński was bizarrely backed up by none other than the president of the National Bank of Poland. Adam Glapiński argued, probably strongly consternated financial markets, that one of our neighbors (then the word ""Germany"" was mentioned) plans to trick Poland into the euro zone in order to build a European federation in six months and deprive us of our sovereignty."
25101	13	"This is a slightly modified echo of the president's words spoken at the rally in Kielce. The president said there that Germany is not a superpower, but if they used the EU as ""stilts"", they would be, and we, in turn, would be under their shoe, and ""a shoe is a shoe"". PiS also returns to the narrative about reparations, which it has no chance of getting, and which demand it has been unable to make for years, because the report on this subject is allegedly ""translated into many languages"". It is astonishing that PiS is unable to reach for the money from the Reconstruction Fund, and deceives us with unrealistic compensation from Berlin."
25101	15	"In fact, it is also difficult to follow Kaczyński in his thinking about the western neighbor. Sometimes it's a power wanting to swallow us, other times it's only at our expense that it plans to push itself to power. Sometimes Germans are funny, other times they are threatening. In one city, Kaczyński claims that Germany is an economic superpower, in another he shrugs his shoulders that the purchasing power of one euro is about three zlotys, so not that much, and Polish doctors no longer work there because ""they pay less than here ""."
25101	17	The president's fear of the German is mixed with complexes towards the German. And on top of all this, there is a political game to incite the public against Berlin, because it is known that PiS cannot exist, act and campaign without an enemy.
25101	19	Without an imaginary enemy that does not really exist and with which you do not have to fight at all. Only such enemies can PiS defeat like a knight errant from La Mancha looking for dangerous opponents in windmills.
25101	21	The real enemy - Russia returns mainly in the propaganda spreading of inflation as the main and almost the only cause of price increases in Poland and throughout Europe. And besides, Berlin and Brussels want our sovereignty more than Moscow. And China, allied with Russia, in general, especially to President Duda, seems to be an attractive colleague to do politics and business.
25101	23	Let's move on. This reversal of directions from which evil can come is accompanied by constant crowing about our power - political and military. We will never again allow a Russian soldier to set foot on Polish soil - the Prime Minister blows the banner of national pride. But you can always count on the president in such matters. Poland is large enough to have a place to bury the attackers, he threatened just after the outbreak of the war in Ukraine.
25101	25	PiS is waving a law on the defense of the homeland in front of the public's nose, which so far has nothing to do with it, except for quick purchases, without a plan, but on the credit of future generations, and military plans to enlarge the army, questioned by many.
25101	27	Kaczyński sees the Polish army huge, and this is also supposed to tickle us nationally. And if it came to anything, it would be necessary to refer to what Andrzej Duda himself had mentioned when asked about Putin's possible aggression against Poland.
25101	29	There is a potential threat, he replied, but please note that over 10,000 soldiers of the world's largest army are present in Poland. The most powerful, best and most modernly equipped army. So it is, as always, first Poland is a power, and that's it, we don't have a button here and so on, and a moment later we nervously look for the Americans. Phew, there are, and there are even more of them lately. What a relief!
25101	31	Here, however, it is enough to recall that at the end of last year, having at its disposal US intelligence findings about the impending Russian aggression against Ukraine, PiS went to war with the Americans over TVN. Because internal party goals were more important for President Kaczyński than good relations with our possible main defender.
25101	33	"Not only is PiS incapable of conducting foreign policy, because there are the same losers in the diplomatic service as in any other job taken over by the party. Also because he puts party interests above raison d'état. Those who are relieved that PiS took the right side after February 24 should not forget that this war is ""political gold"" for PiS."
25101	35	This can be seen in the attempts to militarize the public debate, which is intended to divert public attention from high prices and other ills. The fact that one Lech Kaczyński accurately predicted Russian plans does not mean that PiS has learned or understood anything. It remains to be hoped that history will never test their effectiveness as it did Rydz-Śmigły.
25102	1	Call the caravan. Greta Thunberg killed those who wipe their mouths with ecology
25102	3	The youth forum Youth4Climate, which is taking place in Milan, was yesterday an opportunity for Greta Thunberg to make a strong comeback. This time we didn't hear the jittery teenager anymore. I have the impression that a serious leader of a new generation is being born.
25102	5	"Like Hamlet saying ""words, words, words"", Greta Thunberg from the very first words hit the world leaders and the empty platitudes they have been uttering for years regarding the fight against climate change. Blah, blah, blah with an admixture of words about plans, about climate neutrality, about ambitions - that's all we hear from their mouths."
25102	7	How much truth is in her statement. People who follow all the information about the climate economy and the new effects of climate change emerging in the world know exactly what Greta Thunberg had in mind.
25102	9	In the last two decades, a kind of newspeak has been created that has become a mandatory element in press releases by representatives of industry and governments of many countries.
25102	11	There are now no messages that do not refer to climate change. Almost every large company feels obliged to ensure that it aims to minimize or even eliminate greenhouse gas emissions by 2030, 2040 or 2050. However, as Thunberg notes, these are beautiful words that are not followed by any actions.
25102	13	Importantly, Thunberg has concrete evidence to support his thesis about the hypocrisy of power.
25102	15	For years we have been hearing about actions taken to protect the climate. At the same time, the data points to the exact opposite: half of all atmospheric emissions occurred in the last 30 years. One third - in the last 15 years. At the same time, we have become accustomed to the newspeak about plans to reduce carbon dioxide emissions.
25102	17	"Very often the phrase ""we will achieve X or Y by 2030"" is carte blanche for companies to do nothing here and now. ""After all, we have committed to reducing emissions by 2030, so if you need anything, ask us in 2031, and now leave us alone."""
25102	19	Meanwhile, the situation is dramatic right now, here and now.
25102	21	Greta Thunberg admits that currently we do not have technologies that we could simply switch to in order not to disturb the economy, and at the same time drastically reduce greenhouse gas emissions.
