doc_id	paragraph_id	it-po
261	1	Dziwna cisza braku blokad
261	3	​Dwadzieścia sześć milionów obywateli zamkniętych w domach. Pustelnicy. W domu. Mieszkańcy Szanghaju, pierwszego pod względem liczby ludności miasta w Chinach i trzeciego na świecie, podlegają bardzo surowej blokadzie
261	5	Dwadzieścia sześć milionów obywateli zamkniętych w domach. Pustelnicy. W domu. Mieszkańcy Szanghaju, pierwszego pod względem liczby ludności miasta w Chinach i trzeciego na świecie, poddawani są bardzo surowej blokadzie w imię polityki (bankructwa) przemianowanej na „Covid zero”. Polityka, która zamiast eliminować infekcje, zrównuje z ziemią i tak już ograniczoną wolność Chińczyków. Opustoszałe ulice, rodziny pozostawione bez jedzenia i niezdolne do opuszczenia domów nawet w celu zaspokojenia podstawowych potrzeb, supermarkety szturmowane przez wygłodniałe tłumy, pozytywy przetrzymywane wbrew ich woli w covidowych ośrodkach wyglądających jak więzienia. „Katastrofa zdrowotna”, wobec której świat zdaje się milczeć. Co stało się z tymi, którzy na naszych szerokościach geograficznych przez prawie dwa lata potępiali nieistniejącą dyktaturę w służbie zdrowia? Dlaczego nikt nie publikuje petycji, hashtagów, zdjęć i protestów przeciwko łamaniu praw człowieka przez reżim w Pekinie? Gdzie jest zapał, z jakim bronili wszystkich świętych swobód? Kultywujemy tutaj pewne podejrzenia. W obliczu obrazów „deportacji” chorych do chińskich megalopolis pomysł, że we Włoszech istniała dyktatura opieki zdrowotnej, pogrąża się w śmieszności i pozostaje nagi w całej swojej pozorności. I nagle ci, którzy jeszcze kilka tygodni temu krzyczeli, teraz stracili głos. Być może także dlatego, że wielu z nich przeszło bezpośrednio z okopów bez szczepień do okopów pro-putinowskich. A jak wiemy, fascynacja autokracjami jest zaraźliwa: nawet obrona chińskiego reżimu zajmuje chwilę. Zwarcie jest idealne.
26101	1	Szympans poradziłby sobie lepiej niż Gigino Di Maio: jest tak ignorantem, że pozwolił „Farnesinie” opublikować mapę, na której myli Mołdawię z Ukrainą
26101	3	Po Matera w Apulii i Rosji graniczącej z Morzem Śródziemnym Cudzoziemcy nie są w stanie odróżnić Ukrainy od Mołdawii. Jak to mówią, jesteśmy w żelaznej beczce… z gwoździami w środku.
26101	5	Myliłem się, szympans zajmując tę ​​pozycję wyrządziłby mniej szkód.
26101	6	Robi się lepiej, gdy Gigino zostaje wykorzystany przez NATO jako Corvo Rockefeller.
26101	7	Warto zauważyć, jak nagle stał się dla reżimowych mediów nietykalny.
26101	8	Aparat propagandowy NATO wycofuje się z przeciwników i zapewnia ochronę medialną swoim sługusom.
26101	9	Ta postać, bez relacji w mediach, dawno by wyparowała.
26101	10	Jakkolwiek to ująłeś, Tweet jest niemal dziełem sytuacjonistycznym.
26101	12	„Chcielibyśmy zrozumieć, co Farnesina miała na myśli z tym tweetem.
26101	13	Bo albo mapa jest błędna i byłoby to dość poważne, albo pomoc wysłała ich do niewłaściwego kraju (a byłoby to jeszcze poważniejsze..).
26102	3	"«Pracowalibyśmy na remis w CSM, żeby złamać mechanizm. Zrewolucjonizowalibyśmy odpowiedzialność sędziego, który popełnia błędy” – pisze florencki senator w swojej książce Il Mostro. Dlatego prądy, przede wszystkim Md, nie chciały, aby Gratteri został Strażnikiem Pieczęci. Rola przypadła piddino Andrei Orlando, ewidentnie uznawanej przez korporację za „niezawodną”. To właśnie Renzi podczas wczorajszej prezentacji swojej książki potwierdził najgorszą wersję, tę, która do tej pory pozostawała za kulisami. „Giorgio Napolitano”, powiedział, „korzystając z prerogatyw Karty Konstytucyjnej, powiedział mi, że nie chce, aby Gratteri był ministrem sprawiedliwości. Punkt""."
26102	5	Głowa państwa nie zrobiła nic poza realizacją weta nurtów, którym zależy na obronie status quo. „Nie tylko demokratyczne sądownictwo, ale także Unicost” z obszaru centrowego „był kategorycznie przeciwny kandydaturze Gratteriego, bo poszedłby tam pod prąd. Inni nie doceniali Gratteriego za jego niezbyt gwarantowane pozycje. Ale nie ma cienia wątpliwości, że Gratteri był w tym momencie elementem absolutnego rozbicia systemu, prawdziwego złomowania”.
26103	3	Wiosna powinna przynieść powiew świeżości, ale czytając dzisiejsze gazety, z niepokojem czytamy, jak po latach wyrzeczeń i nędzy, pomimo pandemii i wojen, strażnicy ortodoksji nadal oferują nam zwykłe recepty.
26103	5	23 maja Komisja Europejska opublikowała Raporty Krajowe, czyli raporty, w których Komisja przedstawia wyniki swojego monitoringu sytuacji gospodarczej i społecznej państw członkowskich, zawierające szereg zaleceń, za pomocą których proces nadzoru nad polityką budżetową (ale nie tylko) Stanów Zjednoczonych. Nadzór, który w ramach planu odbudowy po pandemii jest ściśle powiązany z wydatkowaniem środków z programu Next Generation EU, a tym samym z PNRR. W rzeczywistości, jak przypomniała Ursula von der Leyen, przewodnicząca Komisji Europejskiej, odnosząc się do konkretnych zaleceń dla każdego kraju, „do tej pory tylko od krajów zależało, czy się do nich zastosują, ale teraz zalecenia są powiązane z dotacje i potencjalne pożyczki”
26103	7	Oczywiście jest też trochę dla Włoch, a czytanie tego sprawia, że ​​ręce opadają.
26103	9	Już na pierwszej stronie reportaż mówi nam „kim jesteśmy i skąd pochodzimy” i chyba tylko za to mamy mu dziękować, bo prostym wykresem przypomina nam, wymazując nieznośną retorykę różnych „najlepszych”, którzy podążają za tym, że od kryzysu finansowego z 2008 r. nie tylko dramatycznie wzrosła różnica w stosunku do innych gospodarek europejskich, ale nawet pandemia dotknęła Włochy z realnym PKB wciąż o 3% niższym niż poziom sprzed 2008 r.; reszta to najnowsza historia: najbardziej znaczący spadek PKB w Europie w 2020 r., „odbicie”, które – w przeciwieństwie do tego, co dzieje się w innych krajach – jest w dużej mierze niewystarczające do odzyskania utraconej pozycji, linia PKB, która wraz z wojną powraca, by stać się horyzontalna i to na poziomie zawsze niższym niż w 2008 roku; krótko mówiąc, 15 lat, w których straciliśmy grunt pod nogami nie tylko w sensie względnym, ale także w sensie absolutnym.
26103	11	Nawiasem mówiąc, w sprawozdaniu zapomina się wspomnieć, że w ciągu tych piętnastu lat – a w szczególności od 2011 r. nadwyżek pierwotnych i zlikwidować te niewielkie środki socjalne), wiernie stosując się do „rad”, które znaleźliśmy w sprawozdaniach z poprzednich lat: krótko mówiąc, odczytanie, które szczerze mówiąc jest równoznaczne z odrzuceniem „pana”, a nie uczeń.
