doc_id	paragraph_id	ge-po
221	1	USA rozpowszechniają fałszywe historie, aby eskalować Rosję
221	3	Geniusze (nie) w Radzie Bezpieczeństwa Narodowego chcą sprowokować Rosję do bezpośrednich ataków na siły lub interesy USA. Dałoby to USA pretekst do dalszej eskalacji wojny na Ukrainie do otwartej konfrontacji. Odwracałoby to również uwagę od wewnętrznych problemów politycznych. Aby to osiągnąć, NSC rozpowszechniło w mediach szereg historii, w których twierdzi, że rzekome sukcesy Ukrainy opierają się na informacjach wywiadu USA.
221	5	WASZYNGTON – Stany Zjednoczone przekazały informacje o siłach rosyjskich, które umożliwiły Ukraińcom namierzenie i zabicie wielu rosyjskich generałów, którzy polegli w wojnie z Ukrainą, podali wyżsi urzędnicy amerykańscy. Ukierunkowana pomoc jest częścią tajnych wysiłków administracji Bidena, aby zapewnić Ukrainie informacje wywiadowcze w czasie rzeczywistym. Urzędnicy powiedzieli, że informacje te obejmują przewidywane ruchy wojsk rosyjskich, zebrane z najnowszych amerykańskich ocen tajnego planu bitwy Moskwy w rejonie Donbasu na wschodniej Ukrainie.Urzędnicy odmówili podania liczby zabitych generałów w wyniku pomocy USA. Stany Zjednoczone skupiły się na podaniu lokalizacji i innych szczegółów mobilnej kwatery głównej rosyjskiego wojska, która często zmienia lokalizację. Ukraińscy urzędnicy połączyli te informacje geograficzne z własnym wywiadem – w tym przechwyconą komunikacją ostrzegającą ukraińskie wojsko o obecności wyższych oficerów rosyjskich – w celu przeprowadzenia ataków artyleryjskich i innych ataków, w których zginęli rosyjscy oficerowie.
2210	1	Błąd Putina
2210	3	Władimir Putin, prezydent Rosji, jest najbardziej demonizowaną osobą w świecie zachodnim od czasów Osamy bin Ladena i Adolfa Hitlera. Hillary Clinton mówi, że Putin jest „nowym Hitlerem”. Prezydent USA Biden mówi, że Putin jest zbyt zły, by pozostać na stanowisku.
2210	5	Pomimo tak surowej charakterystyki rosyjskiego przywódcy, Kreml dopiero niedawno porzucił negocjacje pokojowe z Zachodem i zachodnią marionetką na Ukrainie. Rzeczywiście, nie jest jasne, czy Kreml odczytał już znaki czasu. Atlantyccy integracjoniści są nadal aktywni w Rosji i nadal gotowi zrezygnować z rosyjskiej suwerenności na rzecz integracji z Zachodem. Wydaje się, że Putin nie może lub nie chce pozbyć się tych Rosjan, którzy w interesie Zachodu ograniczają rosyjską politykę zagraniczną i gospodarczą.
2210	7	Błąd Putina polega na tym, że jest amerykańskim liberałem uniwersyteckim od 1950 roku, wyznawcą prawa międzynarodowego, wzajemnego szacunku i współpracy, rozwiązywania konfliktów na drodze dyplomacji. Putin i Rosja mają kłopoty, ponieważ Putin nadal wierzy w moralne zachowanie, podczas gdy Zachód dał jasno do zrozumienia, że ​​jedyną wartością jest hegemonia USA.
2210	9	Gdyby Putin naprawdę był nowym Hitlerem, nie byłoby Ukrainy, Europy i prawdopodobnie nie byłoby też USA.
2210	11	Historia akceptowania przez Putina zachodnich prowokacji zapobiegła Armageddonowi i doprowadziła nas do niego w tym samym czasie. Niezwykła powolność Kremla w rozpoznawaniu zagrożenia i reagowaniu na nie nauczyła Waszyngton i jego marionetki, że Rosja nie zna czerwonych granic.
2210	13	W rezultacie wiele granic zostało przekroczonych. Rosja narzeka, ale robi niewiele lub nic. W rezultacie Zachód odrzuca rosyjskie ostrzeżenia o wojnie nuklearnej jako zwykłe przechwałki.
