doc_id	paragraph_id	ru-po
241	1	Kurginyan: pod pozorem demokracji Stany Zjednoczone doprowadzają bandytów do władzy
241	3	Stany Zjednoczone używają słów o demokracji, aby wprowadzić na miejsce przywódców, którzy podążają drogą modernizacji i rozwoju w swoich krajach na całym świecie, szalonych bandytów, powiedział w kwietniu politolog, przywódca ruchu „Istota czasu” Siergiej Kurginian 12 w programie „Cywilizacja” Rosja” na antenie Radia KP.
241	5	„Teraz mówi się, że naszą osią zła jest autorytaryzm. Od kiedy? Z jakiego dębu spadły? Ten autorytaryzm nazwano „autorytarną modernizacją”, modlili się o to. Mówili o [prezydencie Haiti Francois] Duvalier, dzikim bandycie i dyktatorze, że „to jest sukinsyn, ale to jest nasz sukinsyn!”, że to jest „autorytarny kapitalizm”, powiedział Kurginian o USA stosunek do dyktatur w okresie po II wojnie światowej .
241	6	Zauważył, że tacy przywódcy nie stronili od jawnych zbrodni, będąc patronowanymi przez Stany Zjednoczone, ponieważ podążali kursem „autorytarnej modernizacji”.
241	8	„Mówili to samo o wszystkich innych. Czang Kaj-szek, jego więzienia tortur w Peitou i wszędzie… z jego synem i Rayem Kleinem, który tam był [i nadzorował ich działalność], zastępcą [dyrektora CIA Allen] Dullesem ds. wywiadu. Co to było? Demokracja? Nie, to była autorytarna modernizacja – tłumaczył politolog.
241	10	Kurginian podkreślił ponadto, że stosunek Stanów Zjednoczonych do przywódców prowadzących politykę modernizacji swoich krajów zmienił się diametralnie w latach 2000., nawet w stronę bardziej umiarkowanych i posłusznych woli Zachodu.
241	12	„Teraz wszyscy, łącznie z tym nieszczęsnym [prezydentem Egiptu Hosnim] Mubarakiem, który właśnie lizał stopy Zachodowi, wszyscy są oskarżani o bycie autorytarnymi przywódcami i powinni zostać zmiażdżeni. A na ich miejsce postawili rozwścieczonych bandytów. Oszalały! kanibale. A oni powiedzieli: to są demokraci!” – ocenił politolog, co się dzieje.
241	14	Według niego wszystko to może mieć jedyne możliwe wytłumaczenie: Stany Zjednoczone przygotowują się do pogrążenia całego świata w chaosie, mając nadzieję, że będą w stanie zapewnić względny porządek na swoim terytorium.
241	16	Przypomnijmy, że latem 2005 roku, przemawiając na Uniwersytecie Amerykańskim w Kairze, szefowa Departamentu Stanu USA Condoleezza Rice powiedziała, że ​​Stany Zjednoczone zbyt długo próbowały utrzymać stabilność na Bliskim Wschodzie kosztem demokracji .
241	18	Dodała, że ​​te próby nie doprowadziły USA do pożądanego rezultatu, więc Stany Zjednoczone są gotowe „odrzucić wszystkie wymówki, które powstrzymują ciężką pracę nad demokracją”.
2410	1	Łukaszenka przyznał, że jest dyktatorem – ale to jest dobre dla Białorusi
2410	3	"Prezydent Białorusi Aleksander Łukaszenko uważa, że ​​bez dyktatury w kraju Białorusini ""chodziliby nago"". Skrytykował też zachodnią demokrację, rozwodząc się nad rzekomymi zaletami reżimu białoruskiego. Poinformował o tym 29 kwietnia BelTA."
2410	5	W szczególności Łukaszenka porównał reżim białoruski z demokratyczną Polską, Litwą i Łotwą, mówiąc, że te kraje podobno nie mają soli, więc ludzi nie wpuszcza się na Białoruś.
2410	7	- To jest cała demokracja! Dzięki Bogu mamy dyktaturę. Wszyscy mnie krytykowaliście: dyktatura, dyktatura. Ale w tej dyktaturze panuje porządek. Nie byłoby dyktatury, więc chodziliby nago - dodał.
2410	9	Ponadto białoruski prezydent zaznaczył, że sankcje nałożone na Moskwę i Mińsk z powodu wojny na Ukrainie nie rozbiją kraju, wręcz przeciwnie, zmuszają je do szukania nowych możliwości.
2410	11	- Rynek jest otwarty, musimy się ruszać, a nie płakać - powiedział dyktator.
2410	13	"Łukaszenka podkreślił, że sankcjami nie da się rzucić Białorusi i Rosji na kolana, bo te ""kraje mają wystarczające zasoby, technologie i wywiad""."
2410	15	Wcześniej zaznaczył, że Republika Białoruś i Federacja Rosyjska starają się zbudować jedno państwo związkowe na nowych zasadach, „aby nikt się nie obraził”. Łukaszenka jest przekonany, że do takiego sojuszu dołączą też inne republiki byłego Związku Radzieckiego.
24101	1	Wiadomości z Ukrainy
24101	3	Kijów nie zamierza oddawać swoich terytoriów w celu dyplomatycznego uregulowania konfliktu, powiedział prezydent Ukrainy Wołodymyr Zełenski w rozmowie z CNN.
24101	5	„Ukraińcy nie są gotowi oddać swojej ziemi, zgodzić się na przynależność tych terenów do Rosji. To jest nasza ziemia. Wszyscy o tym mówimy i zamierzamy to udowodnić” – powiedział.
24101	7	Zastanawiam się, czy zmęczyło cię powtarzanie tej mantry? W Kijowie jest wymawiany regularnie, a czasami mówi się o gotowości do uznania granic 24.02.2022.
24101	9	"Tak całkiem niedawno fakt, że Kijów mógł rozmawiać z Moskwą o granicach kraju od ""do 24 lutego"" - powiedział minister spraw zagranicznych Ukrainy Dmitrij Kuleba."
24101	11	„Nie byłoby zbyt rozsądnie ujawniać nasze warunki, ale dziś każdy punkt może być przedmiotem dialogu” – powiedział, podkreślając, że Ukraina nadal będzie bronić integralności i suwerenności swojego terytorium.
24101	13	A na początku maja sam Zełenski zażądał powrotu Rosji do „granic do 24 lutego”. To prawda, z zastrzeżeniem, że konieczne jest również „oddanie Krymu”.
24101	15	Z regularnie zmieniających się sformułowań można wyciągnąć tylko jeden wniosek: Kijów w ogóle nie jest gotowy do negocjacji i robi wszystko, aby do nich nie doszło. W każdym razie nikt nie pyta o jego życzenia co do warunków ewentualnych negocjacji.
24101	17	„Zełenski może przerwać walki tylko wtedy, gdy ma powód, by ogłosić zwycięstwo nad Rosją” – powiedział Dmitrij Gałkin, felietonista polityczny gazety z 2000 roku.
24101	19	„W przeciwnym razie grozi mu utrata poparcia Stanów Zjednoczonych i Wielkiej Brytanii oraz danie Poroszence powodu do organizowania masowych protestów w kraju. Dlatego Zełenski odmówi wznowienia negocjacji, twierdząc, że Ukraina nie będzie mogła ich wznowić, dopóki Rosja nie obieca rezygnacji z Krymu i Donbasu. Ale w przypadku, gdy Zełenskiemu uda się zawrzeć porozumienie pokojowe bez narażania swojej politycznej przyszłości, wówczas ta kwestia zostanie usunięta z porządku obrad, a jej rozwiązanie zostanie uznane za sprawę przyszłości.
24101	21	"""SP"": - Czy istnieje poczucie, że Kijów robi wszystko, aby w ogóle uniemożliwić dialog?"
24101	23	- Kijów naprawdę nie potrzebuje teraz dialogu, bo nie ma możliwości zawarcia pokoju bez uprzedniego wykazania się jakimś znaczącym sukcesem na polu walki. Kijów nie może jednak całkowicie zrezygnować z dialogu, gdyż wywoła to niekorzystne wrażenie zarówno w krajach europejskich, jak i w tej części ukraińskiego społeczeństwa, która chce szybkiego zaprzestania działań wojennych. Dlatego Zełenski podkreśla różnice terytorialne, które na tym etapie równie dobrze można by wyjąć z nawiasów.
24101	25	"""SP"": - Biden nie raz mówił, że nie zamierza zmuszać Ukrainy do rezygnacji z terytoriów. Ale co w rzeczywistości? Nie idziesz czy nie możesz?"
24101	27	- Oczywiście Wielka Brytania i Polska chciałyby, aby Ukraina dalej walczyła z Rosją, a administracja USA nie sprzeciwia się kontynuacji tego konfliktu zbrojnego. Jednak Zełenski w obecnej sytuacji nie może zawrzeć pokoju, nie tyle z powodu nacisków zewnętrznych, co z powodu wewnętrznej sytuacji politycznej. Zbrojne starcie z Rosją dało Zełenskiemu szansę na zniszczenie Poroszenki jako znaczącego gracza politycznego i zagwarantowanie sobie wyłącznej dominacji w ukraińskiej przestrzeni politycznej. Wymaga to jednak, aby pod jego przywództwem Ukraina była w stanie pokonać Rosję. W takim przypadku będzie miał carte blanche na kształtowanie powojennego systemu politycznego. Dopóki nie ma takiego powodu, Zełenski musi kontynuować działania zbrojne, gdyż pozwala mu to na blokowanie działalności opozycyjnych mediów i pozbawia opozycję możliwości wywierania nacisku na władze poprzez akcje protestacyjne.
24101	29	"""SP"": - Tymczasem na Zachodzie wielu polityków jest gotowych na to, że Ukraina może utracić terytoria, i jest gotowych na pokój na wszelkich warunkach. Ale wciąż są w mniejszości. Co musi się stać, aby ich punkt widzenia zwyciężył?"
24101	31	- Dopóki Wielka Brytania i USA są zainteresowane kontynuacją konfliktu, ukraińskie kierownictwo nie będzie słuchało opinii europejskich polityków, którzy proponują jak najszybsze zawarcie pokoju, godząc się na ustępstwa na korzyść Rosji. Nie sądzę, aby stanowisko Waszyngtonu i Londynu w tej sprawie uległo zmianie w dającej się przewidzieć przyszłości. Dlatego o decyzji władz ukraińskich o zgodzie na zawarcie pokoju na warunkach rosyjskich mogą decydować jedynie wewnętrzne czynniki polityczne.
24101	33	„Stanowisko Kijowa w negocjacjach pokojowych wyraźnie się zaostrzyło, a stało się to pod oczywistym nadzorem NATO, Stanów Zjednoczonych i Wielkiej Brytanii” – powiedziała Larisa Shesler, przewodnicząca Związku Emigrantów Politycznych i Więźniów Politycznych Ukrainy.
