doc_id	paragraph_id	fr-po
2310	1	Macron i ekologia, wielka parada
2310	3	Jeśli chodzi o ekologię, Emmanuel Macron nie wie, na której stopie tańczyć. Pomiędzy zaproszeniem aktywistki Grety Thunberg do Pałacu Elizejskiego a zapowiedzią budowy nowych reaktorów jądrowych ustępujący prezydent lubi bawić się „w tym samym czasie”.
2310	5	Na początku była obojętność. Przed przystąpieniem do Pałacu Elizejskiego Emmanuel Macron nie wydawał się być zainteresowany kwestiami środowiska, energii, klimatu, których tematy były generalnie nieobecne w jego programie na 2017 r. Były to nominacja Nicolasa Hulota na ministra ds. przemian ekologicznych decyzja o rozpoczęciu krucjaty o planetę, po wycofaniu się Donalda Trumpa z porozumień paryskich, co pozwoliło mu założyć kostium. Metamorfoza narzucona mu przez ducha czasu i pewność, że nie może iść na drugą kadencję bez polegania na „lewej” nodze, teraz bardziej zielonej niż różowej.
2310	7	Od Grety w Pałacu Elizejskim do obietnicy nowych reaktorów jądrowych
2310	9	Również gdy Nicolas Hulot podał się do dymisji w sierpniu 2018 r., nie było mowy o zastąpieniu go zwolennikiem przemysłu ciężkiego. Ministerstwo zostanie powierzone ekologowi François de Rugy, zanim spadnie na Barbarę Pompili, notorycznie antynuklearną. Ton pozostaje ten sam: wściekłość na zasoby kopalne, niech żyją odnawialne źródła energii, koniec świata jest bliski, musimy zmienić społeczeństwo.
2310	11	Ruch „żółtych kamizelek”, który niczym krzyk rzeczywistości sprzeciwiał się zjadliwemu zaprzeczaniu tym obsesjom, wprawił kierownictwo w drżenie, ale nie odwrócił go od jego linii postępowania. W lutym 2019 r. Emmanuel Macron wręczył aktywistce Grecie Thunberg odznaczenia Elizejskie, a później Obywatelska Konwencja Klimatyczna, która miała być odpowiedzią na „żółte kamizelki”, zaowocowała propozycjami – zawsze większymi podatkami i „ekologicznymi” ograniczeniami – dokładne przeciwieństwo aspiracji ruchu. Uchwycenie debaty i demokratyczna parodia granicząca z prestidigitatorstwem.
23100	3	Papież Franciszek. Papież zerwania. Zielony, antykapitalistyczny papież, przyjaciel ubogich i migrantów. Papież życzliwy gejom i rozwodnikom, ale wrogo nastawiony do tradycjonalistów. Reformator skorumpowanej kurii rzymskiej, eliminator eklezjalnych nadużyć seksualnych… A może raczej papież paradoksów? Rzeczywiście, to z Bayer-Monsanto i BP François planuje ratować środowisko, z Bank of America i wielkimi nazwiskami w Big Pharma, takimi jak Merck czy Johnson & Johnson, chce odbudować etyczny kapitalizm. Czy byłby wtedy przede wszystkim papieżem nowej logiki marketingowej? Rzeczywiście, to właśnie w imię ochrony środowiska, inkluzywności, a nawet sprawiedliwości społecznej, podmioty korporacyjne (to znaczy z sektora prywatnego) globalnego zarządzania zdecydowały, że ich program zostanie zaakceptowany wszędzie – co nie jest innego niż przyznanie sobie pełnych uprawnień na planecie.
23100	5	Bergoglio pod tym względem jest podręcznikowym przypadkiem. Zdecydował się uczynić Watykan rzecznikiem tego globalnego zarządzania w następstwie Światowego Forum Ekonomicznego w Davos (WEF). W rzeczywistości decydenci tego rządu, ponieważ nie zamierzają już dłużej wykorzystywać konsumpcyjnego dążenia do szczęścia mas, ale polegają raczej na przymusie, przyjęli teraz strategię marketingową, która ma na celu ukrycie ich pragnienia władzy poprzez okazywanie chęć zerwania z neoliberalnym, indywidualistycznym i energochłonnym kapitalizmem. Globalna elita gromadzi wszystkie dobra, których jej jeszcze brakuje, konfiskuje wolności publiczne i skupia władzę we własnych rękach, ale ubiera tę grupę w narrację ekologiczną, nastawioną na dobro wspólne, wrogą indywidualnym swobodom i krytyce wolnego rynku . Przesłanie, które François kieruje do świata, jest jednym z najlepszych przykładów tego nowego przekazu.
23101	1	Unia Europejska organizuje Miesiąc Różnorodności i Włączenia. Wszystko do Twoich projektów!
23101	3	„Promowanie różnorodności i integracji”: to jeden z głównych projektów Komisji Europejskiej, który tej wiosny zainaugurował nagrodę „Europejskie Stolice Inkluzji i Różnorodności”. Jego cel: „Obserwować powstawanie bardziej egalitarnej Europy pod względem niepełnosprawności, ale także płci, pochodzenia rasowego i etnicznego, religii i przekonań, wieku, praw osób LGBTIQ oraz integracji Romów. »
23101	5	Jest to jeden z wątków Planu działania Unii Europejskiej przeciwko rasizmowi na lata 2020-2025. Osiem europejskich miast otrzymało swoje nagrody z wielką pompą 28 kwietnia, na rozpoczęcie Europejskiego Miesiąca Różnorodności. Inicjatywa, która narodziła się w 2020 roku, odtąd celebruje różnorodność w maju aż do śmierci.
23101	7	Złoty medal zdobyła Kolonia, a następnie Göteborg, „gdzie narodziła się Greta Thunberg”. Wyczyn ten zasłużył więc na srebrny medal. Brązowy medal przypadł Barcelonie. A Francja? Nic. Nie. Nie jesteśmy wystarczająco różnorodni i inkluzywni. Miasto Arras było jednak jednym z 22 wstępnie wybranych miast spośród 82, które się zgłosiły, ale zatrzymaliśmy się tam.
