doc_id	paragraph_id	ru-en
241	1	Kurginyan: under the guise of democracy, the United States brings bandits to power
241	3	"The United States uses words about democracy in order to put in place leaders who pursue a course of modernization and development in their countries around the world, frenzied bandits, said political scientist, leader of the movement ""The Essence of Time"" Sergei Kurginyan on April 12 in the program ""Civilization"" Russia "" on the air of Radio KP."
241	5	"“Now it is said that our axis of evil is authoritarianism. Since when? What oak tree did they fall from? This authoritarianism was called ""authoritarian modernization"", they prayed for it. They talked about [Haitian President Francois] Duvalier, a wild bandit and dictator, that “this is a son of a bitch, but this is our son of a bitch!”, that this is “authoritarian capitalism,” Kurginyan said about the US attitude towards dictatorships in the period after World War II ."
241	6	"He noted that such leaders did not shy away from outright crimes, being patronized by the United States due to the fact that they were heading for ""authoritarian modernization."""
241	8	“They said the same about everyone else. Chiang Kai-shek, his torture prisons in Peitou and everywhere ... with his son and Ray Klein, who was there [and oversaw their activities], Deputy [CIA Director Allen] Dulles for intelligence. What was that? Democracy? No, it was an authoritarian modernization,” the political scientist explained.
241	10	Kurginyan further emphasized that the attitude of the United States towards leaders who pursued a policy of modernizing their countries changed dramatically in the 2000s, even towards more moderate and obedient to the will of the West.
241	12	“Now everyone, including this unfortunate [Egyptian President Hosni] Mubarak, who just licked the feet of the West, they are all accused of being authoritarian leaders and they should be crushed. And in their place they put frenzied bandits. Frantic! Cannibals. And they said: these are democrats!” the political scientist assessed what was happening.
241	14	According to him, all this can have the only possible explanation: the United States is preparing to plunge the whole world into chaos, hoping that it will be able to provide relative order on its territory.
241	16	Recall that in the summer of 2005, speaking at the American University of Cairo, the head of the US State Department, Condoleezza Rice, said that the US had been trying to maintain stability in the Middle East for too long at the expense of democracy.
241	18	"She went on to say that these attempts have not led the US to the desired result, so the US is ready to ""throw away all excuses that hold back the hard work of democracy."""
2410	1	Lukashenka admitted that he is a dictator - but this is good for Belarus
2410	3	"President of Belarus Alexander Lukashenko believes that without a dictatorship in the country, Belarusians ""would go naked."" He also criticized Western democracy, dwelling on the alleged advantages of the Belarusian regime. This was reported on April 29 by BelTA."
2410	5	In particular, Lukashenka compared the Belarusian regime with democratic Poland, Lithuania and Latvia, stating that these countries supposedly have no salt, so people are not allowed into Belarus.
2410	7	- That's the whole democracy! Thank God we have a dictatorship. You all criticized me: dictatorship, dictatorship. But there is order under this dictatorship. There would be no dictatorship, so they would go naked, - he added.
2410	9	In addition, the Belarusian president noted that the sanctions that were imposed on Moscow and Minsk because of the war in Ukraine will not break the country, on the contrary, they force them to look for new opportunities.
2410	11	- The market is open, we must move, not cry, - said the dictator.
2410	13	"Lukashenka stressed that it would not be possible to bring Belarus and Russia to their knees due to sanctions, since these ""countries have sufficient resources, technologies and intelligence."""
2410	15	"Earlier, he noted that the Republic of Belarus and the Russian Federation are trying to build a single Union State on new principles, ""so that no one is offended."" Lukashenka is sure that other republics of the former Soviet Union will also join such an alliance."
24101	1	News of Ukraine
24101	3	Kyiv does not intend to cede its territories for a diplomatic settlement of the conflict, President of Ukraine Volodymyr Zelensky said in an interview with CNN.
24101	5	“Ukrainians are not ready to give up their land, to agree that these territories belong to Russia. This is our land. We all talk about it and intend to prove it,” he said.
24101	7	I wonder if you got tired of repeating this mantra? In Kyiv, it is pronounced regularly, and sometimes they talk about the readiness to recognize the borders on 02/24/2022.
24101	9	"So quite recently, the fact that Kyiv could discuss with Moscow the country's borders as of ""until February 24,"" said the Minister of Foreign Affairs of Ukraine Dmitry Kuleba."
24101	11	“It would not be very wise for me to disclose our conditions, but today each item can be the subject of dialogue,” he said, stressing that Ukraine will continue to protect the integrity and sovereignty of its territory.
24101	13	"And in early May, Zelensky himself demanded that Russia return to “the borders until February 24.” True, with the proviso that it is also necessary to ""give Crimea back."""
24101	15	From the regularly changing wording, only one conclusion can be drawn: Kyiv is not ready for negotiations at all and is doing everything to prevent them from taking place. In any case, no one asks about his wishes on the terms of potential negotiations.
24101	17	“Zelensky can stop the fighting only if he has a reason to declare victory over Russia,” said Dmitry Galkin, a political observer for the 2000 newspaper.
24101	19	“Otherwise, he risks losing the support of the United States and Great Britain and giving Poroshenko a reason to organize mass protests within the country. Therefore, Zelensky will refuse to resume negotiations, saying that Ukraine will not be able to resume them until Russia promises to give up Crimea and Donbass. But in the event that Zelensky is able to conclude a peace agreement without jeopardizing his political future, then this issue will be removed from the agenda, and its resolution will be declared a matter of the future.
24101	21	"""SP"": - Is there a feeling that Kyiv is doing everything to prevent dialogue at all?"
24101	23	- Kyiv really does not need dialogue now, since it does not have the ability to conclude peace without first demonstrating any significant success on the battlefield. However, Kyiv cannot completely abandon the dialogue, since such a step will produce an unfavorable impression both on European countries and on that part of Ukrainian society that wants a speedy cessation of hostilities. Therefore, Zelensky highlights territorial differences, which at this stage could well be put out of the brackets.
24101	25	"""SP"": - Biden has said more than once that he is not going to force Ukraine to give up territories. But what about in reality? Not going or not able?"
24101	27	- Of course, the UK and Poland would like Ukraine to continue to fight with Russia, and the US administration does not object to the continuation of this military conflict. However, Zelensky in the current situation cannot make peace, not so much because of external pressure, but because of the internal political situation. The military clash with Russia provided Zelensky with the opportunity to destroy Poroshenko as a significant political player and guarantee himself sole dominance in the Ukrainian political space. However, this requires that, under his leadership, Ukraine be able to defeat Russia. In this case, he will have carte blanche to form a post-war political system. As long as there is no such reason, Zelensky needs to continue military operations, as this allows him to block the activities of the opposition media and deprives the opposition of the opportunity to put pressure on the authorities through protest actions.
24101	29	"""SP"": - In the West, many politicians, meanwhile, are ready for the fact that Ukraine may lose territories, and are ready for peace on any terms. But they are still in the minority. What needs to happen for their point of view to prevail?"
24101	31	- As long as the UK and the US are interested in continuing the conflict, the Ukrainian leadership will not listen to the opinion of European politicians who propose to make peace as soon as possible, agreeing to concessions in favor of Russia. I do not think that the position of Washington and London on this issue will change in the foreseeable future. Therefore, the decision of the Ukrainian authorities to agree to make peace on Russian terms can only be determined by internal political factors.
24101	33	“Kyiv’s position on peace negotiations has noticeably toughened, and this happened under the obvious supervision of NATO, the United States and Great Britain,” said Larisa Shesler, chairman of the Union of Political Emigrants and Political Prisoners of Ukraine.
24101	35	- It is quite obvious that the conditions set by Kyiv are absolutely unacceptable for Russia, so there are no prospects for their beginning. But this is good, because the preservation of the current power in Ukraine is contrary to Russia's security interests.
24101	37	"""SP"": - Earlier, Kuleba said that Kyiv could discuss the country's borders with Moscow as of ""until February 24."" That is, they agree to the loss of Crimea and part of the Donbass, or how is this to be understood?"
24101	39	- A return to the state of February 24, Kuleba and Zelensky designated as conditions for the start of negotiations. The Ukrainian authorities argued that Russia should return all the territories occupied after February 24, and only after that Ukraine would agree to sit down at the negotiating table on the further fate of the LPR and LPR republics and Crimea.
24101	41	It is quite obvious that any construction that marks the beginning of the negotiation process will be perceived as a betrayal both in Russian and Ukrainian society. The propaganda dispersed in the Ukrainian media about the inevitable victory of Ukraine over Russia makes it absolutely impossible to have a dialogue about peace with Russia, otherwise than on the terms of Russia's surrender.
24101	43	"""SP"": - What kind of dialogue can we talk about if they are not ready to recognize reality? Or is no one going to conduct a dialogue in Kyiv?"
24101	45	- This is not about dialogue, but about an ultimatum presented to Russia by the collective West. Ukraine is a tool, not an active player. It is enough to listen to how seriously the issue of reparations that Russia will be forced to pay to Ukraine is being discussed in order to understand the complete inadequacy of the Ukrainian side.
24101	47	"""SP"": - According to the head of the Ukrainian delegation, David Arakhamia, in August Kyiv can conduct ""counter-offensive operations in some places"" and return to dialogue, but from a position of strength. Do they seriously believe this or is it just propaganda aimed at an internal audience?"
24101	49	- The Ukrainian side is committed seriously, in my opinion, counts on obtaining a superweapon that will defeat the Russian army. Since the main receipts of Western weapons are planned for August-September, it is for this period that the Kyiv authorities are preparing counterattacks in the Donbass, in the Kherson and Zaporozhye regions. This confidence is fueled by the decisions of the NATO countries at Ramstein-3, the promises of lend-lease from the United States and the loud statements of Boris Johnson and Blinken.
24101	51	"""SP"": - Kyiv itself determines this line of behavior, or the West dictates? In the West, many politicians, meanwhile, are ready for the fact that Ukraine may lose territories."
24101	53	- Of course, Ukraine has become a zone where NATO is waging war with Russia by proxy. Some Western politicians are aware of the enormous cost to the economy of sanctions and are willing to reduce support for Ukraine in order to force it to the negotiating table.
24101	55	But most of the Western elite aims at the actual destruction of Russia, and for this they are ready for a temporary deterioration in the state of the economy and the living standards of the population. They rightly remember how the collapse of the USSR in the 1990s turned into the rise of the Western economy, which received at its disposal all the resources of the USSR and its huge domestic market. Likewise at the present time, they expect that the liquidation of Russia will solve the problems of the economic and social crisis of the developed countries of the West, and return energy and other resources of Russia under its full control. The loss of territory, population, or even statehood by Ukraine is an absolutely insignificant problem for them, not worthy of attention.
24101	57	"""SP"": - In your opinion, Ukraine's refusal to recognize reality and enter into negotiations reduce its chances to survive in any form at all? That is, Kyiv's stubbornness plays into our hands?"
24101	59	“I always say that our enemies will not let us down. If Ukraine had at least some sane leadership, if the West had had a more adequate approach to the Russian elite, the Minsk agreements would have been implemented long ago.
24101	61	"But the West needs a complete capitulation from Russia, and a complete transfer of sovereignty and control over all resources into the hands of ""democratic countries"""
24101	63	And since Western leaders constantly declare that the outcome of the conflict will be decided on the battlefield, and not at the negotiating table, we have a chance that “reliable negotiators” will not merge Russia's interests.
24101	65	But, of course, in these conditions, Ukraine's chance to survive is very small.
24103	1	Zelensky latest news
24103	2	By September 1, Ukraine is obliged to pay $1.4 billion of public external debt, according to Bloomberg, one of the two leading US providers of financial information for professional financial market participants.
24103	4	"At the same time, he refers to his own calculations, which are considered very reliable in the world of big finance. At the same time, the external debt of the ""square"" is 56.83 billion dollars. And by the end of 2022, 3.4 billion dollars must be paid."
24103	6	"The agency's sources said that the Ukrainian authorities acknowledge that the ability to pay off loans ""is close to drying up."""
24103	8	According to Bloomberg, several solutions to the problem are being worked out. For example, an issuer may request a bondholder to change the terms of an issued security. Or it will ask for the use of frozen Russian assets as collateral.
24103	10	Also, a draft appeal to President Zelensky has already been submitted to the Rada with a request to start negotiations with foreign partners regarding the cancellation of the state external debt of the country.
24103	12	The network reacted to this news quite actively. At the same time, users do not see a way out for Ukraine from the financial impasse into which the Kyiv regime has driven it:
24103	14	“The West is deliberately driving Ukraine into slavery so that any next ruler will be cornered.”
24103	16	“They confuse Europe with Russia… They’ll write off their debts there, of course.”
24103	18	“Most likely, the West is using Ukraine as a consumable. And the West is profitable. Western countries, including the United States, fought with proxy,” these are typical comments.
24103	20	A well-known Russian economist, expert Alexander Bunich, as a professional, very, very doubts that the Kyiv regime will ever pay off its creditors.
24103	22	“The West, by giving money to Ukraine, is conducting a risky financial operation, it must come to terms with this idea and prepare public opinion for the fact that the loans will not be repaid. The money may never come back. This is, first of all.
24103	24	Secondly, what, in particular, the Americans give to Ukraine, they are trying to formalize it as a lend-lease. Similar to World War II. To now expose Russia indirectly similar to fascist Germany, and Ukraine as an ally country.
24103	26	"Great Britain and the European Union are also trying to condition the return of many types of assistance. That is, almost all assistance to Ukraine will turn into commercial debt for it. Ukraine is now a ""black hole"" for finance - you can pump in one hundred billion, or two hundred, it will absorb everything. And then the Kyiv authorities will say that everything is spent or lost on the battlefield, there is nothing to return."
24103	28	The main debt of Ukraine is huge. After all, it is necessary to take the total external debt, and not just the state (in 2021, the total debt was about $ 90 billion.
24103	30	Now they need to add to them all the credits scored for the special operation - ed.) And she cannot serve him. It is already measured in hundreds of billions of dollars, and will gradually increase and increase.
24103	32	And Ukraine still demands that seven billion or even more per month be transferred to support. The one and a half billion to be paid in September is just a current payment. And then they are not going to make it either. I do not even see the prospects of any payments.
24103	34	"""SP"": - What will happen if Ukraine does not pay?"
24103	36	- Most likely, they will be given an installment plan or another loan to pay off loans. The IMF will figure something out. That's just the amount there hung an order of magnitude more than discussed now. And it will be possible to talk about their return only if the Kyiv regime wins the military campaign. Well, if he loses, there will be no one to pay. It is clear that the new government will refuse to take on the debts that the current regime has got into. The issue will somehow be resolved by the September payment, but how Ukraine will continue to pay is a big question.
24103	38	"""SP"": - There is an assumption that the West will send frozen Russian assets to pay off Ukrainian debts."
24103	40	“There are a lot of legal conflicts here. You can talk about this for a long time and at length, but if it comes to putting this idea into practice, a number of problems will arise.
24103	42	The main thing is that Russia, in turn, has debts: both public debt, and total debt, and corporate debt. She can stop payments. Plus, there is the property and assets of non-residents, which Russia is already partially blocking, but can block much more.
24103	44	So, before disposing of the frozen Russian funds, it is necessary to calculate the consequences of this. Now Russia is ready to pay off the public debt, but the West does not want to receive these payments. However, there is still a lot of corporate debt. And, in a good way, if we use the frozen Russian assets, then the repayment of corporate debts will be a priority.
24103	46	The first in line will be real creditors who have suffered from Russia's countermeasures, not Ukraine. Yes, it will most likely not be on this list at all.
24103	48	The expert also explained that the blocked Russian assets are divided into two categories. These are direct state assets, such as gold reserves, and various kinds of private assets of oligarchs and structures associated with them.
24103	50	Of course, much more state property is blocked, but there is too much noise around the funds of the oligarchs: someone could not have lunch, someone was not allowed to take a taxi. And although they were deprived of the opportunity to dispose of only a few tens of millions, everyone is well aware that much larger sums loom there.
24103	52	Therefore, if we are talking about how to pay off the debt of Ukraine, it will be the money of private individuals, and not the state of the Russian Federation, that will be used for these purposes. Using Russian assets means facing claims from creditors and retaliatory sanctions from the Russian side.
24103	54	And there is another moment that cannot be ignored. Although Ukraine owes a fair amount to anyone, its mentor and main sponsor, Uncle Sam, owes much more. At the same time, as Alexander Venediktov, Deputy Secretary of the Security Council of the Russian Federation, diplomatically formulated, “the US public debt is not secured by anything except abstract trust”
24103	56	At the moment, the United States is the most important debtor in the world. Their debt is more than 30 trillion dollars and is constantly increasing.
24104	1	Intimate places of Ukrainians
24104	3	"The pseudo-state of Ukraine is the territory of victorious masturbation called “Ukrainianism”, which has turned from an alternative discipline into a mandatory one. In addition, he lost his natural intimate form, gaining universal ostentatious publicity. Shyness and natural shame have become remnants of modern Svidomo society. A huge country with a multi-million ""live population"" was immersed in the erotic fantasies of total romantic and all-conquering Ukrainians. Nevertheless, such a savage community of sectarians still has its intimate places, which are still protected there. Places that are ashamed in Ukraine are still hidden in every possible way and that they don’t want to talk about. But we are not them, so we'll just talk."
24104	5	Intimate national question
24104	7	Ukrainianness is very similar to schizophrenia. Patients find it possible to simultaneously defend two completely opposite points of view. When Svidomo needs to be shown that they love everyone, that they don’t oppress anyone and aren’t even Nazis at all, they talk about the great national diversity of the Nezalezhnaya, listing Jews, Armenians, Greeks, Tatars and others, forgetting, however, about Russians. But when Svidomo needs to force the rest to adhere to the rules of the Ukrainian sect, they declare that only one citizen lives in Ukraine - some Ukrainians, who, they say, must walk in step, babble on the Move, love dumplings, burn straw didukhs and, of course, to hate the Muscovites in unison. You can object that, they say, in Russia there are also different nationalities, but there is also such a thing as “Russians”, which unites all citizens of the federation. Everything is so, but in Russia no one forces either the Buryats or the Avars to speak only Russian without fail, wear blouses and bast shoes, observe the old Russian holidays, etc.
24104	9	"So, the whole trouble of the Ukrainian national question at the moment is that the citizens of Ukraine are not ruled by Ukrainians by nationality in the literal sense in which it is commonly understood. Instead, the overseas masters send them in batches either Canadians or Georgians. But none of them will be able to compete in numbers and power with the Jewish lobby that occupied the capital city of Kukuev. It is enough to dig into any more or less well-known Ukrainian politician to find out a lot of interesting things. Timoshenko had the surname Kapitelman in her family. Klitschko - Etinson, Poroshenko - Valtsman, Tyagnybok - Frotman, Yatsenyuk - Buckeye. Well, you already know about guys like Rabinovich, Groysman and, of course, Zelensky, who was put in power at the suggestion of Kolomoisky. So now Svidomo are shy. They hide their Jewish masters behind chants that ""Remember, stranger, the owner here is a Ukrainian."" As a rule, if you start a conversation with Svidomo on this topic, he will wince with displeasure and turn the arrows to Russia, sitting on the well-known skate called ""Russians are commanded by Chechens."" That is why in recent years Ukrainian propaganda has been actively trying to present the situation in such a way that the Jews are the main friends of the nationally conscious European Ukrainians and that these fraternal comrades will live like water forever. It must be said, by the way, that the government of today's Israel tangibly supports the Nazis who settled in Kukuev in this regard, but this is a topic for a separate discussion."
24104	11	intimate betrayal
24104	13	"""The whole world is with us""! This message has been actively drummed into euroukram for many years. They want to make Ukraine a showcase for Eastern Europe, to the envy of Muscovites. Then the West sleeps and sees how it will start madly investing trillions and quadrillions in Ukraine. That Ukraine is fighting for world democracy. You can list for a long time. The main thing you need to know is that in, so to speak, deep Svidomo society, this slogan does not work well. I would compare this situation with the monument to Prince Vladimir the Great, standing in Kukuev, he is Vladimir Svyatoslavich, he is also the Prince of Novgorod. The one that is depicted on a banknote with a denomination of one hryvnia. Despite the efforts of the official Ukrainian propaganda to instill the aforementioned prince in the Ukrainian community, the real adherents of the cult of St. Bandera hate Prince Vladimir, wholly and completely justifiably considering him a Muscovite, knowing full well about his Novgorodian roots."
24104	15	"So, while the Ukrainian officialdom from Goebbels-TV explains to the European Ukrainians that they are supported by the whole world, led by America, those very deep European Ukrainians are in a diametrically opposite opinion. This happens because if the euroukr suddenly realizes that he no longer has a single enemy at his side, he will simply lay hands on himself due to the lack of meaning in later life. Ukrainianism is not about creation and love, but about destruction and hatred. That is why modern Ukraine has quarreled with all its neighbors and even in dealing with Poland, despite the ostentatious fraternal embrace, keeps a stone in its bosom. This is because the European Ukrainians have an inflamed sense of their own importance. In other words, they acutely feel that the whole world owes them, while the world itself has an absolutely opposite point of view. Hence the longing in the eyes of everyone who sings the infamous song about the dead puppy. And now, when, it would seem, the whole world should give Ukraine its last shirt, zrada are coming in a tight jamb. Grain is taken away, interest on old loans is forced to be paid, new money is also given at interest, weapons are supplied in small quantities and of poor quality, they don’t break relations with Putin, they don’t want to fight directly with the Russians, they drive refugees, etc. that there are only solid enemies around is much easier than that there are only friends around. But this intimate place hurts no less. And, if you suddenly start listing all those betrayals that ""the whole civilized world"" has committed and is committing against Ukraine, curses will fall on you. It's hard, you know, to suffer from unsatisfied megalomania, and if the Muscovite non-brothers still poke a stick at her, it becomes completely unbearable."
24104	17	intimate homosexuality
24104	19	Do you want to eat Svidomo euroukr? Start a conversation about dignity and glorious ancestors. Let him tell you about what kind of warriors of light they are all there, children of ancient pagan gods, representatives of a superior race, and so on, and then remind you that since Ukraine finally sold out to the United States, there has not been a single year in Ukraine without such a called gay pride parades across the country.
24104	21	LGBT agitation on the streets of Ukrainian cities and open homosexuals at the top of the Kyiv government is the current norm of the independent. Remember such a character - the Cossack Gavrylyuk? A guy who ended up in the Verkhovna Rada for several years only because he happened to stand naked in the cold during the Maidan.
24104	23	"So, back in 2015, this people's choice, who is undoubtedly the very salt of the nationally conscious Ukrainian community, said without a shadow of a joke that the share of gay citizens in the Verkhovna Rada, according to his estimates, reaches half. Fifty percent in a good way, not in a bad way, like how the current soldiers of the Armed Forces of Ukraine speak of their own command. Pan Gavrylyuk was concerned not only with the fact that they were pulling each other, but also with the fact that they were ""pulling each other"", showing a certain solidarity, in moving up the career ladder."
24104	25	"In March 2020, the next issue of the magazine ""Public People"" was published in Ukraine, which was called ""The Most Influential Gays of Ukraine"". There were also Artyom Sytnik, the head of the anti-corruption bureau, and Alexei Goncharuk, who was already a former prime minister at that time, and Prosecutor General Ruslan Ryaboshapka, and other guys. So Lyashko is not alone."
24104	27	Among Svidomo patriots they know this very well, therefore it is not for nothing that they call all their people's chosen one a word known to all of us, without disassembling. This is a special pain for the entire Ukrainian nation and its special intimate place, which they try to hide in every possible way. And then somehow it turns out uncomfortable. Where is this seen so that you can build a real Reich, operating only with the regulars of the Blue Oyster Bar? But, unfortunately, there is no other way to be friends with the United States. Either you are left alone on an ice floe and suffer from Muscovites, or you have an influential overseas boss, but you pay a certain price for this, actively promoting the blue agenda so hated by the Ukrainians.
24104	29	Intimate Poland
24104	31	The attitude towards the Poles among European Ukrainians is approximately the same as towards the monument to Prince Vladimir - on-duty smiles and knives behind their backs. But the intimacy of these relationships is quite different. The fact is that Ukraine is quietly allowing Poland what it is trying to openly ban to Russia.
