doc_id	paragraph_id	fr-ru
2310	1	Макрон и экология, большой парад
2310	3	В плане экологии Эммануэль Макрон не знает, на какой ноге плясать. Между приглашением активистки Греты Тунберг в Елисейский дворец и объявлением о строительстве новых ядерных реакторов уходящий президент любит играть «в одно и то же время».
2310	5	В начале было равнодушие. До вступления в Елисейский дворец Эммануэль Макрон, похоже, не интересовался вопросами окружающей среды, энергетики, климата, темы которых вообще отсутствовали в его программе 2017 г. Это было назначение Николя Юло тогдашним министром экологического перехода решение начать крестовый поход за планету, после выхода Дональда Трампа из Парижских соглашений, что позволило ему надеть костюм. Метаморфоза, навязанная ему духом времени, и уверенность в том, что он не сможет пойти на второй срок, не опираясь на «левую» ногу, теперь скорее зеленую, чем розовую.
2310	7	От Греты на Елисейском поле до обещаний новых ядерных реакторов
2310	9	Кроме того, когда в августе 2018 года Николя Юло ушел в отставку, о замене его сторонником тяжелой промышленности не могло быть и речи. Министерство будет поручено экологу Франсуа де Рюжи, прежде чем перейдет к Барбаре Помпили, печально известной антиядерной. Тон остается прежним: гнев на ископаемые ресурсы, да здравствуют возобновляемые источники энергии, конец света близок, мы должны изменить общество.
2310	11	Движение «желтых жилетов», которые, как крик реальности, противопоставляли этим навязчивым идеям яростное отрицание, заставило руководство вздрогнуть, но не отклонило его от линии поведения. В феврале 2019 года Эммануэль Макрон наградил активистку Грету Тунберг наградой Елисейского дворца, а позже Гражданская климатическая конвенция, которая была задумана как ответ «желтым жилетам», привела к предложениям — всегда больше налогов и «экологических» ограничений — полная противоположность устремлениям движения. Захват дебатов и демократическая пародия, граничащая с жульничеством.
23100	3	Папа Франциск. Папа разрыва. Зеленый, антикапиталистический папа, друг бедняков и мигрантов. Папа доброжелательно относится к геям и разведенным, но враждебен к традиционалистам. Реформатор коррумпированной римской курии, искоренитель церковного сексуального насилия… Или, скорее, папа парадоксов? Действительно, именно с Bayer-Monsanto и BP Франсуа планирует спасти окружающую среду, с Bank of America и крупными именами в большой фармацевтике, такими как Merck или Johnson & Johnson, он хочет восстановить этический капитализм. Был бы он тогда прежде всего папой новой маркетинговой логики? Действительно, именно во имя защиты окружающей среды, инклюзивности или даже социальной справедливости корпоративные субъекты (то есть из частного сектора) глобального управления решили, чтобы их повестка дня была принята повсеместно, что никоим образом не кроме как предоставить себе полную власть на планете.
23100	5	Бергольо в этом отношении — хрестоматийный случай. Он решил сделать Ватикан представителем этого глобального управления после Давосского Всемирного экономического форума (ВЭФ). Фактически, лица, принимающие решения в этом правительстве, поскольку они больше не намерены эксплуатировать потребительское стремление к счастью масс, а скорее полагаются на принуждение, теперь приняли маркетинговую стратегию, которая стремится замаскировать свою жажду власти, демонстрируя желание порвать с неолиберальным, индивидуалистическим и энергоемким капитализмом. Мировая элита аккумулирует все то, чего ей еще не хватает, конфискует общественные свободы и концентрирует власть в своих руках, но облекает эту группу в нарратив, озабоченный экологией, ориентированный на общее благо, враждебный личным свободам и критике свободного рынка. . Сообщение, которое Франсуа обращается к миру, является одним из лучших примеров этой новой коммуникации.
23101	1	Европейский Союз организует Месяц разнообразия и интеграции. Все для ваших проектов!
23101	3	«Содействие разнообразию и инклюзивности»: это один из крупных проектов Европейской комиссии, которая этой весной учредила «Премию европейских столиц инклюзивности и разнообразия». Его цель: «Увидеть появление более эгалитарной Европы с точки зрения инвалидности, а также пола, расового и этнического происхождения, религии и убеждений, возраста, прав ЛГБТИК и интеграции рома. »
