doc_id	paragraph_id	it-ru
261	1	Странная тишина без блокировок
261	3	Двадцать шесть миллионов граждан заперты дома. Отшельники. Дома. Жители Шанхая, первого города по численности населения в Китае и третьего в мире, подвергаются очень строгому карантину.
261	5	Двадцать шесть миллионов граждан заперты дома. Отшельники. Дома. Жители Шанхая, первого города по численности населения в Китае и третьего в мире, подвергаются очень жесткой изоляции во имя политики (банкротства), переименованной в «Ковид ноль». Политика, которая вместо того, чтобы устранять инфекции, сводит на нет и без того ограниченную свободу китайцев. Опустевшие улицы, семьи, оставшиеся без еды и не способные покинуть свои дома даже для насущных нужд, супермаркеты, захваченные голодными толпами, позитивы, задержанные против их воли в ковид-центрах, похожих на тюрьмы. «Катастрофа со здоровьем», перед лицом которой мир, кажется, молчит. Что случилось с теми, кто в наших широтах почти два года осуждал несуществующую диктатуру здравоохранения? Почему никто не запускает петиции, хэштеги, фото и сидячие акции протеста против нарушений прав человека пекинским режимом? Где то рвение, с которым они защищали все священные свободы? Мы культивируем здесь некоторые подозрения. Перед лицом картин «депортации» больных в китайский мегаполис идея о том, что в Италии была диктатура здравоохранения, превращается в насмешку и остается обнаженной во всей своей лицемерности. И вдруг те, кто еще несколько недель назад кричали, теперь потеряли дар речи. Возможно, еще и потому, что многие из них сразу перешли из траншеи No Vax в пропутинскую. А, как мы знаем, увлечение автократиями заразно: нужно время даже для того, чтобы защитить китайский режим. Короткое замыкание идеальное.
26101	1	Шимпанзе справился бы лучше, чем Джиджино Ди Майо: он настолько невежественен, что позволил Фарнезине опубликовать карту, на которой принимает Молдову за Украину
26101	3	После Матеры в Апулии и России, граничащей со Средиземноморьем, иностранцы не могут отличить Украину от Молдавии. Как говорится, мы в железной бочке… с гвоздями внутри.
26101	5	Я был не прав, шимпанзе в таком положении нанесла бы меньше вреда.
26101	6	Становится лучше, когда НАТО использует Джиджино как Корво Рокфеллера.
26101	7	Интересно отметить, как неожиданно для режимных СМИ он стал неприкасаемым.
26101	8	Пропагандистский аппарат НАТО объединяется против противников и предлагает медийную защиту своим лакеям.
26101	9	Этот персонаж без освещения в СМИ давно бы испарился.
26101	10	Как ни крути, Твит почти ситуационистское произведение.
26101	12	«Мы хотели бы понять, что Фарнезина имела в виду с этим твитом.
26101	13	Потому что либо карта не та, и это было бы совсем серьезно, либо помощь отправила не в ту страну (а это было бы еще серьезнее..).
26102	3	"«Мы бы работали на жеребьевку на ЦСМ, чтобы сломать механизм. Мы произвели бы революцию в ответственности судей, которые допускают ошибки», — пишет флорентийский сенатор в своей книге «Il Mostro». Вот почему течения, прежде всего Мд, не хотели, чтобы Граттери стал Хранителем Печатей. Роль, выпавшая на долю пиддино Андреа Орландо, очевидно, считалась корпорацией «надежной». Именно Ренци вчера во время презентации своей книги подтвердил худшую версию, ту, что до сих пор оставалась за кадром. «Джорджо Наполитано, — сказал он, — используя прерогативы Конституционной хартии, сказал мне, что не хочет, чтобы Граттери был министром юстиции. Точка""."
26102	5	Глава государства не сделал ничего, кроме как применил вето течений, озабоченных защитой статус-кво. «Не только демократическая судебная власть, но и «Юникост» из центристского направления «были категорически против кандидатуры Граттери, потому что он пошел бы туда против течения. Другие не ценили Граттери за его не совсем гарантированные должности. Но нет и тени сомнения, что Граттери в тот момент был элементом абсолютного разрушения системы, настоящего слома».
26103	3	Весна должна принести глоток свежего воздуха, но, читая газеты в эти дни, смущает то, как после многих лет аскезы и нищеты, несмотря на пандемии и войны, блюстители православия продолжают предлагать нам обычные рецепты.
26103	5	23 мая Европейская комиссия опубликовала страновые отчеты, то есть отчеты, в которых Комиссия выражает результаты своего мониторинга экономических и социальных условий государств-членов, выражая ряд рекомендаций, с помощью которых процесс наблюдения за бюджетной политикой (но не только) штатов. Надзор, который, как часть плана восстановления после пандемии, тесно связан с выплатой средств из программы ЕС «Следующее поколение» и, следовательно, с PNRR. На самом деле, как вспоминала Урсула фон дер Ляйен, президент Европейской комиссии, со ссылкой на конкретные рекомендации для каждой страны, «до сих пор только от стран зависело, соблюдать их или нет, но теперь рекомендации связаны с субсидии и потенциальные кредиты»
26103	7	Очевидно, есть и для Италии, и от чтения опускаются руки.
26103	9	"Уже на первой полосе отчет сообщает нам, «кто мы и откуда мы», и, пожалуй, это единственное, за что мы должны поблагодарить его, потому что простой диаграммой он напоминает нам, стирая невыносимую риторику различных «лучшие», которые следуют тому, что после финансового кризиса 2008 года не только резко увеличился разрыв с другими европейскими экономиками, но даже пандемия застала Италию с реальным ВВП, все еще на 3% ниже уровня до 2008 года; остальное - недавняя история: самое значительное падение ВВП в Европе в течение 2020 года, ""отскок"", которого - в отличие от того, что происходит в других странах - в значительной степени недостаточно для восстановления утраченных позиций, линия ВВП, которая с войной возвращается к горизонтальной и на уровне, который всегда ниже, чем в 2008 г.; Короче говоря, 15 лет, за которые мы потеряли позиции не только в относительном, но и в абсолютном смысле."
26103	11	О чем в отчете, кстати, забывают упомянуть, так это о том, что за эти пятнадцать лет — и, в частности, с 2011 года до начала пандемии — мы были одними из самых прилежных студентов в выполнении «домашних заданий» (читай: применять меры жесткой экономии с непрерывным первичные излишки и ликвидировать то немногое, что осталось от социальных мер), добросовестно применяя «советы», которые мы нашли в отчетах предыдущих лет: короче говоря, чтение, которое, если честно, равносильно отказу от «хозяина», а не от ученик.
26103	13	"Но как бы то ни было: доклад, посвященный Италии, весело пожимает плечами и предлагает обычный рецепт из сокращений, реформ и (единственное новшество) ""ожидания ПНРР...""."
26103	15	Продолжая описание существующей ситуации, составители доклада сожалеют о том, что — в том числе из-за невременных мер, принятых в последние два года — государственный дефицит будет продолжать превышать магический порог в 3%, сожалея о хороших временах. (для них) 2019 года, когда мы снизили его до 1,5% также благодаря впечатляющей серии первичных профицитов: однако сегодня мы хорошо знаем, что это означало во время пандемии, например, с точки зрения отсутствия услуг, больничного персонала, грядки или классы курятников и ветхие постройки (просто упомянуть два наиболее пострадавших сектора).
26103	17	Мы продолжаем говорить о неизбежных «чрезмерных макроэкономических диспропорциях». Дисбалансы, которые на языке Комиссии переводятся как «чрезмерный государственный долг». Государственный долг должен быть сокращен без разбора, особенно за счет сокращения государственных расходов. Тем самым собирается усугубить и без того драматическую ситуацию с коммунальными услугами Италии и безработицей. Последнее, очевидно, представляет собой дисбаланс, с которым Комиссия может мириться.
26103	19	Кроме того, упоминается «структурная слабость рынка труда», даже если Комиссия также должна признать, что частичное восстановление уровня занятости после пандемии в основном связано с нестандартной занятостью.
26103	21	И последнее, но не менее важное: отчет напоминает нам, что Италия входит в число европейских стран, наиболее зависимых от российского газа, и поэтому она, вероятно, больше всех пострадает от экономических последствий войны.
26103	23	Если так обстоят дела, то перспективы на будущее, если возможно, еще более удручающие: сказано о необходимости возобновить движение к сбалансированному бюджету (и при всем уважении к тем, кто радуется приостановке действия пакта стабильности : в конце концов, если мы лучшие, то мы вводим аскетизм…), все надежды, похоже, возлагаются на спасительные свойства PNRR, в отношении которых следует помнить, что Италия является крупнейшим бенефициаром в абсолютном выражении и одна из четырех стран, которые также запросили доступ к кредитам.
26103	25	Если оставить в стороне то, что, как мы уже объясняли в другом месте, этого вмешательства в значительной степени недостаточно, если оно не противоречит открыто, действительно впечатляет то, что различные «реформы», связанные с PNRR, выстраиваются в линию: сокращение бюрократии для исцеления государственного управления «недостаточно реагировать на нужды бизнеса» (sic!), реформа государственной службы (в качестве примера приводится работа экспертов по срочным контрактам, нанятых именно для управления PNRR), либерализация (в частности, для коммунальных услуг, см. местный транспорт, вода, мусор, и т. д.)… короче, все то, что уже видели и слышали и, к сожалению, часто уже применяли до такой степени, что мы слишком хорошо знаем о пагубном влиянии на качество нашей жизни.
26103	27	В остальном, мало что еще, включая налоговую систему, которую нужно реформировать, переместив вес больше на налоги на потребление (и особенно низкие ставки нацелены, т.е. инструмент, чтобы попытаться смягчить последствия структурно-регрессивного налога) и на недвижимость (включая первые дома).
26103	29	Впрочем, Еврокомиссия в хорошей (вернее, плохой) компании: ежегодная наблюдательная миссия Международного валютного фонда в Италию завершилась 17 мая, и даже в этом случае, перед отъездом, эксперты сочли уместным оставить нам несколько Совет: Помимо призыва к побитому рекорду как «надежной двуединой стратегии значительного сокращения высокого дефицита и долга в среднесрочной перспективе», в этом отчете больше внимания уделяется экономическим последствиям войны, ясно давая понять, что «бюджетная ответ на энергетический шок должен быть более сдержанным, чем то, что произошло во время пандемии»; «решения» в этом случае определены в плане REPower EU (поэтому практически ничего) и в социальных бонусах (см. недавний и в значительной степени недостаточный указ о помощи). Также в этом случае самое интересное заключается в том, о чем не говорится в отчете: при наличии сумасшедших счетов, продолжайте и дайте несколько монет тем, кто находится на земле, но горе требовать более глубокого и структурного вмешательства со стороны государство в регулировании рынка; даже робкие вмешательства по некоторым статьям счетов, таким как акцизные сборы и системные сборы, не приветствуются, потому что «хотя это немедленно снижает цены для семей и предприятий, энергоэффективность не приветствуется, а преимущества приносят пользу всем потребителям».
26103	31	В заключение Европейская комиссия и Международный валютный фонд призывают к порядку, фактически предлагая те самые рецепты, благодаря которым мы оказались без инструментов перед лицом бедствия пандемии.
26103	33	Мы знаем, что улучшение качества нашей жизни проходит по прямо противоположному пути: возобновлению социальных расходов со стороны государства и местных властей (что означает и текущие расходы, например, на оплату труда врачей, медсестер, учителей и т. д.), политических последовательная экологическая и энергетическая политика, стабильные трудовые договоры и достойная заработная плата, действительно прогрессивная налоговая система.
26105	3	Я читал, что в эти часы есть часть Движения, которая предложила проект резолюции, который отдаляет нас от союза между НАТО и ЕС, - говорит глава Фарнезины из Гаэты, - НАТО является оборонительным союзом, если мы выходим из строя, мы подвергаем риску безопасность Италии.
26105	5	Ди Майо утверждает: «НАТО — оборонительный союз». Мы не комментируем и не хотим упоминать наступательные преступления Атлантического альянса, мы просто предлагаем вам прочитать книгу американского интеллектуала Ноама Хомского и философа и эссеиста Андре Влчека под названием «Западный терроризм» (Ponte alle Grazie) , где вы найдете все, что вам нужно знать по этому вопросу. Мы также не комментируем наличие десятков ядерных боеголовок по прямому приказу присутствующих на нашей территории хозяев НАТО, которые, да, ставят под угрозу нашу настоящую и будущую безопасность.
26105	7	Мы не комментируем их просто потому, что на самом деле слова Луиджи Ди Майо, подхваченные вчера Repubblica, по праву ведут его к преодолению атлантических фундаменталистских заблуждений всяких Молинари или Риотты.
26105	9	Однако нам интересно обратить ваше внимание на другой аспект, а именно на ту истерию, с которой министр иностранных дел и Республика так рано подняли «скандал».
26105	11	После смехотворного мирного плана, осмеянного всем миром, арендатор «Фарнезины» и газета «Фиат» снова начинают работать рука об руку.
26105	13	Причина скоро будет названа.
26105	15	21 июня Марио Драги будет вынужден идти в парламент. Он, конечно, обошёлся бы и без этого, и, вероятно, в следующем законодательном собрании эта обязанность перед Европейским Советом будет снята. Но пока это будет принудительно. И партии большинства должны определить общую резолюцию.
26105	17	Для тех, кто, подобно Конте и Сальвини, в последние недели критиковал (на словах) поставки секретного оружия киевскому режиму, которые превратили Италию в воюющую страну против ядерной державы, жизненно важной для нашей экономики, - все узлы неизбежно вернуться домой, чтобы насест.
26105	19	Так чего же опасаются Repubblica и Ди Майо и какова срочность этого скоординированного ухода?
26105	21	Просто кто-то может слегка надавить, когда наши «союзники» просят слепого повиновения их диктату.
26105	23	У лидера M5S есть очень простой матовый ход на его стороне, который, если его не поймать, по праву поместит его в число худших квислингов в новейшей итальянской истории: немедленно удалить из правительства пустую делегацию, данную ВСЕМИ партиями большинства и партиями большинства, замаскированными под Братья Италии (приняли закон с вотумом доверия в Сенате 31 марта). Пустая доверенность, которая, напомним, позволила Драги, Ди Майо и Герини издать три последовательных указа, скрытых от парламента, с рядом засекреченного и нерасшифрованного оружия, которое достигло Киева и, вероятно, неонацистских батальонов, которые также в эти часы виновны в преступлениях против мирного населения Донбасса.
26105	25	Это то, чего боятся Ди Майо и Repubblica, настолько, что возвращаются к скоординированным операциям, несмотря на жалкий провал печально известного мирного плана, опубликованного газетой Fiat.
26105	27	После позорного голосования, данного в парламенте еще и его Движением 5 звезд — за исключением Вито Петрочелли, поплатившегося за свой выбор нелегитимным увольнением с поста президента Комиссии по иностранным делам — Конте может поставить мат вассалам НАТО и тем более экстремистские поджигатели войны, просто принявшие приглашение Маттиа Кручоли из «Альтернативы» и президента неогруппы CAL. В письме, которое, как и в Anti-Diplomatic, мы опубликовали для вас в среду, Кручоли призвал всех парламентариев «совместно написать» резолюцию, которая устраняет пустую делегацию правительства по этому вопросу.
26105	29	Не блокировать поставки оружия, но позволить парламенту снова стать суверенным и голосовать за каждый последующий указ. Каждая партия должна нести ответственность перед общественным мнением за любой будущий выбор, а парламент должен быть проинформирован о том, сколько и какое итальянское оружие было доставлено в Киев.
26105	31	Чего ждет Конте, чтобы принять это приглашение?
26105	33	Вот чего боятся Ди Майо и Repubblica.
