doc_id	paragraph_id	po-ru
251	1	«Северный поток — 2» — самая большая проблема немецкой политики
251	3	Газопровод «Северный поток — 2» и вытекающая из него энергетическая зависимость от России — самая большая проблема внешней политики Германии, пишет газета Sueddeutsche Zeitung, подчеркивая, что Германия должна освободиться от «деструктивной зависимости» от российского газа.
251	5	Такие отношения уже существовали во времена холодной войны, но тогда утверждалось, что поставщик и покупатель нужны друг другу и должны отделять бизнес от политики в своих интересах, добавляет газета.
251	7	Германии нужен российский газ, а России нужны немецкие деньги, но «президент России (Владимир Путин) мыслит стратегически» и отодвигает вопрос доходов на второй план, - отмечает «СЗ».
251	9	«Россия уже давно придерживается стратегии разделения Европейского Союза, изоляции отдельных государств и, таким образом, демонтажа самого сильного оружия Европы: экономического единства», — оценивается газета, отмечая, что такой подход может защитить ее от санкций, а также «служит первостепенной цели — держать ЕС и его демократические идеалы на расстоянии.
251	11	С.З. указывает, что «наиболее важной мишенью этой политики дестабилизации является Германия, потому что эта страна имеет наибольшее влияние в Европе, а общество и политика разделились в восприятии России».
251	13	«Конечно, за этим стоит не техническая проблема, а политический замысел, который неоднократно и прямо подчеркивал президент Владимир Путин: если газопровод СП-2 наконец-то запустят, дефицит газа прекратится», — пишет «СЗ», добавляя, что такие шантаж требует сложного решения: сдаться или сопротивляться.
251	15	Утверждение газопровода СП-2 станет важнейшим внешнеполитическим решением, которое новое федеральное правительство унаследует от предыдущего, что заставит новую правящую коалицию занять определенную позицию по этому вопросу, отмечает издание.
251	17	"По его оценке, из-за того, что проблемный вопрос «Северного потока — 2» долгое время не решался, «ослабевают прежние аргументы в пользу его строительства» — например, что, если Россия перекроет газовый кран, Украина и страны Центральной Европы смогут поставлять так называемые реверс из Германии. Однако газета отмечает, что ""если газа будет действительно не хватать и немецкие поставщики газа начнут спорить о каждом кубометре, конфликт переместится в Западную Европу""."
251	19	Проблем много, и «покупатель попал в паутину зависимости и собственной уязвимости для шантажа». В этой ситуации выход только один - Германия должна освободиться от зависимости от России, найдя другие источники поставок, альтернативные источники энергии, твердость в трактовке контракта на поставку и, наконец, политическое решение закрыть газопровод.
251	21	Мало того, что Украина становится потенциальной мишенью российской газовой политики, так еще и Германия попадает в пагубную зависимость. Проблема ни в коем случае не уменьшается», — резюмирует Sueddeutsche Zeitung.
251	23	Маржена Шульц (PAP)
2510	1	Война в Украине: последняя информация.
2510	3	Война в Украине в прямом эфире: ниже, по пунктам, мы представляем подборку самой важной информации с фронта войны в Украине, польской и мировой экономики.
2510	5	В настоящее время активность России за пределами Донбасса не носит такого характера, который свидетельствовал бы о желании Кремля захватить больше территорий, считают эксперты Центра восточных исследований. Русские части были ограничены т.н. улучшение тактической обстановки и расширение оборонительных позиций.
2510	7	Однако информация американской разведки, на которую ссылается OSW, может свидетельствовать о том, что Россия не отказывается от планов дальнейшей экспансии в направлении Запорожья, Кривого Рога и Николаева.
2510	9	Финляндия и Швеция официально подали заявки на вступление в НАТО в среду, 18 мая. Это предложение считается одним из самых значительных изменений в международной безопасности за последние десятилетия.
2510	11	Идет эвакуация солдат металлургического завода «Азовсталь», сдавшихся в плен после многонедельного упорного сопротивления российской осаде. На этом заканчивается одно из самых тяжелых и жестоких сражений войны. Президент Зеленский заявил в интервью президенту Франции Эммануэлю Макрону, что эвакуация проводится под контролем украинских властей в виде обмена военнопленными, однако подробностей об операции они не предоставили. В настоящее время неизвестно, сколько человек еще работает на металлургическом комбинате, а сколько уже находится в России. Дальнейшая их судьба также под вопросом, так как неизвестно, решится ли Россия на обмен военнопленными в соответствии с соглашением.
2510	13	Русская осада Мариуполя длилась более десяти недель. Украинское сопротивление значительно задержало способность России получить полный контроль над городом и нанесло российским войскам тяжелые потери.
25100	3	Дональд Туск говорит, что проведет пилотный проект по сокращению рабочей недели. Его политические оппоненты обвиняют его в краже чужих идей, лицемерии и пустых обещаниях. Но имеет ли смысл четырехдневная рабочая неделя? По мнению некоторых экономистов, изменения неизбежны. Но сейчас не подходящее время для этого.
25100	5	Несколько дней назад Дональд Туск объявил, что его предвыборным предложением будет сокращение рабочего времени поляков. «В Польше мы должны, и это будет мое предложение, если мы выиграем выборы — извините: когда мы выиграем выборы — как можно скорее начать программу сокращенной рабочей недели», — заявили представители «Гражданской платформы нового поколения». в Щецине во время встречи с молодежью.
