doc_id	paragraph_id	ge-ru
221	1	США распространяют фейки, чтобы насолить России
221	3	Гении (не) в Совете национальной безопасности хотят подтолкнуть Россию к прямым атакам на силы или интересы США. Это дало бы США повод для дальнейшей эскалации войны на Украине в открытое противостояние. Это также отвлекло бы внимание от внутриполитических проблем. Для этого СНБ распространил в СМИ ряд материалов, в которых утверждается, что предполагаемые успехи Украины основаны на данных разведки США.
221	5	ВАШИНГТОН. Соединенные Штаты предоставили информацию о российских войсках, которые позволили украинцам нацелить и убить многих российских генералов, павших в войне на Украине, заявили высокопоставленные американские чиновники. Целевая помощь является частью секретных усилий администрации Байдена по предоставлению Украине разведывательной информации о поле боя в режиме реального времени. Эта информация включает предполагаемые передвижения российских войск, полученные из последних американских оценок секретного боевого плана Москвы для боевых действий в Донбассе на востоке Украины, заявили официальные лица, отказавшись сообщить, сколько генералов было убито в результате помощи США. Соединенные Штаты сосредоточились на предоставлении информации о местонахождении и других подробностях мобильного штаба российских военных, который часто меняет свое местоположение. Украинские официальные лица объединили эту географическую информацию со своими собственными разведданными, включая перехваченные сообщения, предупреждающие украинских военных о присутствии высокопоставленных российских офицеров, для проведения артиллерийских обстрелов и других атак, в результате которых погибли российские офицеры.
2210	1	ошибка Путина
2210	3	Владимир Путин, президент России, является самым демонизированным человеком в западном мире со времен Усамы бен Ладена и Адольфа Гитлера. Хиллари Клинтон назвала Путина «новым Гитлером». Президент США Байден считает, что Путин слишком плох, чтобы оставаться на своем посту.
2210	5	Несмотря на эти резкие характеристики российского лидера, Кремль лишь недавно отказался от мирных переговоров с Западом и с западной марионеткой на Украине. Действительно, неясно, угадал ли уже Кремль знамения времени. Атлантические интеграторы по-прежнему активны в России и по-прежнему готовы отказаться от российского суверенитета ради интеграции с Западом. Путин, похоже, не может или не хочет избавиться от тех россиян, которые ограничивают российскую внешнюю и экономическую политику в интересах Запада.
2210	7	Ошибка Путина в том, что он либерал из американского университета 1950-х годов, верит в международное право, взаимное уважение и сотрудничество, решает конфликты дипломатическим путем. Путин и Россия в беде, потому что Путин продолжает верить в моральное поведение, в то время как Запад ясно дал понять, что единственной ценностью является гегемония США.
2210	9	Если бы Путин действительно был новым Гитлером, не было бы ни Украины, ни Европы, ни США.
2210	11	Путинская история принятия западных провокаций предотвратила Армагеддон и в то же время привела к нему нас. Невероятная медлительность Кремля в распознавании угрозы и противодействии ей научила Вашингтон и его марионеток тому, что Россия не знает красных линий.
2210	13	В результате многие границы были перейдены. Россия жалуется, но мало или ничего не делает. В результате Запад отвергает предупреждения России о ядерной войне как простое бахвальство.
2210	15	Запад больше не воспринимает Россию всерьез. Даже маленькие, бессильные в военном отношении государства не стесняются оскорблять и провоцировать Россию.
2210	17	Ограниченное и медленное вмешательство России на востоке Украины позволило всему Западу вмешиваться в войну, отправляя Украине оружие, предоставляя Украине разведданные для атак на российские войска, сотрудничая с санкциями Вашингтона и контролируя военный нарратив в интересах Украины. Не может быть никаких сомнений в том, что США и НАТО вовлечены в войну против России.
2210	19	Несмотря на предупреждения, Россия продолжает игнорировать этот факт в военном отношении. Как долго это может продолжаться?
2210	21	Мы сталкиваемся с угрозой ядерной войны не из-за российской агрессии, а из-за ограниченной и слабой реакции России на крайние провокации. Запад усвоил из путинского старомодного либерализма, что Россия слаба и ее можно обойти.
2210	23	Этот вывод приведет к ядерной войне, если русские не сдадутся Западу и не станут еще одной марионеткой, как Германия, Франция и Великобритания.
22100	1	Борис, ты уволен!
22100	3	Спектакль окончен, клоун уходит со сцены. Борис Джонсон объявил в четверг утром, что намерен немедленно уйти с поста лидера Консервативной партии. В качестве премьер-министра Великобритании он хочет оставаться на своем посту до начала октября, чтобы обеспечить определение своего преемника. Первое приветствовалось по партийным линиям, второе вызывало раздражение. Многочисленные голоса из собственной партии Джонсона также призывают к немедленной отставке премьер-министра. Помимо прочего, до осени на острове объявлены различные забастовки, поэтому многие политики не считают, что недееспособное правительство будет преимуществом.
22100	5	С уходом в отставку министра финансов Риши Сунака и министра здравоохранения Саджида Джавида во вторник вечером воздух вокруг Джонсона становился все реже почти с каждой минутой. К утру четверга 50 членов правительства, в том числе многочисленные министры и личные секретари парламента, ушли в отставку. Почти не осталось правительства. В конце концов, похоже, решающим фактором стал только что назначенный на пост министра финансов Надхим Захави. Об этом сообщили в четверг многочисленные СМИ, в том числе Financial Times и Guardian.
22100	7	В краткой речи возле Даунинг-стрит, 10 в обеденное время Джонсон сказал, что Комитет 1922 года, который представляет интересы консервативной Палаты общин, объявит график выборов нового лидера партии в следующий понедельник вечером. В своем выступлении Джонсон охарактеризовал призывы своих друзей по партии уйти в отставку в последние несколько дней как «эксцентричные». До конца премьер-министр настаивал на том, что массовые отставки его правительства не являются причиной для его собственной отставки, ведь у тори было большинство в парламенте, составляющее более 80 мест.
22100	9	Именно это большинство и хотят защитить консерваторы. В конце концов, однако, большинство из них уже не верили, что смогут сделать это с премьер-министром Джонсоном. Госсекретарь Элизабет Трасс, фактически считавшаяся лояльной премьер-министру, написала в Twitter в ответ на речь Джонсона об отставке: «Премьер-министр принял правильное решение, теперь нам нужны спокойствие и единство».
22100	11	При инфляции более 11 процентов главный редактор Financial Times в редакционной статье, опубликованной в четверг, повторил мнение, преобладающее в лагере британского среднего класса: отставка Джонсона давно назрела. Слишком часто и слишком явно он лгал стране и позволял другим политикам лгать за него. Теперь ему нужен преемник с «честностью и уважением к правилам». К сожалению, многие возможные преемники лишь недостаточно соответствовали бы этим критериям.
