doc_id	paragraph_id	it-en
261	1	The strange silence of no-lockdowns
261	3	​Twenty-six million citizens locked up at home. Recluses. At home. The inhabitants of Shanghai, the first city by population in China and third in the world, are subjected to a very strict lockdown
261	5	"Twenty-six million citizens locked up at home. Recluses. At home. The inhabitants of Shanghai, the first city by population in China and third in the world, are subjected to a very severe lockdown in the name of the (bankruptcy) policy renamed ""Covid zero"". A policy that rather than eliminating the infections is razing the already limited freedom of the Chinese to the ground. Deserted streets, families left without food and unable to leave their homes even for essential needs, supermarkets stormed by hungry crowds, positives detained against their will in Covid centers that look like prisons. A ""health disaster"" in the face of which the world seems to be silent. What happened to those who, in our latitudes, denounced a non-existent health care dictatorship for almost two years? How come no one launches petitions, hashtags, photos and protest sit-ins against the human rights violations of the Beijing regime? Where is the fervor with which they defended all sacrosanct liberties? We cultivate some suspicions around here. Faced with the images of the ""deportations"" of the sick to the Chinese megalopolis, the idea that there was a healthcare dictatorship in Italy sinks into ridicule and remains naked in all its speciousness. And, suddenly, those who up until a few weeks ago were screaming have now lost their words. Perhaps also because many of them have gone directly from the No Vax trench to the pro Putin one. And, as we know, the fascination for autocracies is contagious: it takes a moment to even defend the Chinese regime. The short circuit is perfect."
26101	1	A chimpanzee would do better than Gigino Di Maio: he is so ignorant as to let the Farnesina publish a map where he mistakes Moldova for Ukraine
26101	3	After Matera in Puglia and Russia bordering the Mediterranean, Foreigners are unable to distinguish Ukraine from Moldova. As they say, we are in an iron barrel…with nails inside.
26101	5	I was wrong, a chimpanzee in occupying that position would have done less damage.
26101	6	It gets better when Gigino gets used by Nato as Corvo Rockefeller.
26101	7	It is interesting to note how suddenly, for the regime media, he has become an untouchable.
26101	8	NATO's propaganda apparatus squads against opponents and offers media protection to its lackeys.
26101	9	This character, without media coverage, would have evaporated long ago.
26101	10	However one puts it, the Tweet is almost a situationist work.
26101	12	“We'd like to understand what the Farnesina meant with this Tweet.
26101	13	Because either the map is wrong, and it would be quite serious, or the aid has sent them to the wrong country (and it would be even more serious ..).
26102	3	"«We would have worked for the draw at the CSM, so as to break the mechanism. We would have revolutionized the responsibility of the magistrate who makes mistakes », writes the Florentine senator in his book Il Mostro. This is why the currents, first of all Md, did not want Gratteri to become Keeper of the Seals. Role that fell to the piddino Andrea Orlando, evidently considered ""reliable"" by the corporation. It was Renzi, yesterday, during the presentation of his book, who confirmed the worst version, the one that until now had been left behind the scenes. «Giorgio Napolitano», he recounted, «using the prerogatives of the Constitutional Charter, he told me that he did not want Gratteri as Minister of Justice. Point""."
26102	5	The head of state did nothing but implement the veto of currents, concerned with defending the status quo. «Not only the democratic judiciary, but also Unicost», from the centrist area, «was absolutely opposed to Gratteri's candidacy, because he would have gone there against the currents. Others did not appreciate Gratteri for his not exactly guaranteed positions. But there is no shadow of a doubt that Gratteri, at that moment, was an element of absolute disruption of the system, of real scrapping».
26103	3	Spring should bring a breath of fresh air, but reading the newspapers these days it is disconcerting to read how, after years of austerity and misery and despite pandemics and wars, the guardians of orthodoxy continue to offer us the usual recipes.
26103	5	"On 23 May the European Commission published the Country Reports, i.e. the reports with which the Commission expresses the results of its monitoring of the economic and social conditions of the Member States, expressing a series of recommendations with which the process of surveillance of the budgetary policies (but not only) of the States. A surveillance which, as part of the post-pandemic recovery plan, is closely linked to the disbursement of funds from the Next Generation EU program and, therefore, to the PNRR. In fact, as Ursula von der Leyen, president of the European Commission, recalled, with reference to the specific recommendations for each country, ""until now it depended only on the countries to respect them or not, but now the recommendations are linked to subsidies and potential loans"""
26103	7	Obviously, there is also some for Italy, and reading it makes one's arms drop.
26103	9	"Already on the front page, the report tells us ""who we are and where we come from"", and perhaps this is the only thing we have to thank him for because with a simple graph he reminds us, erasing the unbearable rhetoric of the various ""best"" who have following, that since the financial crisis of 2008 not only has the gap with the other European economies dramatically increased, but even the pandemic has caught Italy with a real GDP still 3% lower than the pre-2008 level; the rest is recent history: the most significant fall in GDP in Europe during 2020, a ""rebound"" which - unlike what happens in other countries - is largely insufficient to recover the lost ground, the GDP line which with the war returns to become horizontal and at a level that is always lower than in 2008; in short, 15 years in which we have lost ground not only in a relative sense but also in an absolute sense."
26103	11	"What the report, incidentally, forgets to mention is that in these fifteen years - and in particular from 2011 until the beginning of the pandemic - we have been among the most diligent students in carrying out ""homework"" (read: apply austerity measures with continuous primary surpluses and eliminate what little social measures remained), faithfully applying the ""advice"" that we found in the reports of previous years: in short, a reading that to be honest is equivalent to a rejection of the ""master ”, and not of the pupil."
26103	13	"But anyhow: the report dedicated to Italy happily shrugs and proposes the usual recipe made up of cuts, reforms and (the only novelty) ""waiting for the PNRR...""."
26103	15	Continuing with the description of the existing situation, the drafters of the report regret that - also due to the non-temporary measures adopted in the last two years - the public deficit will continue to exceed the magical threshold of 3%, regretting the good times (for them) of the 2019, when we had reduced it to 1.5% also thanks to an impressive series of primary surpluses: yet today we know well what this meant during the pandemic, for example in terms of lack of services, hospital staff, beds or chicken coop classes and dilapidated structures (just to mention two of the most affected sectors).
26103	17	"We continue with the inevitable ""excessive macroeconomic imbalances"". Imbalances which translate, in the language of the Commission, as ""excessive public debt"". A public debt to be cut indiscriminately, especially through the reduction of public spending. Thus going to aggravate the already dramatic situation of public services in Italy and unemployment. The latter is obviously an imbalance that the Commission can tolerate."
26103	19	"Furthermore, the ""structural weakness of the labor market"" is mentioned, even if the Commission must also recognize that the partial recovery in the level of employment after the pandemic is essentially due to precarious work."
26103	21	Last but not least, the report reminds us that Italy is among the European countries most dependent on Russian gas, and that therefore it will probably suffer the most from the economic repercussions of the war.
26103	23	If this is the state of the art, the outlook on the future is if possible even more depressing: said of the need to resume the march towards a balanced budget (and with all due respect to those who rejoice at the suspension of the stability pact: after all , if we are the best, we self-inflict austerity…), all hopes seem to be placed in the salvific properties of the PNRR, with respect to which it should be remembered that Italy is the largest beneficiary in absolute terms and one of the only four countries to have also requested access to loans.
26103	25	"Putting aside that - as we have already explained elsewhere - this intervention is largely insufficient when not openly contradictory, what is really impressive is seeing the various ""reforms"" associated with the PNRR lined up: cutting red tape to heal a public administration ""not sufficiently responsive to business needs” (sic!), public employment reform (and the example given is that of fixed-term experts hired precisely for the management of the PNRR), liberalizations (particularly for public services, see local transport, water, rubbish, etc.)… in short, all stuff that has already been seen and heard, and unfortunately often already applied, to the point that we know all too well the harmful effects on our quality of life."
26103	27	For the rest, little else, including a tax system to be reformed by shifting the weight more to taxes on consumption (and particularly low rates are targeted, i.e. the tool to try to mitigate the effects of a structurally regressive tax) and on real estate (including first homes).
26103	29	"However, the European Commission is in good (indeed, bad) company: the annual surveillance mission to Italy of the International Monetary Fund ended on 17 May, and even in this case, before leaving, the experts thought it appropriate to leave us a few Advice: In addition to calling for a broken record “a credible two-pronged strategy to significantly reduce the high deficit and debt over the medium term”, this report focuses more on the economic consequences of the war by making it clear that “the fiscal response to the energy shock should be more contained than what happened for the pandemic”; the ""solutions"" in this case are identified in the REPower EU plan (therefore practically nothing) and on social bonuses (see the recent and largely insufficient Aid decree). Also in this case, the most interesting thing lies in what the report does not say: in the presence of crazy bills, go ahead and give a few coins to those more on the ground, but woe to request a more profound and structural intervention by the State in regulating the market; even timid interventions on some bill items such as excise duties and system charges are discouraged because ""although this immediately reduces prices for families and businesses, energy efficiency is discouraged and the advantages are for the benefit of all consumers""."
26103	31	In conclusion, the European Commission and the International Monetary Fund are calling for order, effectively proposing the same recipes thanks to which we were found without tools in the face of the disaster of the pandemic.
26103	33	We know that the improvement of our quality of life passes through an exactly opposite path: relaunching of social spending by the State and local authorities (which also means current spending, for example, to pay doctors, nurses, teachers, etc.), political coherent environmental and energy policies, stable employment contracts and decent wages, a truly progressive tax system.
26105	3	I have read that in these hours there is a part of the Movement that has proposed a draft resolution that moves us away from the alliance between NATO and the EU - says the head of the Farnesina da Gaeta - NATO is a defensive alliance, if if we get out of line we put Italy's security at risk.
26105	5	"Di Maio claims: ""NATO is a defensive alliance"". We do not comment and we do not want to mention the offensive crimes of the Atlantic Alliance, we simply invite you to read the book by the American intellectual Noam Chomsky and the philosopher and essayist Andre Vltchek entitled ""Western Terrorism"" (Ponte alle Grazie), where you will find all what you need to know on the subject. Nor do we comment on the presence of dozens of nuclear warheads under the direct orders of the NATO masters present in our territory, which, yes, put our present and future security at risk."
26105	7	We do not comment on them simply because in fact, Luigi Di Maio's words, taken up by Repubblica yesterday, lead him by right to overcome the Atlantic fundamentalist delusions of any Molinari or Riotta.
26105	9	"However, we are interested in bringing to your attention another aspect and it is the hysteria with which the foreign minister and the Republic raised the ""scandal"" so early."
26105	11	After the ridiculous peace plan mocked by the whole world, the tenant of the Farnesina and the Fiat newspaper go back to working hand in hand.
26105	13	The reason is soon said.
26105	15	On June 21 Mario Draghi will be forced to go to Parliament. He would certainly have done without it and probably in the next legislature this duty before a European Council will be lifted. But for now he will be forced. And the majority parties must define a shared resolution.
26105	17	For those who, like Conte and Salvini, have expressed criticism (in words) in recent weeks on the shipment of secret weapons to the Kiev regime - which have made Italy a co-belligerent country against a nuclear power vital to our economy - all the knots inevitably come home to roost.
26105	19	So what do Repubblica and Di Maio fear and what is the urgency of this coordinated exit?
26105	21	"Simply that someone can force their hand slightly, when our ""allies"" ask for blind obedience to their diktats."
26105	23	The leader of the M5S has a very simple checkmate move on his side, which if not caught will rightfully place him among the worst Quislings in recent Italian history: immediately remove from the government the blank delegation given by ALL majority and majority parties disguised as the Brothers of Italy (made law with a vote of confidence in the Senate on March 31st). Blank proxy which, we remind you, allowed Draghi, Di Maio and Guerini to issue three successive decrees - hidden from Parliament - with a number of secreted and undeciphered weapons that reached Kiev and probably to the neo-Nazi battalions that also in these hours they are guilty of crimes against the civilian population of Donbass.
26105	25	This is what Di Maio and Repubblica are afraid of, so much so that they return to coordinated operations, despite the miserable failure of the infamous peace plan released by the Fiat newspaper.
26105	27	"After the shameful vote given in Parliament also by his 5 Star Movement - with the exception of Vito Petrocelli who paid for his choice with the illegitimate dismissal from the post of president of the Foreign Affairs Commission - Conte can checkmate the vassals of NATO and the more extremist warmongers, simply accepting the invitation of Mattia Crucioli of Alternativa and president of the neo-group CAL. In a letter that, like the Anti-Diplomatic, we published to you on Wednesday, Crucioli invited all parliamentarians ""to write together"" a resolution that removes the government's blank delegation on the issue."
26105	29	Do not block the shipment of arms, but allow Parliament to become sovereign again and vote on every single subsequent decree. Each party must be held accountable to public opinion on any future choice and Parliament must be informed of how many and which Italian weapons have been delivered to Kiev.
26105	31	What is Conte waiting for to accept that invitation?
26105	33	Here's what Di Maio and Repubblica are afraid of.
26105	35	Giuseppe Conte, who in words has shown repentance in recent weeks of the blank proxy vote given by his party, has no alternative: either he proceeds to remove it, even at the cost of withdrawing his ministers from the government, or his inglorious political end it will be history. Judgment with a new article on Wednesday.
26106	1	G7 in Monaco: they matter so little that even the demonstrators no longer care
26106	3	Germany takes over the leadership of the G7, but nobody cares about it. The G7 looks like a retired ARCI circle, where former powers meet who once were something, and who now spend their time deluding themselves that they still are. A bit like Prodi, who now goes to preach on TV thinking he is still something, but who, after having undone Italy and having flirted a bit with everyone. now it doesn't matter anymore.
26106	5	"The G7 now counts for so little that even the counter-demonstrations, organized by the usual fake alternative organizations, such as the WWF, ATTAC and other ""environmental"" organizations have flopped. A colossal flop: the police expected 20,000 people, in the end only 3,500 arrived. In the end, four cats, who staged a ridiculous demonstration ""Because there is a climate crisis, because we risk the extinction of the species ” and other amenities that have now become trivial."
26106	7	After all, what is the point of demonstrating towards a group of people who, on the one hand are the foragers of these organizations, on the other they no longer count for anything. Biden is in big trouble dealing with inflation. Johnson is in trouble for the economy, but also for internal problems, with half the party rebelling against him, amidst scandals and electoral flops. Scholz, who is not Merkel, is leading a contradictory majority and an economy close to recession and de-industrialization. Macron has lost the legislative powers, he governs, but he no longer reigns as before. Draghi is a bankruptcy manager of Italy placed by others. Only Trudeau and Kishida are firmly in the saddle, with their own economic problems, even if they are secondary compared to those of the USA.
