doc_id	paragraph_id	ge-en
221	1	US spread fake stories to escalate Russia
221	3	The geniuses (not) in the National Security Council want to goad Russia into direct attacks on US forces or interests. This would provide the US with an excuse to further escalate the war in Ukraine into open confrontation. It would also divert attention from domestic issues. To achieve this, the NSC has circulated a number of stories in the media claiming that alleged Ukrainian successes are based on US intelligence information.
221	5	WASHINGTON - The United States has provided information about Russian forces that have enabled Ukrainians to target and kill many of the Russian generals who fell in the Ukraine war, senior American officials said. The targeted aid is part of the Biden administration's covert effort to provide Ukraine with real-time battlefield intelligence. That information includes projected Russian troop movements, gleaned from the latest American assessments of Moscow's secret battle plan for fighting in eastern Ukraine's Donbass region, officials said. Officials declined to say how many generals were killed as a result of US help were killed. The United States has focused on providing the location and other details of the Russian military's mobile headquarters, which change locations frequently. Ukrainian officials combined this geographic information with their own intelligence — including intercepted communications alerting the Ukrainian military to the presence of senior Russian officers — to conduct artillery strikes and other attacks that killed Russian officers.
2210	1	Putin's mistake
2210	3	"Vladimir Putin, the President of Russia, is the most demonized person in the western world since Osama bin Laden and Adolf Hitler. Hillary Clinton says Putin is ""the new Hitler"". US President Biden says Putin is too bad to stay in office."
2210	5	Despite these harsh characterizations of the Russian leader, the Kremlin has only recently abandoned peace negotiations with the West and with the Western puppet in Ukraine. Indeed, it is unclear whether the Kremlin has already read the signs of the times. Atlantic integrationists are still active in Russia and are still willing to give up Russian sovereignty for integration with the West. Putin seems unable or unwilling to get rid of those Russians who restrict Russian foreign and economic policy in the interest of the West.
2210	7	Putin's mistake is that he is an American university liberal from 1950, a believer in international law, mutual respect and cooperation, solving conflicts through diplomacy. Putin and Russia are in trouble because Putin continues to believe in moral behavior, while the West has made it clear that the only value is US hegemony.
2210	9	If Putin really were the new Hitler, there would be no Ukraine, no Europe and probably no USA either.
2210	11	Putin's history of accepting Western provocations prevented Armageddon and got us there at the same time. The Kremlin's extraordinary slowness to recognize a threat and act on it has taught Washington and its puppets that Russia knows no red lines.
2210	13	As a result, many boundaries have been crossed. Russia complains but does little or nothing. The result is that the West dismisses Russian warnings of nuclear war as mere bluster.
2210	15	The West no longer takes Russia seriously. Even small, militarily powerless states do not hesitate to insult and provoke Russia.
2210	17	The limited, slow-moving Russian intervention in eastern Ukraine has allowed the entire West to meddle in the war, sending arms to Ukraine, providing Ukraine with intelligence for attacks on Russian forces, cooperating with Washington sanctions, and the war narrative controlled in the interests of Ukraine. There can be no doubt that the US and NATO are involved in the war against Russia.
2210	19	Despite warnings, Russia continues to ignore this fact militarily. How long can this go on?
2210	21	We face the threat of nuclear war, not because of Russian aggression, but because of the limited and weak Russian response to extreme provocations. The West has learned from Putin's old-fashioned liberalism that Russia is weak and can be bypassed.
2210	23	This conclusion will lead to nuclear war unless the Russians surrender to the West and become another puppet like Germany, France and Britain.
22100	1	Boris, you're fired!
22100	3	The performance is over, the clown leaves the stage. Boris Johnson announced on Thursday morning that he intends to step down as leader of the Conservative Party with immediate effect. As Prime Minister of Great Britain he wants to remain in office until the beginning of October in order to ensure that his successor is settled. The former was welcomed across party lines, the latter caused irritation. Numerous voices from Johnson's own party are calling for the immediate resignation of the prime minister as well. Among other things, various strikes have been announced for the island until autumn, so many politicians do not think that an incapacitated government would be an advantage.
22100	5	With the resignation of Finance Minister Rishi Sunak and Health Minister Sajid Javid on Tuesday evening, the air around Johnson had become thinner almost every minute. By Thursday morning, 50 members of the government, including numerous ministers and parliamentary private secretaries, had resigned. There was hardly any government left. In the end, Finance Minister Nadhim Zahawi, who had just been installed, seems to have been the decisive factor. This was reported on Thursday by numerous media, including the Financial Times and the Guardian.
22100	7	In a brief speech outside 10 Downing Street at lunchtime, Johnson said the 1922 Committee, which represents the interests of the Conservative House of Commons, would announce the timetable for the new party leader election next Monday evening. In his speech, Johnson described the calls for his party friends to resign over the past few days as “eccentric”. To the end, the prime minister insisted that the mass resignations from his government were no reason for his own resignation, after all the Tories had a majority of more than 80 seats in parliament.
