id,line,text,labels
111111111,3,"Geneva - The World Health Organisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.",Doubt
111111111,5,"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""",Appeal_to_Authority
111111111,13,"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""",Repetition
111111111,17,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.",Appeal_to_Fear-Prejudice
111111111,19,"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.",Appeal_to_Fear-Prejudice
111111111,23,"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.","Appeal_to_Authority,Appeal_to_Fear-Prejudice"
111111111,25,"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.",Appeal_to_Fear-Prejudice
111111112,5,Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.,Slogans
111111112,11,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""",False_Dilemma-No_Choice
111111112,14,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.",Slogans
111111112,15,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".",Loaded_Language
111111112,19,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country. This is the right decision. The UK should never become a stage for inflammatory speakers who promote hate.""",Flag_Waving
111111112,23,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.",Name_Calling-Labeling
111111112,25,"""How many hate preachers are living in this country? It just shows what sort of a two-tier system we have here.""",Name_Calling-Labeling
111111112,30,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.",Loaded_Language
111111113,3,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.","Causal_Oversimplification,Loaded_Language"
111111113,10,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters. Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.",Loaded_Language
111111113,19,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015. Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.",Name_Calling-Labeling
111111113,23,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday. ""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""","Appeal_to_Hypocrisy,Causal_Oversimplification,Loaded_Language"
111111113,29,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.",Causal_Oversimplification
111111113,34,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court. His exoneration is a complete travesty of justice. BUILD THE WALL!"" Trump tweeted.","Loaded_Language,Name_Calling-Labeling,Slogans"
111111114,15,"“This is what intent was, that he would be given the opportunity to leave under his own steam and not under shackles,” she said.",Obfuscation-Vagueness-Confusion
111111114,25,Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.,Appeal_to_Fear-Prejudice
111111115,9,"Leeann Tweeden, a radio news anchor, says Franken groped and forcibly kissed her during a USO tour in 2006, before the former comedian was a senator. She says Franken ""aggressively stuck his tongue in my mouth"" when the pair rehearsed a skit that featured a kiss. A photo also surfaced showing Franken looking at a camera while pretending to grab Tweeden's breasts as she was sleeping while clothed. The senator apologized for the photo but said he remembered the skit incident differently.",Loaded_Language
111111115,12,"Stephanie Kemplin, an Army veteran, says Franken put his hand on her breast during a USO tour in 2003. In a statement following that accusation, Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.",Appeal_to_Authority
111111115,13,"A woman described as a ""former elected official in New England"" told the Jezebel website that Franken tried to give her a ""wet, open-mouthed kiss"" during an event in 2006. The senator has not appeared to respond specifically to the allegation.",Loaded_Language
111111115,15,"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009. The senator has not specifically responded to that allegation.",Loaded_Language
111111117,9,"Still, the delay prompted critics to speculate that the delay signaled the White House was having second thoughts about the nomination. Some lawmakers and human rights groups oppose Haspel’s nomination because of her role in the CIA’s detention and harsh interrogation of terror suspects after 9/11.",Causal_Oversimplification
111111122,1,Kavanaugh Nomination Is Exploding in Trump’s Face,Loaded_Language
111111122,4,"Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring. Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court. It’s a good example of how badly Trump does his job more than a year and a half into his administration. ","Doubt,Exaggeration-Minimisation,Loaded_Language"
111111122,8,"That wasn’t entirely a Trump mistake. His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate. The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal. In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.","Doubt,Name_Calling-Labeling"
111111122,10,"Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them. We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him. We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part. 1","Doubt,Loaded_Language"
111111122,17,"When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate. It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble. Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts. But there’s an art to minimizing damage. And Trump hasn’t learned it yet.","Doubt,Loaded_Language"
111111122,19,"For one thing, the president has made this an extremely high-profile episode by stringing out the process as the accusations against Kavanaugh gained credibility and even multiplied. Whether that matters in terms of public opinion for Trump is unclear, but it certainly isn’t good for any Republican senators caught up in the middle, along with any other candidates who have had to weigh in only to find the facts as they knew them constantly changing. ",Exaggeration-Minimisation
111111122,21,"It’s also the case that the more negative information comes out, the more it appears that the Trump and his White House staff failed to do their jobs in vetting and managing Kavanaugh. If the nomination had been pulled right after Christine Blasey Ford made her initial assertions about Kavanaugh, the public might have concluded that it wasn’t Trump’s fault that a previously unaired accusation came to light.",Doubt
111111122,23,"Meanwhile, Trump’s behavior has been as erratic as ever. First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward. He sometimes praises Kavanaugh, but also let it be known that he thought the nominee had performed badly in his Fox News interview. The White House demanded a final up and down vote on Tuesday; by Wednesday, he was saying that the nomination would die if Kavanaugh didn’t do well before the Judiciary Committee on Thursday. The sum of all this has been, as in many other episodes, that Trump and his White House are a gang that can’t shoot straight and that he’s eager to blame his allies and lash out at his enemies in ugly ways when things go wrong.","Loaded_Language,Name_Calling-Labeling"
111111122,25,"A botched nomination matters because allies will be less likely to trust Trump, not just on Supreme Court choices, but on any initiative. And, for that matter, they’ll be less likely to trust him when he asserts that there’s nothing remaining for Special Counsel Robert Mueller to reveal. Trump’s professional reputation is already terrible, but everything counts. As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president. Trump is hurting himself right now, and will have hurt himself more if Kavanaugh is not confirmed.",Appeal_to_Authority
111111122,27,"And yes, I call it the cut-of-his-jib test quite deliberately. It's no surprise that someone who hires based on what he thinks someone doing that job should look like, which seems to be based on hazy old-time Hollywood casting, would wind up with fewer women in his administration than any of his recent predecessors.","Causal_Oversimplification,Loaded_Language"
