Loaded_Language,"Using specific words and phrases with strong emotional implications (either positive or negative) to influence and convince the audience that an argument is valid/true"
Name_Calling-Labeling,"A form of argument in which loaded labels are directed at an individual or group, typically in an insulting or demeaning way. Labelling an object as either something the target audience fears, hates, or on the contrary finds desirable or loves."
Repetition,"A fallacy by which the speaker uses the same word, phrase, story, or imagery repeatedly with the hopes that the repetition will lead to persuade the audience."
Doubt,"Casting doubt on the character or personal attributes of someone or something in order to question their general credibility or quality, instead of using a proper argument related to the topic."
Exaggeration-Minimisation,"Either representing something in an excessive manner: making things larger, better, worse (e.g. 'the best of the best', 'quality guaranteed') or making something seem less important or smaller than it really is (e.g. saying that an insult was just a joke), downplaying statements and ignoring arguments and accusations made by an opponent."
Appeal_to_Fear-Prejudice,"This technique aims at promoting or rejecting through the repulsion of the audience towards this idea (e.g.\, via exploiting some preconceived judgements) or towards its alternative."
Flag_Waving,"Justifying or promoting an idea by exhaling the pride of a group or highlighting the benefits for that specific group."
Causal_Oversimplification,"Assuming a single cause or reason when there are actually multiple causes for an issue."
Conversation_Killer,"Words or phrases that discourage critical thought and meaningful discussion about a given topic. A form of loaded language, often passing as folk wisdom, intended to end an argument and quell cognitive dissonance."
Questioning_the_Reputation,"This technique is used to attack the reputation of the target by making strong negative claims about it, focusing specially on undermining its character an moral stature rather than relying on an argument about the topic."
Appeal_to_Values,"This technique gives weight to an idea by linking it to values seen by the target audience as positive. These values are presented as an authoritative reference in order to support or reject an argument. Examples of such values are, for instance: tradition, religion, ethics, age, fairness, liberty, democracy, peace, transparency, etc"
Obfuscation-Vagueness-Confusion,"Using words which are deliberately not clear so that the audience may have its own interpretations."
False_Dilemma-No_Choice,"Sometimes called the “either-or” fallacy, a false dilemma is a logical fallacy that presents only two options or sides when there are many options or sides."
Red_Herring,"This technique consists in diverting the attention of the audience from the main topic being discussed, by introducing another topic"
Straw_Man,"This technique consists in making an impression of refuting an argument of the opponent’s proposition, whereas the real subject of the argument was not addressed or refuted, but instead replaced with a false one"
Appeal_to_Authority,"The target of the technique is attacked on its reputation by charging them with hypocrisy or inconsistency. This can be done explicitly by calling out hypocrisy directly, or more implicitly by underlying the contradictions between different positions that were held or actions that were done in the past."
Guilt_by_Association,"Attacking the opponent or an activity by associating it with a another group, activity or concept that has sharp negative connotations for the target audience."
Appeal_to_Popularity,"This technique gives weight to an argument or idea by justifying it on the basis that allegedly 'everybody' (or the large majority) agrees with it or 'nobody' disagrees with it."
Consequential_Oversimplification,"An argument/idea is rejected and instead of discussing whether it makes sense and/or is valid, the argument affirms, without proof, that accepting the proposition would imply accepting other propositions that are considered negative."
Appeal_to_Time,"Argument centred around the idea that the time has come for a particular action. The very timeliness of the idea is part of the argument. The call to 'Act Now!'"
Appeal_to_Hypocrisy,"The target of the technique is attacked on its reputation by charging them with hypocrisy or inconsistency. This can be done explicitly by calling out hypocrisy directly, or more implicitly by underlying the contradictions between different positions that were held or actions that were done in the past."
Slogans,"A brief and striking phrase that may include labeling and stereotyping. Slogans tend to act as emotional appeals."
Whataboutism,"Instead of answering a critical question or argument an attempt is made to retort with a critical counter-question which expresses a counter-accusation, e.g., mentioning double standards, etc."
