Labels,En,Fr,Ge,It,Po,Ru
Loaded_Language,Using specific words and phrases with strong emotional implications (either positive or negative) to influence and convince the audience that an argument is valid/true,Utiliser des mots et des phrases spécifiques avec de fortes implications émotionnelles (positives ou négatives) pour influencer et convaincre le public qu'un argument est valide / vrai,"Verwendung spezifischer Wörter und Phrasen mit starken emotionalen Auswirkungen (entweder positiv oder negativ), um das Publikum zu beeinflussen und zu überzeugen, dass ein Argument gültig/wahr ist",Usare parole e frasi specifiche con forti implicazioni emotive (positive o negative) per influenzare e convincere il pubblico che un argomento è valido/vero,"Używanie określonych słów i fraz z silnymi implikacjami emocjonalnymi (pozytywnymi lub negatywnymi), aby wpływać i przekonać publiczność, że argument jest ważny/prawdziwy","Использование конкретных слов и фраз с сильными эмоциональными последствиями (позитивными или отрицательными), чтобы влиять и убеждать аудиторию в том, что аргумент является действительным/верным"
Name_Calling-Labeling,"A form of argument in which loaded labels are directed at an individual or group, typically in an insulting or demeaning way. Labelling an object as either something the target audience fears, hates, or on the contrary finds desirable or loves.","Une forme d'argument dans laquelle les étiquettes chargées sont dirigées contre un individu ou un groupe, généralement de manière insultante ou dégradante. Étiqueter un objet comme quelque chose que le public cible craint, déteste, soit au contraire trouve désirable ou aime.","Eine Form des Arguments, in der geladene Etiketten auf eine Person oder Gruppe gerichtet sind, normalerweise beleidigend oder erniedrigend. Bezeichnung eines Objekts als etwas, das die Zielgruppe fürchtet, hasst oder im Gegenteil wünschenswert oder liebt.","Una forma di argomento in cui le etichette caricate sono dirette a un individuo o in un gruppo, in genere in modo offensivo o umiliante. Etichettare un oggetto come qualcosa che il pubblico target teme, odia o al contrario trova desiderabile o ama.","Forma argumentu, w której załadowane etykiety są skierowane na osobę lub grupę, zwykle w sposób obrażający lub poniżający. Oznaczanie obiektu jako czegoś, czego docelowa publiczność obawia się, nienawidzi lub przeciwnie, uważa za pożądane lub kochane.","Форма аргумента, в которой загруженные этикетки направлены на человека или группу, как правило, оскорбительным или унизительным способом. Маркировка объекта либо чем -то, что целевая аудитория боится, ненавидит, либо, напротив, находит желательным или любимым."
Repetition,"A fallacy by which the speaker uses the same word, phrase, story, or imagery repeatedly with the hopes that the repetition will lead to persuade the audience.","Une erreur par laquelle l'orateur utilise à plusieurs reprises le même mot, phrase, histoire ou imagerie dans l'espoir que la répétition conduira à persuader le public.","Ein Trugschluss, durch den der Sprecher das gleiche Wort, die gleiche Phrase, die gleiche Geschichte oder die gleiche Bilder verwendet, in der die Hoffnung, dass die Wiederholung das Publikum überzeugen wird.","Un errore con cui l'oratore usa ripetutamente la stessa parola, frase, storia o immagini con la speranza che la ripetizione porti a persuadere il pubblico.","Błąd, za pomocą którego mówca używa tego samego słowa, frazy, historii lub obrazów z nadzieją, że powtórzenie doprowadzi do przekonania publiczności.","Ошибка, с помощью которой оратор использует то же слово, фраза, историю или образы неоднократно с надеждой, что повторение приведет к убеждению аудитории."
Doubt,"Casting doubt on the character or personal attributes of someone or something in order to question their general credibility or quality, instead of using a proper argument related to the topic.","Jetez un doute sur le caractère ou les attributs personnels de quelqu'un ou quelque chose afin de remettre en question leur crédibilité ou sa qualité générale, au lieu d'utiliser un argument approprié lié au sujet.","Zweifel an den Charakter oder persönlichen Attributen von jemandem oder etwas, um ihre allgemeine Glaubwürdigkeit oder Qualität in Frage zu stellen, anstatt ein ordnungsgemäßes Argument in Bezug auf das Thema zu verwenden.","Mettere in dubbio il personaggio o gli attributi personali di qualcuno o qualcosa al fine di mettere in discussione la loro credibilità o qualità generale, invece di usare un argomento adeguato relativo all'argomento.","Rzucanie wątpliwości co do postaci lub osobistych atrybutów kogoś lub czegoś w celu zakwestionowania ich ogólnej wiarygodności lub jakości, zamiast używać właściwego argumentu związanego z tematem.","Ставя под сомнение характер или личные атрибуты кого -то или что -то, чтобы подвергнуть сомнению их общий доверие или качество, вместо того, чтобы использовать надлежащий аргумент, связанный с темой."
Exaggeration-Minimisation,"Either representing something in an excessive manner: making things larger, better, worse (e.g. 'the best of the best', 'quality guaranteed') or making something seem less important or smaller than it really is (e.g. saying that an insult was just a joke), downplaying statements and ignoring arguments and accusations made by an opponent.","Soit représenter quelque chose de manière excessive: rendre les choses plus grandes, meilleures, pires (par exemple, «le meilleur des meilleurs», «qualité garantie»), soit rendre quelque chose moins important ou plus petit qu'il ne l'est réellement (par exemple, dire qu'une insulte était juste une blague), minimiser les déclarations et ignorer les arguments et les accusations portées par un adversaire.","Entweder in übermäßiger Weise etwas darstellen: Dinge größer, besser, schlechter machen (z. B. ""das Beste der Besten"", ""Qualität garantiert"") oder etwas weniger Wichtiges oder kleiner erscheinen zu lassen als es wirklich ist (z. B. sagen, dass eine Beleidigung nur ist ein Witz), das Aussagen von Aussagen herunterspielen und Argumente und Anschuldigungen eines Gegners ignoriert.","O rappresentare qualcosa in modo eccessivo: rendere le cose più grandi, migliori, peggiori (ad esempio ""il meglio del meglio"", ""garanzia di qualità"") o rendere qualcosa di meno importante o più piccolo di quanto non lo sia in realtà (ad esempio dicendo che un insulto era solo uno scherzo), minimizzando le dichiarazioni e ignorando argomenti e accuse fatte da un avversario.","Albo reprezentując coś w sposób nadmierny: zwiększanie, lepsze, lepsze, gorsze (np. „Najlepsze z najlepszych”, „gwarantowane jakość”), albo sprawienie, by coś wydawało się mniej ważne lub mniejsze niż w rzeczywistości (np. Mówienie, że zniewaga była po prostu żart), lekceważenie oświadczeń i ignorowanie argumentów i oskarżeń przeciwnika.","Либо представляя что -то чрезмерным образом: сделать вещи больше, лучше, хуже (например, «лучшее из лучших», «качество гарантированно»), либо сделать что -то менее важное или меньше, чем на самом деле (например, говоря, что оскорбление было просто шутка), преуменьшение заявлений и игнорирование аргументов и обвинений, сделанных противником."
Appeal_to_Fear-Prejudice,"This technique aims at promoting or rejecting through the repulsion of the audience towards this idea (e.g.\, via exploiting some preconceived judgements) or towards its alternative.","Cette technique vise à promouvoir ou à rejeter à travers la répulsion du public envers cette idée (par exemple, en exploitant certains jugements préconçus) ou vers son alternative.","Diese Technik zielt darauf ab, die Abstoßung des Publikums für diese Idee (z. B. durch die Nutzung einiger vorgefasster Urteile) oder auf ihre Alternative zu fördern oder abzulehnen.","Questa tecnica mira a promuovere o respingere la repulsione del pubblico verso questa idea (ad esempio \, sfruttando alcuni giudizi preconcetti) o verso la sua alternativa.","Ta technika ma na celu promowanie lub odrzucenie przez odpychanie publiczności w kierunku tego pomysłu (np. \, Poprzez wykorzystanie niektórych z góry przyjętych osądów) lub w kierunku jej alternatywy.","Эта техника направлена ​​на то, чтобы продвигать или отвергать через отталкивание аудитории к этой идее (например, путем использования некоторых предвзятых суждений) или к ее альтернативе."
Flag_Waving,Justifying or promoting an idea by exhaling the pride of a group or highlighting the benefits for that specific group.,Justifier ou promouvoir une idée en expirant la fierté d'un groupe ou en mettant en évidence les avantages de ce groupe spécifique.,"Begründung oder Förderung einer Idee, indem Sie den Stolz einer Gruppe ausatmen oder die Vorteile für diese bestimmte Gruppe hervorheben.",Giustificando o promuovendo un'idea espirando l'orgoglio di un gruppo o evidenziando i benefici per quel gruppo specifico.,Uzasadnienie lub promowanie pomysłu poprzez wydychanie dumy grupy lub podkreślenie korzyści dla tej konkretnej grupy.,"Оправдание или продвижение идеи, выдыхая гордость группы или подчеркивая преимущества для этой конкретной группы."
Causal_Oversimplification,Assuming a single cause or reason when there are actually multiple causes for an issue.,En supposant une seule cause ou raison lorsqu'il y a en fait plusieurs causes de problème.,"Annahme einer einzelnen Ursache oder eines einzelnen Grundes, wenn tatsächlich mehrere Ursachen für ein Problem vorhanden sind.",Supponendo una singola causa o motivo quando ci sono effettivamente molteplici cause per un problema.,"Zakładając jedną przyczynę lub powód, w którym w rzeczywistości istnieje wiele przyczyn problemu.","Предполагая единственную причину или причину, когда существует множество причин для проблемы."
Conversation_Killer,"Words or phrases that discourage critical thought and meaningful discussion about a given topic. A form of loaded language, often passing as folk wisdom, intended to end an argument and quell cognitive dissonance.","Des mots ou des phrases qui découragent la pensée critique et la discussion significative sur un sujet donné. Une forme de langage chargé, passant souvent en tant que sagesse folklorique, avait l'intention de mettre fin à un argument et de réprimer la dissonance cognitive.","Wörter oder Phrasen, die kritisches Denken und sinnvolle Diskussion über ein bestimmtes Thema entmutigen. Eine Form der geladenen Sprache, die oft als Volks Weisheit vorbeikommt, beabsichtigte, ein Argument zu beenden und die kognitive Dissonanz zu unterdrücken.","Parole o frasi che scoraggiano il pensiero critico e una discussione significativa su un determinato argomento. Una forma di linguaggio carico, spesso che passa come saggezza popolare, intendeva porre fine a una discussione e reprimere la dissonanza cognitiva.","Słowa lub frazy, które zniechęcają do krytycznej myśli i znaczącej dyskusji na dany temat. Forma załadowanego języka, często przechodzącą jako mądrość ludowa, mała zakończenie argumentu i stłumią dysonansu poznawczego.","Слова или фразы, которые препятствуют критической мысли и значимой дискуссии по данной теме. Форма загруженного языка, часто проходящая как народную мудрость, предназначенная для того, чтобы положить конец аргументу и подавить когнитивный диссонанс."
Questioning_the_Reputation,"This technique is used to attack the reputation of the target by making strong negative claims about it, focusing specially on undermining its character an moral stature rather than relying on an argument about the topic.","Cette technique est utilisée pour attaquer la réputation de la cible en faisant de fortes affirmations négatives à ce sujet, en se concentrant spécialement sur la saper son caractère une stature morale plutôt que sur un argument sur le sujet.","Diese Technik wird verwendet, um den Ruf des Ziels anzugreifen, indem sie starke negative Behauptungen darüber aufmerksam machen, und konzentriert sich speziell darauf, seinen Charakter eine moralische Statur zu untergraben, anstatt sich auf ein Argument über das Thema zu verlassen.","Questa tecnica viene utilizzata per attaccare la reputazione del bersaglio facendo forti affermazioni negative al riguardo, concentrandosi specialmente sulla miniera del suo personaggio una statura morale piuttosto che fare affidamento su un argomento sull'argomento.","Ta technika służy do ataku na reputację celu, składając silne negatywne twierdzenia o nim, koncentrując się szczególnie na podważaniu jego charakteru moralnego, a nie polegając na argumencie na ten temat.","Этот метод используется для нападения на репутацию цели, выдвигая сильные негативные заявления об этом, особенно сосредоточив внимание на подрыве своего характера морального роста, а не полагаясь на споры по этой теме."
